DateTime,Entries,UniqueIPs
1440154949,4,4
1440161219,3,3
1440172031,4,4
1440181047,3,3
1440182848,4,4
1440207155,3,3
1440214358,4,4
1440246708,3,3
1440250338,4,4
1440259371,3,3
1440262972,4,4
1440270140,3,3
1440280968,4,4
1440295492,3,3
1440297137,4,4
1440324111,3,3
1440328647,4,4
1440345740,3,3
1440349347,4,4
1440360171,3,3
1440363732,4,4
1440376313,3,3
1440378155,4,4
1440392571,3,3
1440397953,4,4
1440405148,3,3
1440408757,4,4
1440419510,3,3
1440423137,4,4
1440455560,3,3
1440459146,4,4
1440464541,3,3
1440469948,4,4
1440477153,3,3
1440478961,4,4
1440489755,3,3
1440496954,4,4
1440532947,3,3
1440534752,4,4
1440610332,3,3
1440612166,4,4
1440642746,3,3
1440644540,4,4
1440660759,3,3
1440662550,4,4
1440669768,4,4
1440738164,3,3
1440741774,4,4
1440748926,3,3
1440754344,4,4
1440795746,3,3
1440797538,4,4
1440802950,3,3
1440808352,4,4
1440853367,3,3
1440858755,4,4
1440864164,3,3
1440865956,4,4
1440874962,3,3
1440876764,4,4
1440898354,3,3
1440900313,4,4
1440907419,3,3
1440910973,4,4
1440927143,3,3
1440932548,4,4
1440943345,3,3
1440946952,4,4
1440961355,3,3
1440963141,4,4
1440986564,3,3
1440990159,4,4
1441022575,3,3
1441027925,4,4
1441047750,3,3
1441049541,4,4
1441062156,3,3
1441065781,4,4
1441107149,3,3
1441108965,4,4
1441128745,3,3
1441130581,4,4
1441184555,3,3
1441186338,4,4
1441209754,3,3
1441211550,4,4
1441220559,3,3
1441224183,4,4
1441271814,3,3
1442242946,2,2
1442530034,3,3
1442876553,4,4
1442883723,3,3
1444086149,5,5
1444102412,4,4
1445898751,2,2
1446470246,3,3
1446590804,4,4
1446762713,5,5
1446841961,6,6
1446843762,7,7
1447021957,6,6
1447102940,7,7
1447109216,6,6
1447189370,7,7
1447196557,6,6
1447297626,7,7
1447301071,6,6
1447344194,4,4
1447351543,4,4
1447358611,5,5
1447365897,6,6
1447387453,5,5
1447391095,4,4
1447441402,3,3
1447444996,4,4
1447455862,5,5
1447470298,4,4
1447481129,5,5
1447491949,4,4
1447495557,5,5
1447498960,6,6
1447542438,5,5
1447546037,6,6
1447549489,5,5
1447556687,6,6
1447560334,5,5
1447570976,4,4
1447585552,3,3
1447596218,4,4
1447639479,3,3
1447653806,4,4
1447668226,3,3
1447671811,4,4
1447700623,3,3
1447711390,4,4
1447740191,3,3
1447761807,4,4
1447794274,3,3
1447826608,4,4
1447931006,3,3
1448002984,4,4
1448046250,3,3
1448053425,4,4
1448100185,3,3
1448110971,4,4
1448136283,3,3
1448183033,4,4
1448269387,3,3
1448280158,4,4
1448402592,3,3
1448442259,2,2
1448463882,3,3
1448485487,3,3
1448604247,4,4
1448633089,3,3
1448719462,4,4
1448748253,3,3
1448859966,4,4
1448877872,3,3
1448924689,2,2
1448939129,3,3
1448967875,2,2
1449039887,3,3
1449142185,4,4
1449158586,3,3
1449173088,2,2
1449176593,3,3
1449190975,2,2
1449198232,3,3
1449212639,2,2
1449262960,3,3
1449291821,2,2
1449342271,3,3
1449360276,2,2
1449370979,3,3
1449381873,2,2
1449432189,3,3
1449453808,2,2
1449461073,3,3
1449475409,2,2
1449489785,3,3
1449536612,2,2
1449550990,3,3
1449590610,2,2
1449605011,3,3
1449644584,2,2
1449669774,3,3
1449684160,2,2
1449752553,3,3
1449813785,2,2
1449860558,3,3
1449875014,2,2
1449882220,3,3
1449896614,2,2
1449900167,3,3
1449918152,2,2
1449936181,3,3
1449972204,2,2
1450026162,3,3
1450037005,2,2
1450087383,3,3
1450094582,2,2
1450105389,1,1
1450126953,0,0
1452474288,1,1
1452495795,3,3
1452701017,4,4
1452765823,3,3
1452769439,4,4
1452859415,3,3
