DateTime,AddedIPs,RemovedIPs
1438739215,0,1
1438948058,1,1
1438993009,1,0
1438998412,0,1
1439079409,1,0
1439084802,0,1
1439164973,1,0
1439170351,0,1
1439251335,1,0
1439256756,0,1
1439337816,1,0
1439343156,0,1
1439424179,1,0
1439429556,0,1
1439510623,1,0
1439515952,0,1
1439597004,1,0
1439602353,0,1
1439648281,0,0
1439684215,1,0
1439689623,0,1
1439769826,1,0
1439775174,0,1
1439856142,1,0
1439861554,0,1
1439942574,1,0
1439947928,0,1
1440028994,2,0
1440034347,0,1
1440115336,1,0
1440120774,0,2
1440161230,0,0
1440201790,1,0
1440207169,0,1
1440289914,1,0
1440295504,0,1
1440374566,1,0
1440379950,0,1
1440460994,1,0
1440466346,0,1
1440547396,1,0
1440552769,0,1
1440633759,1,0
1440639160,0,1
1440669779,0,0
1440720219,1,0
1440725557,0,1
1440806591,1,0
1440811960,0,1
1440892989,1,0
1440898371,0,1
1440979359,1,0
1440986575,0,1
1441065793,1,0
1441071158,0,1
1441152234,1,0
1441157570,0,1
1441238548,1,0
1441243909,0,1
1441324948,1,0
1441330354,0,1
1441411392,1,0
1441416755,0,1
1441498665,1,0
1441504060,0,1
1441584180,1,0
1441589561,0,1
1441670581,1,0
1441675950,0,1
1441756955,1,0
1441762312,0,1
1441843344,1,0
1441848754,0,1
1441929795,1,0
1441935164,0,1
1442016179,1,0
1442021567,0,1
1442102541,1,0
1442107967,0,1
1442188991,1,0
1442194345,0,1
1442275340,1,0
1442280733,0,1
1442361759,1,0
1442367113,0,1
1442448164,1,0
1442453563,0,1
1442535425,1,0
1442540827,0,1
1442622744,1,0
1442628304,0,1
1442707379,1,0
1442712760,0,1
1442793765,1,0
1442799158,0,1
1442880164,1,0
1442885528,0,1
1442966575,1,0
1442971941,0,1
1443054732,1,0
1443060138,0,1
1443139378,1,0
1443144736,0,1
1443225751,1,0
1443231119,0,1
1443313945,1,0
1443319394,0,1
1443398541,1,0
1443403969,0,1
1443485007,1,0
1443490331,0,1
1443571384,1,0
1443576741,0,1
1443657751,1,0
1443663161,0,1
1443744191,1,0
1443749565,0,1
1443830587,1,0
1443835935,0,1
1443916940,1,0
1443922323,0,1
1444003337,1,0
1444008761,0,1
1444089745,1,0
1444095144,0,1
1444176142,1,0
1444181523,0,1
1444262592,1,0
1444267931,0,1
1444348938,1,0
1444354341,0,1
1444435383,1,0
1444440750,0,1
1444521795,1,0
1444527159,0,1
1444608178,1,0
1444613560,0,1
1444694586,1,0
1444699970,0,1
1444780943,1,0
1444786340,0,1
1444867341,2,0
1444872738,0,1
1444955563,1,0
1444960969,0,2
1445040185,1,0
1445045562,0,1
1445126592,1,0
1445131962,0,1
1445212944,1,0
1445219264,0,1
1445299389,1,0
1445304767,0,1
1445385787,1,0
1445391176,0,1
1445472138,1,0
1445477550,0,1
1445558580,1,0
1445563954,0,1
1445644941,1,0
1445650361,0,1
1445731340,1,0
1445736753,0,1
1445817736,1,0
1445823148,0,1
1445904179,1,0
1445909523,0,1
1445990540,1,0
1445995933,0,1
1446076961,1,0
1446082359,0,1
1446167838,1,0
1446169617,0,1
1446249851,1,0
1446255156,0,1
1446298335,0,0
1446300165,0,0
1446337065,1,0
1446342465,0,1
1446410958,0,0
1446414463,0,0
1446416228,0,0
1446422618,1,0
1446427958,0,1
1446508992,1,0
1446515226,0,1
1446595404,1,0
1446600737,0,1
1446681740,1,0
1446687168,0,1
1446769924,1,0
1446775380,0,1
1446855428,1,0
1446859969,0,1
1446912167,0,0
1446940980,1,0
1446944536,0,0
1446946329,0,1
1447027333,1,0
1447032752,0,1
1447044466,0,0
1447113794,1,0
