DateTime,Entries,UniqueIPs
1439200042,2,2
1439210889,3,3
1439216247,2,2
1439238777,2,2
1439296392,3,3
1439307148,2,2
1439309002,3,3
1439314389,2,2
1439334197,3,3
1439345001,2,2
1439357582,3,3
1439364790,2,2
1439447596,3,3
1439461987,2,2
1439481779,3,3
1439505186,2,2
1439526761,3,3
1439544797,2,2
1439584352,3,3
1439589802,2,2
1439600598,3,3
1439615013,2,2
1439618606,3,3
1439623996,2,2
1439646466,3,3
1439648314,3,3
1439653678,2,2
1439655512,3,3
1439660883,2,2
1439671662,3,3
1439677069,2,2
1439686102,3,3
1439691441,2,2
1439696883,3,3
1439708597,2,2
1439710361,3,3
1439717589,2,2
1439721174,3,3
1439726558,2,2
1439735576,3,3
1439742783,2,2
1439766216,3,3
1439773402,2,2
1439782394,3,3
1439791360,2,2
1439800388,3,3
1439809379,2,2
1439845371,3,3
1439852588,2,2
1439854354,3,3
1439870604,2,2
1439874194,3,3
1439893989,2,2
1439899356,3,3
1439908354,2,2
1439926398,3,3
1439947961,2,2
1439958794,3,3
1439965991,2,2
1439969580,3,3
1439975000,2,2
1439983984,3,3
1439992995,2,2
1439996581,3,3
1440001994,2,2
1440003813,3,3
1440011000,2,2
1440016388,3,3
1440021916,2,2
1440027187,3,3
1440037992,2,2
1440045190,3,3
1440050614,2,2
1440059586,3,3
1440064993,2,2
1440072209,3,3
1440082980,2,2
1440088372,3,3
1440093782,2,2
1440099193,3,3
1440106390,2,2
1440108218,3,3
1440117194,2,2
1440120806,3,3
1440127992,2,2
1440147809,3,3
1440161262,3,3
1440167607,2,2
1440171192,3,3
1440178403,2,2
1440187413,3,3
1440196402,2,2
1440225162,3,3
1440235950,2,2
1440237793,3,3
1440250382,2,2
1440264784,3,3
1440277406,2,2
1440288157,3,3
1440293566,2,2
1440304389,3,3
1440311590,2,2
1440329554,3,3
1440343990,2,2
1440365554,3,3
1440371003,2,2
1440383588,3,3
1440390784,2,2
1440399839,3,3
1440406993,2,2
1440433992,3,3
1440442971,2,2
1440522190,3,3
1440531172,2,2
1440569005,3,3
1440576216,2,2
1440588798,3,3
1440595998,2,2
1440613981,3,3
1440621197,2,2
1440623013,3,3
1440631991,2,2
1440635590,3,3
1440642789,2,2
1440646393,3,3
1440657209,2,2
1440667997,3,3
1440669812,3,3
1440675199,2,2
1440680612,3,3
1440694977,2,2
1440707599,3,3
1440714793,2,2
1440725589,3,3
1440730998,2,2
1440743585,3,3
1440748970,2,2
1440761567,3,3
1440768792,2,2
1440772351,3,3
1440779586,2,2
1440795790,3,3
1440801187,2,2
1440806623,3,3
1440813830,2,2
1440826397,3,3
1440848012,2,2
1440860588,3,3
1440866000,2,2
1440867807,3,3
1440875009,2,2
1440903794,3,3
1440911017,2,2
1440921786,3,3
1440930762,2,2
1440934395,3,3
1440941589,2,2
1440990205,3,3
1441001012,2,2
1441008210,3,3
1441015400,2,2
1441037020,3,3
1441042387,2,2
1441065826,3,3
1441081992,2,2
1441096392,3,3
1441107194,2,2
1441144993,3,3
1441150395,2,2
1441153983,3,3
1441170227,2,2
1441175584,3,3
1441181021,2,2
1441184595,3,3
1441189990,2,2
1441233194,3,3
1441258379,2,2
1443569566,3,3
1444087987,4,4
1444102472,3,3
1444134759,2,2
1444136556,3,3
1446247310,2,2
1446303790,3,3
1446312835,2,2
1446373992,3,3
1446414499,4,4
1446422652,3,3
1446437002,5,5
1446438788,4,4
1446440577,5,5
1446442390,4,4
1446444188,5,5
1446446861,4,4
1446449569,3,3
1446474791,4,4
1446483827,3,3
1446489192,3,3
1446519823,4,4
1446528746,3,3
1446935596,4,4
1446982405,3,3
1447061571,4,4
1447066995,3,3
1447164213,4,4
1447169600,4,4
1447173203,5,5
1447174980,4,4
1447176772,5,5
1447178594,4,4
1447180410,5,5
1447182337,4,4
1447183998,5,5
1447185831,4,4
1447187610,5,5
1447189421,4,4
1447191193,5,5
1447193012,4,4
1447194798,5,5
1447196617,4,4
1447198409,5,5
1447200233,4,4
1447202033,5,5
1447203796,4,4
1447207376,4,4
1447211024,5,5
1447212808,4,4
1447216410,3,3
1447229032,4,4
1447234401,3,3
1447308372,0,0
1447373136,1,1
1447401842,2,2
1447412669,1,1
1447430737,2,2
1447441444,1,1
1447574913,2,2
1447589173,1,1
1447754725,2,2
1447769125,1,1
1448237135,2,2
1448251521,1,1
1448402649,0,0
1448409904,1,1
1448413529,2,2
1448428062,1,1
1449032853,2,2
1449043652,3,3
1449050862,2,2
1449058048,1,1
1449518722,2,2
1449529481,2,2
1449551033,2,2
1449554636,2,2
1449561868,3,3
1449565456,2,2
1449569030,3,3
1449572608,3,3
1449579858,2,2
1449583423,1,1
1449612209,2,2
1449622990,1,1
1449651852,2,2
1449662611,1,1
1449694992,2,2
1449705944,1,1
1449828320,2,2
1449835464,3,3
1449839023,3,3
1449842673,4,4
1449846258,3,3
1449860605,2,2
1449864235,3,3
1449867859,2,2
1449932655,1,1
1449936228,2,2
1449950663,1,1
1449954255,2,2
1449968615,1,1
1449979527,2,2
1450004607,1,1
1450011914,2,2
1450058636,1,1
1450069422,2,2
1450101832,1,1
1450116263,2,2
1450123439,3,3
1450134235,2,2
1450184609,1,1
1450188246,2,2
1450209851,1,1
1450224220,2,2
1450256627,1,1
1450267432,2,2
1450278203,1,1
1450289020,2,2
1450314266,1,1
1450317857,2,2
1450332325,1,1
1450335874,2,2
1450350250,1,1
1450353827,0,0
1452301455,1,1
1452693870,2,2
1453057430,2,2
1453061118,2,2
1453064640,2,2
1453068316,2,2
1453071843,2,2
1453075562,2,2
1453079078,2,2
1453082661,2,2
1453086343,2,2
1453089841,2,2
1453093482,2,2
1453097042,2,2
1453100728,2,2
1453104323,2,2
1453107857,2,2
1453111408,2,2
1453115132,2,2
1453118630,2,2
1453122262,2,2
1453125803,2,2
1453129466,2,2
1453133027,2,2
1453136722,2,2
1453140262,2,2
1453143925,2,2
1453147434,2,2
1453151031,2,2
1453154639,2,2
1453158404,2,2
1453161928,2,2
1453165444,2,2
1453169063,2,2
1453172859,2,2
1453176239,2,2
1453179876,2,2
1453183433,2,2
1453187042,2,2
1453190623,2,2
1453194245,2,2
1453197931,2,2
1453201425,2,2
1453205073,2,2
1453208623,2,2
1453212337,2,2
1453215828,2,2
1453219529,2,2
1453223044,2,2
1453226630,2,2
1453230291,2,2
1453233925,2,2
1453237478,2,2
1453241067,2,2
1453244696,2,2
1453248269,2,2
1453251943,2,2
1453255474,2,2
1453259208,2,2
1453262747,2,2
1453266235,2,2
1453269931,2,2
1453273450,2,2
1453277044,2,2
1453280662,2,2
1453284229,2,2
1453287859,2,2
1453291463,2,2
1453295081,2,2
1453298744,2,2
1453302232,2,2
1453305873,2,2
1453309416,2,2
1453313006,2,2
1453316722,2,2
1453320248,2,2
1453323950,2,2
1453327445,2,2
1453331110,2,2
1453334736,2,2
1453338292,2,2
1453341941,2,2
1453345500,2,2
1453349035,2,2
1453352734,2,2
1453356228,2,2
1453359837,2,2
1453363489,2,2
1453367053,2,2
1453370674,2,2
1453374249,2,2
1453377941,2,2
1453381438,2,2
1453385130,2,2
1453388640,2,2
1453392327,2,2
1453395886,2,2
1453399425,2,2
1453403068,2,2
1453406724,2,2
1453410213,2,2
1453413833,2,2
1453417493,2,2
1453421145,2,2
1453424649,2,2
1453428357,2,2
1453431832,2,2
1453435542,2,2
1453439065,2,2
1453442614,2,2
1453446225,2,2
1453449825,2,2
1453453445,2,2
1453457094,2,2
1453460676,2,2
1453464346,2,2
1453467891,2,2
1453471464,2,2
1453475021,2,2
