DateTime,Entries,UniqueIPs
1441331504,3,3
1441367481,4,4
1441590680,3,3
1441843629,7,7
1442281969,3,3
1442449285,5,5
1442564584,6,6
1442825576,5,5
1442886798,3,3
1442967675,4,4
1443405106,3,3
1443658058,5,5
1443831696,6,6
1444004504,7,7
1444095462,5,5
1444268206,4,4
1444436460,5,5
1444441890,4,4
1444695697,5,5
1444867648,6,6
1444873044,5,5
1445133107,4,4
1445300498,5,5
1445305912,4,4
1445392343,5,5
1445646170,8,8
1445731658,10,10
1445737891,7,7
1445779329,9,9
1445784734,7,7
1446083545,4,4
1446423737,6,6
1446510110,7,7
1446515512,6,6
1446855686,7,7
1446861094,5,5
1446946608,4,4
1447114910,6,6
1447132008,5,5
1447147299,6,6
1447178831,5,5
1447183315,6,6
1447195900,5,5
1447201328,6,6
1447287716,7,7
1447292281,6,6
1447312285,3,3
1447474109,4,4
1447488695,3,3
1447546384,5,5
1447557136,4,4
1447632630,5,5
1447643382,4,4
1447718984,5,5
1447989064,3,3
1448075325,2,2
1448122137,3,3
1448161839,1,1
1448237381,3,3
1448402912,1,1
1448421516,2,2
1448435888,1,1
1448439371,2,2
1448453762,1,1
1448511425,2,2
1448515050,3,3
1448525821,4,4
1448529397,4,4
1448543886,1,1
1448554578,2,2
1448579906,3,3
1448587017,3,3
1448594396,2,2
1448601450,2,2
1448605024,3,3
1448615817,4,4
1448619397,3,3
1448626547,4,4
1448630163,3,3
1448637351,2,2
1448640969,1,1
1448648113,2,2
1448662543,2,2
1448680543,1,1
1448691389,2,2
1448694939,1,1
1448705727,0,0
1448709338,1,1
1448723737,0,0
1448745387,1,1
1448748936,2,2
1448759735,1,1
1448763329,0,0
1448770604,1,1
1448799322,0,0
1448817342,1,1
1448831772,1,1
1448835386,3,3
1448849768,4,4
1448853381,3,3
1448856980,2,2
1448864131,1,1
1448882131,0,0
1448885847,1,1
1448900102,0,0
1448946956,1,1
1448961432,0,0
1448968556,1,1
1448972173,2,2
1448986548,0,0
1449026457,1,1
1449044144,2,2
1449058540,1,1
1449072893,0,0
1449090938,1,1
1449098260,2,2
1449112535,0,0
1449134126,1,1
1449141399,2,2
1449152145,0,0
1449446985,5,5
1449706243,6,6
1449720634,5,5
1449882552,6,6
1449889835,1,1
1449896930,0,0
1449965393,2,2
