DateTime,AddedIPs,RemovedIPs
1454022284,0,1
1454029512,1,0
1454047566,0,1
1454054759,1,0
1454069085,0,1
1454072678,1,0
1454097984,1,1
1454105186,1,0
1454112393,0,1
1454119548,0,1
1454141081,1,0
1454148287,1,0
1454162660,0,1
1454166275,0,1
1454169951,1,0
1454173506,0,1
1454177095,1,0
1454252660,0,1
1454256383,1,0
1454270719,1,0
1454285087,0,1
1454288791,1,0
1454292299,0,1
1454295997,1,0
1454313849,0,1
1454317451,1,0
1454353449,0,1
1454357041,1,0
1454396783,0,1
1454403863,1,0
1454418371,0,1
1454432650,1,0
1454457979,0,1
1454465097,1,0
1454501058,0,1
1454511839,1,0
1454537045,0,1
1454540716,1,0
1454551430,0,1
1454555192,1,0
1454562293,0,1
1454565837,1,0
1454569493,0,1
1454573063,1,0
1454576670,0,1
1454580249,1,0
1454612690,0,1
1454619853,1,0
1454648725,0,1
1454652280,1,0
1454655832,0,1
1454659463,0,1
1454663040,1,0
1454666645,1,0
1454691854,0,1
1454702654,1,0
1454875445,0,1
1454886287,1,0
1454897048,0,1
1454907920,1,0
1454929473,0,1
1454940277,0,1
1454943837,1,0
1454976364,0,1
1454979872,1,0
1455023057,1,1
1455026687,1,0
1455080801,0,1
1455087855,1,0
1455105839,0,1
1455109486,1,0
1455127566,0,1
1455131046,1,0
1455138295,0,1
1455141883,1,0
1455235590,0,1
1455242650,1,0
1455296640,0,1
1455300249,1,1
1455311084,0,1
1455314738,1,0
1455372229,0,1
1455379444,1,0
1455473078,0,1
1455476628,1,0
1455501880,0,1
1455505451,1,0
1455566711,0,1
1455570247,1,0
1455592104,0,1
1455595513,1,0
1455660234,0,1
1455663880,1,0
1455699862,0,1
1455710644,1,0
1455807931,0,1
1455811714,1,0
1455926677,0,1
1455930302,1,0
1455944712,0,1
1455951871,1,0
1456020283,0,1
1456024153,1,0
1456049046,0,1
1456052655,1,0
1456139052,0,1
1456149893,1,0
1456157095,0,1
1456164286,1,0
1456185877,0,1
1456193071,1,0
1456218275,0,1
1456221887,1,0
1456225463,0,1
1456229033,1,0
1456326248,0,1
1456329845,1,0
1456387489,1,0
1456398278,0,1
1456409057,1,0
1456416236,0,1
1456427038,1,0
1456430638,0,1
1456434241,1,0
1456448695,0,1
1456452239,1,0
1456466758,0,1
1456481080,1,0
1456506260,0,1
1456524244,1,0
1456538657,0,2
1456545885,1,0
1456556682,1,0
1456571047,0,1
1456581923,2,0
1456596250,0,1
1456643073,1,0
1456704379,0,1
1456711451,1,0
1456754668,0,2
1456761838,1,1
1456765467,2,0
1456779843,0,1
1456783478,1,0
1456808677,0,1
1456812394,1,0
1456830980,0,2
1456834867,1,0
1456841677,1,1
1456852529,1,0
1456867050,0,2
1456873976,1,0
1456881141,1,0
1456910033,0,1
1456918659,1,0
1456940877,0,1
1456945760,1,1
1456956309,1,0
1456960042,0,1
1456963727,1,0
1456970722,0,1
1456974649,1,0
1456988967,0,1
1456992913,1,0
1456999976,0,1
1457007455,0,1
1457010623,1,0
1457014219,1,0
1457039045,0,1
1457042689,1,1
1457057260,1,0
1457064562,0,1
1457075432,0,1
1457079156,2,0
1457096694,0,1
1457100246,1,0
1457129042,0,1
1457132696,1,1
1457136331,1,0
1457168729,0,2
1457175843,1,0
1457179438,0,1
1457183061,1,0
1457208248,1,0
1457226261,0,1
1457233603,1,1
1457255157,0,1
1457269466,1,0
1457280281,1,0
1457316358,0,2
1457320068,1,0
1457334309,0,1
1457337866,1,0
1457345115,1,0
1457353393,0,1
1457356896,1,0
1457360595,0,1
1457366624,1,0
1457385817,0,2
1457392127,1,0
1457402642,0,1
1457409979,1,0
1457417238,1,0
1457420766,0,1
1457424313,0,1
1457429148,1,0
1457431992,1,0
1457449449,0,1
1457453416,1,0
1457460303,0,1
1457467565,1,1
1457471068,1,0
1457485629,0,1
1457489573,1,0
1457500261,0,1
1457511480,1,0
1457529116,0,1
1457532427,1,0
1457568650,0,1
1457571885,1,0
1457582819,0,1
1457586297,1,0
1457593483,0,1
1457607876,1,0
1457625911,0,1
1457629567,1,0
1457643854,0,2
1457647453,1,0
1457655055,1,1
1457661859,1,0
1457694277,0,1
1457697873,1,0
1457705082,0,1
1457730316,1,1
1457748280,0,1
1457755993,1,0
1457759391,0,1
1457763555,1,0
