DateTime,AddedIPs,RemovedIPs
1459126940,1,3
1459130487,1,2
1459134098,1,0
1459137809,0,1
1459141281,0,1
1459144880,1,3
1459148478,0,1
1459152108,1,0
1459155740,3,0
1459159297,1,1
1459162908,1,0
1459166508,2,1
1459170081,2,0
1459173678,2,1
1459180885,0,3
1459184491,1,2
1459188076,0,3
1459195280,5,2
1459198880,2,0
1459202609,1,0
1459206100,1,0
1459209689,0,2
1459213345,1,3
1459216915,4,0
1459220492,0,3
1459227684,1,1
1459231288,1,4
1459238512,1,1
1459242114,2,0
1459249299,0,1
1459252889,0,3
1459256498,0,3
1459260092,2,2
1459263810,1,0
1459267287,1,1
1459270881,1,0
1459274492,2,0
1459278096,0,1
1459281687,1,1
1459289007,1,2
1459292513,2,1
1459296145,1,0
1459299688,1,0
1459303292,1,1
1459306909,4,2
1459314086,0,1
1459317681,2,1
1459321283,2,3
1459324909,3,1
1459328480,1,0
1459335681,2,4
1459339283,1,2
1459342887,0,1
1459346484,4,0
1459350086,1,5
1459353706,1,0
1459357306,1,0
1459360907,1,3
1459364540,1,2
1459368080,3,1
1459371694,3,1
1459375289,2,0
1459378894,1,2
1459382542,1,1
1459386098,1,1
1459389709,1,2
1459393279,0,1
1459396880,0,2
1459400633,1,0
1459404080,0,2
1459407682,0,1
1459411278,2,0
1459414909,0,2
1459418486,4,0
1459422110,1,0
1459425679,2,1
1459432908,0,5
1459436477,5,1
1459440080,2,3
1459443683,1,0
1459450909,0,1
1459454477,3,0
1459458080,0,3
1459461713,1,1
1459468882,1,7
1459472512,1,1
1459476084,5,0
1459479679,1,1
1459490485,1,3
1459494091,0,2
1459501280,1,0
1459504882,3,0
1459508491,1,0
1459515693,0,2
1459519279,0,3
1459522882,1,3
1459526493,5,0
1459530082,1,0
1459537281,0,1
1459540882,1,2
1459544489,3,0
1459548110,0,1
1459551708,4,0
1459555403,0,1
1459566095,2,6
1459569681,1,3
1459573281,2,2
1459576906,4,0
1459580509,1,1
1459584110,2,1
1459591279,2,3
1459594892,0,1
1459598484,2,1
1459602109,1,1
1459605695,0,1
1459609284,1,0
1459612882,4,1
1459616509,2,1
1459620080,0,1
1459623740,0,1
1459627281,1,3
1459630892,2,6
1459638094,2,1
1459641711,1,2
1459645324,3,0
1459648999,1,0
1459652473,3,1
1459656077,0,2
1459659736,1,2
1459663276,0,1
1459666901,1,1
1459670510,1,0
1459674083,3,2
1459681289,4,2
1459684907,1,1
1459695691,3,4
1459699283,2,1
1459706483,1,3
1459710082,1,5
1459713734,1,0
1459717291,2,1
1459720895,2,1
1459724475,2,0
1459728205,1,2
1459731821,1,2
1459735280,3,1
1459738887,0,3
1459742668,3,1
1459749682,2,0
1459753301,1,1
1459756890,0,4
1459764080,2,4
1459767685,2,2
1459771280,5,1
1459774879,1,1
1459778509,1,0
1459782084,1,3
1459785683,4,0
1459789307,1,2
1459796489,1,1
1459800108,0,2
1459803709,0,1
1459807341,2,4
1459810908,1,1
1459814603,1,0
1459818087,1,1
1459821689,0,1
1459825286,2,2
1459828879,1,0
1459832491,1,1
1459836108,2,0
1459839683,3,1
1459843280,1,1
1459846886,1,2
1459850508,1,2
1459854108,1,0
1459857692,3,2
1459861340,0,1
1459864908,3,2
1459868479,1,2
1459872081,1,1
1459875679,2,1
1459879291,0,3
1459882879,4,0
1459886508,0,3
1459890091,5,3
1459897279,1,3
1459900941,0,1
1459904506,3,2
1459915341,1,2
1459918881,3,3
1459922490,1,0
1459926079,1,1
1459933282,1,2
1459936941,4,1
1459940480,1,1
1459944077,1,0
1459947685,0,3
1459951285,3,2
1459954881,1,1
1459958481,1,1
1459962079,0,2
1459965692,1,3
1459969307,3,0
1459972884,0,2
1459980089,1,2
1459983695,1,2
1459987293,2,1
1459990942,5,1
1459994513,2,2
1460001693,1,1
1460005281,1,1
1460008908,1,2
1460012483,1,1
1460016083,0,1
1460019695,1,1
1460023294,2,1
1460026885,1,1
1460030480,3,1
1460034087,1,1
1460037694,2,2
1460041292,0,1
1460044892,0,3
1460052107,4,4
1460059411,5,0
1460062893,1,0
1460066542,0,2
1460070140,1,1
1460073690,1,0
1460077296,2,3
1460081067,2,0
1460084482,2,0
1460088092,0,1
1460091686,0,4
1460095288,1,2
1460098908,2,2
1460102507,2,0
1460106077,2,1
1460109691,2,2
1460113286,0,1
1460116887,2,3
1460120540,2,0
1460127707,2,1
1460131281,0,1
1460134879,0,1
1460142080,0,2
1460145708,1,4
1460149284,0,1
1460152940,1,2
1460156484,2,1
1460160135,2,0
1460163673,1,0
1460167399,3,1
1460170886,1,0
1460174473,1,4
1460178080,2,0
1460181688,2,0
1460185286,1,2
1460192481,0,2
1460196078,0,2
1460199680,4,0
1460206873,1,1
1460210502,1,1
1460214075,2,1
1460217683,1,1
1460221281,0,4
1460224873,0,2
1460228478,2,1
1460232077,1,1
1460239284,1,0
1460242885,1,1
1460246599,1,5
1460250085,3,0
1460253681,1,0
1460257275,0,1
1460260933,0,1
1460264488,0,2
1460268107,7,1
1460275283,1,0
1460278883,2,0
1460282486,1,4
1460286106,0,1
1460289706,1,0
1460293337,0,1
1460296878,3,3
1460300482,2,1
1460304083,0,3
1460307679,1,0
1460311306,1,4
1460314890,1,0
1460318537,1,0
1460322078,1,2
1460325803,2,1
1460329283,2,0
1460332909,1,1
1460336509,0,1
1460340140,1,1
1460343688,2,0
1460347284,0,2
1460350909,1,0
1460354508,3,3
1460358093,0,3
1460361681,1,0
1460365287,1,1
1460368884,1,3
1460372540,4,2
1460376095,0,2
1460379694,3,0
1460387008,1,2
1460390508,2,0
1460394106,0,3
1460397675,1,0
1460401279,1,1
1460404891,0,2
1460408491,1,0
1460412081,1,1
1460415683,2,1
1460419290,3,1
1460422881,0,2
1460426510,0,1
1460430090,2,0
1460433726,0,1
1460437284,2,0
1460444495,0,3
1460448084,2,1
1460451709,2,0
