DateTime,AddedIPs,RemovedIPs
1460159808,18,8
1460161749,6,9
1460163657,6,10
1460165641,25,10
1460167463,5,4
1460169414,6,8
1460171322,3,6
1460173242,12,7
1460175174,6,11
1460177079,9,11
1460179266,10,16
1460181193,7,9
1460183084,7,20
1460185282,14,17
1460187167,7,9
1460189089,9,96
1460191014,6,14
1460192936,8,11
1460194853,9,11
1460196783,7,18
1460198927,13,14
1460200852,9,10
1460202771,7,17
1460204709,9,13
1460206616,13,10
1460208538,9,10
1460210813,11,13
1460212856,9,12
1460214770,8,9
1460216682,12,15
1460218595,8,13
1460220749,11,10
1460222699,8,14
1460224588,14,9
1460226536,12,11
1460228438,16,6
1460230373,35,10
1460232253,4,15
1460234193,17,11
1460236104,7,7
1460238038,12,8
1460240227,9,10
1460242117,15,5
1460244051,8,39
1460245954,7,7
1460247857,7,3
1460249807,8,7
1460251704,3,11
1460253653,15,4
1460255552,9,6
1460257453,4,9
1460259657,138,8
1460261575,13,11
1460263455,35,9
1460265430,3,7
1460267321,30,11
1460269257,133,9
1460271171,10,6
1460273543,21,13
1460275466,5,47
1460277407,18,5
1460279315,10,12
1460281237,10,8
1460283168,7,10
1460285053,8,6
1460287595,9,9
1460289423,11,6
1460291358,3,5
1460293306,12,4
1460295216,10,9
1460297102,8,9
1460299040,10,5
1460300964,8,9
1460302892,17,6
1460304811,6,7
1460306715,14,8
1460308637,9,12
1460310562,8,12
1460312481,10,9
1460314419,18,16
1460316322,14,22
1460318269,10,9
1460320216,39,8
1460322134,14,11
1460324163,33,6
1460326147,9,11
1460328060,8,8
1460330009,4,8
1460331897,3,12
1460334046,2,11
1460336049,17,10
1460338269,12,9
1460340084,8,8
1460342035,14,7
1460343899,9,6
1460345840,13,6
1460347743,10,6
1460349630,14,9
1460351626,11,10
1460353489,19,8
1460355392,13,147
1460357313,13,11
1460359719,14,9
1460361635,24,12
1460363563,11,32
1460365804,8,193
1460367739,18,1
1460369636,13,12
1460371499,21,4
1460373526,18,7
1460375398,23,7
1460377342,6,12
1460379204,14,9
1460381347,10,13
1460383282,16,6
1460385233,11,10
1460387125,8,6
1460389182,20,12
1460391214,11,14
1460393110,17,7
1460395042,11,10
1460396970,18,12
1460398866,8,8
1460400770,16,8
1460402694,7,6
1460404661,9,15
1460406560,10,9
1460408489,15,13
1460410373,7,27
1460412327,9,10
1460414217,18,8
1460416310,7,5
1460418320,19,11
1460420242,4,10
1460422216,14,12
1460424059,5,8
1460426097,12,14
1460427990,8,9
1460429831,9,12
1460431743,9,11
1460433687,5,11
1460435614,13,11
1460437812,11,15
1460439679,12,11
1460441595,7,12
1460443613,9,12
1460445502,8,11
1460447661,15,15
1460449528,10,61
1460451442,15,11
1460453349,16,15
1460455266,10,18
1460457199,13,15
1460459375,6,20
1460461266,19,13
1460463241,13,11
1460465402,16,12
1460467309,5,9
1460469209,16,9
1460471068,6,10
1460472986,12,11
1460474926,17,7
1460476834,16,9
1460478748,13,8
1460480677,12,8
1460482577,14,13
1460486392,27,26
1460488382,10,5
1460490253,11,6
1460492223,13,7
1460494121,13,12
1460496073,7,9
1460497964,8,10
1460499875,12,10
1460501815,8,17
1460503728,3,7
1460505645,16,9
1460507578,9,5
1460509452,11,14
1460511378,5,5
1460513308,10,6
1460515221,11,11
1460517170,8,5
1460519062,15,7
1460520976,11,10
1460522922,11,16
1460524819,3,11
1460526744,13,10
1460528673,14,5
1460530580,12,10
1460532503,14,14
1460534439,14,28
1460536401,13,31
1460538283,13,18
1460540218,22,16
1460542130,12,10
1460544034,12,11
1460546248,13,9
1460548112,9,11
1460550314,15,15
1460552187,23,18
1460554132,17,9
1460556078,20,9
1460557966,11,6
1460559893,7,12
1460561787,12,17
1460563749,6,8
1460565887,19,15
1460567843,12,10
1460569723,8,13
1460571659,12,11
1460573580,10,13
1460575483,7,10
1460577416,14,6
1460579343,14,13
1460581261,11,9
1460583166,17,8
1460585091,9,9
1460586990,9,10
1460589188,3,7
1460591059,9,11
1460593258,6,13
1460595190,11,10
1460597102,5,8
1460599021,9,8
1460600945,9,11
1460602898,8,11
1460604776,10,12
1460606948,7,11
1460608850,18,18
1460610803,7,6
1460612706,12,10
1460614658,11,14
1460616539,12,15
1460618448,8,15
1460620412,10,9
1460622301,14,42
1460624224,10,11
1460626144,10,16
1460628101,10,13
1460629974,11,8
1460631903,12,15
1460633825,22,7
1460635768,16,7
1460637666,12,8
1460639624,10,13
1460641520,9,10
1460643461,7,9
1460645307,15,12
1460647264,14,17
1460649162,10,9
1460651541,23,12
1460653467,5,10
1460655382,22,13
1460657339,9,5
1460659250,12,8
1460661166,6,10
1460663077,20,12
1460664986,9,14
1460666917,18,7
1460668825,5,11
1460670757,12,11
1460672667,5,8
1460674595,10,12
1460676501,9,3
1460678429,10,9
1460680369,17,11
1460682270,11,17
1460684207,8,7
1460686112,7,7
1460688292,12,12
1460690232,7,10
1460692117,16,5
1460694046,3,12
1460695971,15,9
1460697906,5,13
1460699797,10,6
1460701722,13,9
1460703672,14,13
1460705584,14,6
1460707506,10,69
1460709667,18,9
1460711589,5,13
1460713487,7,5
1460715433,3,7
1460717341,18,12
1460719562,10,9
1460721512,16,14
1460723568,19,10
1460725470,5,14
1460727403,15,10
1460729325,12,6
1460731266,11,14
1460733229,6,18
1460735858,24,17
1460737715,11,13
1460739637,16,10
1460741906,21,11
1460743750,20,12
1460745679,26,8
1460747886,7,14
1460749750,17,13
1460751784,5,12
1460753587,8,5
1460755484,5,11
1460757417,9,13
1460759339,5,6
1460761269,17,9
1460763199,12,9
1460765073,4,10
1460767013,5,15
1460768948,6,9
1460770863,16,9
1460772814,11,11
1460774903,10,11
1460776838,5,6
1460778789,15,13
1460780676,8,8
1460782614,12,7
1460784534,5,11
1460786454,9,8
1460788828,13,15
1460790798,9,11
1460792707,16,15
1460794645,7,52
1460796550,23,15
1460798499,7,6
1460800420,18,10
1460802476,9,8
1460804478,19,17
1460806305,15,13
1460808617,9,12
1460810472,13,13
1460812427,9,5
1460814319,16,12
1460816256,5,15
1460818248,11,9
1460820138,8,15
1460822005,17,8
1460824093,10,18
1460826068,17,11
1460827947,6,8
1460829939,10,8
1460831823,8,20
1460833793,12,10
1460835798,14,9
1460837676,6,11
1460839492,18,19
1460841438,5,4
1460843352,10,8
1460845279,3,8
1460847198,9,9
1460849125,10,7
1460851025,17,11
1460852961,3,11
