DateTime,AddedIPs,RemovedIPs
1434840868,2,0
1434927616,0,1
1435014584,0,1
1435101502,1,2
1435188454,2,3
1435275403,1,1
1435362320,0,1
1435449254,1,4
1435536006,1,4
1435622969,1,1
1435709933,2,2
1435796826,2,5
1435883783,1,2
1435970708,0,3
1436057725,0,2
1436144432,1,1
1436231708,1,3
1436318295,2,1
1436405228,5,6
1436492182,6,4
1436613819,12,6
1436700425,59,1
1436787420,96,2
1436874311,64,0
1436961253,154,2
1437048016,129,1
1437134994,136,0
1437221984,79,1
1437308832,152,0
1437395793,120,0
1437482716,118,1
1437569659,159,1
1437660990,89,2
1437748073,97,1
1437835023,72,1
1437921909,74,1
1438008851,87,0
1438095647,74,2
1438182586,11,3
1438269501,2,0
1438356431,2,3
1438617282,1,0
1438704012,1,1
1438790970,3,1
1438948750,8,3
1439036058,5,2
1439123576,0,1
1439210186,3,4
1439297137,1,13
1439384057,1,22
1439470821,2,16
1439557776,2,47
1439644791,3,43
1439731649,4,63
1439818586,4,34
1439905558,6,55
1439992086,1,81
1440079227,1,67
1440166734,4,115
1440254223,11,84
1440341355,8,103
1440428436,11,143
1440515907,8,157
1440603388,6,222
1440690954,1,439
1440778226,7,89
1440865681,6,2
1440953154,6,1
1441041132,4,0
1441128441,4,0
1441215561,3,0
1441302863,2,1
1441390181,4,2
1441477292,4,0
1441564718,3,0
1441652088,1,0
1441739401,8,2
1441826932,4,1
1441914366,4,4
1442003312,4,0
1442090745,6,1
1442178059,4,3
1442265515,3,1
1442352720,3,5
1442440299,5,1
1442527393,4,0
1442614818,6,2
1442701831,11,3
1442789146,8,3
1442876484,6,1
1442963937,8,6
1443050945,4,4
1443138352,7,3
1443225386,6,5
1443312592,4,2
1443400099,4,1
1443487584,9,1
1443574850,2,6
1443661933,8,2
1443749329,4,1
1443836855,5,2
1443924333,1,3
1444011874,1,2
1444099322,5,4
1444186506,2,3
1444273842,4,2
1444361275,6,2
1444448778,2,3
1444536033,2,2
1444623539,4,5
1444711064,7,4
1444798509,5,3
1444885803,19,5
1444973273,8,3
1445060760,4,5
1445148092,1,4
1445244810,12,5
1445332173,9,3
1445419697,6,2
1445507141,6,1
1445594551,12,8
1445681965,10,2
1445769513,8,3
1445856891,11,6
1445944205,12,7
1446031680,9,5
1446119297,12,4
1446206428,10,4
1446293944,10,4
1446381424,19,8
1446470672,10,12
1446557831,7,3
1446645357,13,1
1446733513,10,7
1446824323,15,4
1446911363,7,9
1446998582,15,3
1447086011,5,0
1447173427,15,3
1447260881,16,10
1447348177,13,4
1447435691,7,2
1447523148,12,16
1447610440,8,6
1447697943,10,3
1447785413,15,2
1447872970,17,2
1447960476,19,6
1448049419,12,6
1448136588,16,4
1448224065,21,2
1448312012,9,3
1448402348,11,3
1448489388,13,6
1448578598,22,6
1448666127,7,7
1448753266,12,8
1448840781,10,5
1448928124,4,8
1449015512,14,6
1449103116,9,2
1449190455,11,4
1449277817,5,3
1449370835,9,8
1449458333,15,6
1449552919,14,9
1449640269,11,7
1449727834,7,6
1449815239,5,4
1449902301,5,16
1449989658,11,4
1450076997,9,4
1450164467,7,7
1450251953,9,7
1450339279,7,10
1450426724,4,4
1450513745,3,7
1450601172,5,12
1450688446,8,9
1450775539,2,12
1450862878,7,8
1450949932,1,15
1451037279,4,10
1451129554,7,13
1451216767,11,27
1451304072,8,10
1451391296,1,7
1451478447,7,11
1451565940,3,14
1451653286,10,6
1451740718,0,9
1451828214,2,5
1451915663,6,11
1452002991,8,8
1452090015,5,19
1452177495,7,16
1452312111,9,29
1452399550,12,9
1452487118,4,20
1452574499,6,15
1452661837,5,17
1452749305,2,15
1452836770,2,15
1452924149,5,9
1453011583,7,10
1453098817,2,15
1453185885,3,14
1453273005,5,13
1453360139,6,8
1453447256,2,7
1453534380,4,3
1453621513,3,5
1453708618,2,11
1453796020,2,18
1453883094,2,7
1453970464,4,11
1454057564,3,11
1454144703,3,9
1454231809,1,9
1454318941,5,0
1454406058,2,11
1454493284,2,18
1454580389,2,12
1454667654,2,9
1454754787,2,13
1454842093,7,11
1454929268,2,8
1455016431,1,7
1455103512,0,9
1455190604,4,11
1455277757,2,5
1455364868,1,7
1455451972,3,6
1455539087,5,8
1455626246,1,7
1455713347,1,1
1455800458,5,7
1455887594,0,5
1455974681,1,5
1456061862,3,2
1456148937,5,3
1456236078,6,2
1456323237,2,2
1456410370,6,1
1456497456,4,3
1456584601,8,2
1456671699,1,2
1456758835,3,5
1456845922,5,1
1456933050,5,4
1457020175,3,1
1457107308,0,2
1457194439,1,1
1457281533,130,0
1457368713,136,2
1457456028,106,8
1457543210,67,0
1457630626,96,1
1457717858,165,1
1457804986,152,3
1457892101,70,0
1457979230,62,2
1458066390,48,3
1458153744,140,1
1458241060,130,3
1458328185,81,2
1458415322,108,1
1458502439,79,2
1458589520,67,3
1458676659,22,3
1458763785,41,3
1458850816,30,2
1458937961,26,3
1459025077,53,2
1459112210,94,3
1459199680,1,3
1459287000,3,5
1459374371,2,4
1459461496,7,14
1459548634,2,10
1459635738,4,6
1459722963,4,1
1459810582,3,2
1459897799,2,29
1459985161,4,28
1460072260,6,28
1460159423,2,23
1460246572,3,61
1460334051,4,72
1460421248,8,60
1460508393,2,46
1460595729,3,36
1460682874,3,28
1460769933,6,82
1460857046,1,91
1460944184,3,64
1461031327,2,90
1461118431,4,91
