DateTime,Entries,UniqueIPs
1434479047,76,76
1434580713,76,76
1434580713,76,76
1434667360,76,76
1434667360,76,76
1434753929,74,74
1434840869,72,72
1434927617,72,72
1435014586,60,60
1435101503,58,58
1435188455,60,60
1435275404,59,59
1435362321,59,59
1435449255,57,57
1435622970,58,58
1435709934,57,57
1435796827,56,56
1435883784,55,55
1435970709,56,56
1436057726,57,57
1436144433,58,58
1436231709,56,56
1436318296,51,51
1436405230,51,51
1436492183,52,52
1436613821,53,53
1436700426,56,56
1436787422,56,56
1436874312,56,56
1436961254,57,57
1437048017,58,58
1437134995,57,57
1437221985,59,59
1437308833,58,58
1437395794,58,58
1437482717,61,61
1437748074,63,63
1437835024,66,66
1437921910,70,70
1438095648,69,69
1438182587,73,73
1438269502,72,72
1438356433,73,73
1438443390,73,73
1438530325,75,75
1438617283,76,76
1438704013,74,74
1438790971,73,73
1438948751,76,76
1439036059,77,77
1439123577,76,76
1439123577,76,76
1439123577,76,76
1439123577,76,76
1439210187,76,76
1439210187,76,76
1439384058,75,75
1439470822,73,73
1439557777,71,71
1439644792,69,69
1439644792,69,69
1439731650,69,69
1439818587,69,69
1439905559,71,71
1439992087,67,67
1440079228,68,68
1440079228,68,68
1440166735,72,72
1440341356,73,73
1440428437,73,73
1440515908,70,70
1440603389,70,70
1440690955,69,69
1440778227,61,61
1440865682,62,62
1440953155,61,61
1441041133,63,63
1441128442,59,59
1441215562,59,59
1441302865,61,61
1441390182,60,60
1441477293,62,62
1441564718,64,64
1441739402,68,68
1441826933,70,70
1442003313,72,72
1442090745,71,71
1442265516,71,71
1442352721,71,71
1442440300,72,72
1442614819,75,75
1442701832,74,74
1442789147,75,75
1442876485,74,74
1442963938,75,75
1443050946,72,72
1443138353,74,74
1443225387,74,74
1443312593,75,75
1443400100,80,80
1443487585,89,89
1443661934,86,86
1443749330,87,87
1443836856,85,85
1443924344,84,84
1444099323,85,85
1444186507,86,86
1444273843,84,84
1444361276,84,84
1444623539,82,82
1444711065,84,84
1444798510,84,84
1444885804,85,85
1444973274,85,85
1445060761,84,84
1445148093,86,86
1445244811,85,85
1445419698,86,86
1445594552,81,81
1445681966,82,82
1445769513,81,81
1445856892,76,76
1445944206,75,75
1446031681,69,69
1446119298,64,64
1446206429,65,65
1446293945,64,64
1446381425,64,64
1446470673,65,65
1446645358,64,64
1446733514,64,64
1446824324,65,65
1446911364,59,59
1446998583,60,60
1447173428,61,61
1447260882,60,60
1447348178,61,61
1447435693,61,61
1447523149,60,60
1447610441,60,60
1447697943,59,59
1447785414,58,58
1447872972,54,54
1447960477,50,50
1448049420,53,53
1448136589,54,54
1448224066,56,56
1448312013,55,55
1448402349,58,58
1448489389,59,59
1448578600,60,60
1448666129,61,61
1448753267,62,62
1448840782,60,60
1448928125,61,61
1449015513,64,64
1449103118,65,65
1449190457,67,67
1449277818,66,66
1449370836,64,64
1449458334,62,62
1449552920,62,62
1449640270,65,65
1449727834,67,67
1449815240,69,69
1449902303,68,68
1449989659,71,71
1450076998,72,72
1450164469,72,72
1450251954,71,71
1450339280,72,72
1450426725,71,71
1450601174,71,71
1450688447,70,70
1450775541,70,70
1450862880,69,69
1450949933,69,69
1451037280,69,69
1451129556,68,68
1451216768,68,68
1451304073,69,69
1451391297,70,70
1451478448,72,72
1451565941,74,74
1451653287,76,76
1451740719,77,77
1451828215,76,76
1451915664,77,77
1452002992,76,76
1452090016,80,80
1452177496,80,80
1452312112,74,74
1452399551,73,73
1452487119,81,81
1452574500,81,81
1452661838,82,82
1452749306,83,83
1452836771,81,81
1452924150,83,83
1453011584,84,84
1453098820,86,86
1453185886,101,101
1453273006,103,103
1453360140,107,107
1453447256,111,111
1453534380,113,113
1453621515,115,115
1453708618,116,116
1453796021,116,116
1453883095,117,117
1453970467,119,119
1454057565,120,120
1454144704,121,121
1454231810,119,119
1454318942,118,118
1454406059,117,117
1454493285,116,116
1454580392,130,130
1454667655,128,128
1454754788,128,128
1454842094,127,127
1454929268,126,126
1455016435,127,127
1455103512,115,115
1455190605,117,117
1455277757,116,116
1455364870,117,117
1455451974,118,118
1455539088,117,117
1455626247,115,115
1455713348,115,115
1455800459,112,112
1455887595,107,107
1455974681,108,108
1456061864,104,104
1456148938,101,101
1456236081,97,97
1456323238,98,98
1456410371,97,97
1456497457,100,100
1456584602,95,95
1456671700,92,92
1456758837,87,87
1456845925,80,80
1456933051,81,81
1457020176,81,81
1457107312,78,78
1457194440,83,83
1457281535,85,85
1457368714,87,87
1457543211,85,85
1457630629,87,87
1457717861,85,85
1457804987,84,84
1457892105,87,87
1458066391,90,90
1458153745,88,88
1458241062,88,88
1458328188,87,87
1458502441,90,90
1458589521,92,92
1458676662,97,97
1458850819,99,99
1458937962,99,99
1459025080,100,100
1459112211,104,104
1459199681,105,105
1459287002,107,107
1459374375,123,123
1459461499,122,122
1459548635,129,129
1459635741,130,130
1459722966,133,133
1459810585,133,133
1459897801,137,137
1459985164,135,135
1460072261,142,142
1460159426,141,141
1460246575,142,142
1460334052,146,146
1460421249,149,149
1460508394,147,147
1460595733,125,125
1460682875,127,127
1460857047,124,124
1460944185,126,126
1461031329,137,137
