DateTime,Entries,UniqueIPs
1434479288,22,22
1434580718,22,22
1434667365,23,23
1434667365,23,23
1434840874,23,23
1434927622,21,21
1435014591,21,21
1435101507,20,20
1435188459,22,22
1435275408,22,22
1435362325,24,24
1435536011,26,26
1435622975,26,26
1435709938,28,28
1435796831,29,29
1435883788,29,29
1436144437,29,29
1436231713,26,26
1436318300,29,29
1436405234,32,32
1436492187,32,32
1436613827,33,33
1436700430,35,35
1436874316,36,36
1436961261,37,37
1437221989,36,36
1437395798,37,37
1437482722,39,39
1437569664,38,38
1437660996,37,37
1437748080,36,36
1437835030,35,35
1437921915,36,36
1438095654,31,31
1438182593,30,30
1438269507,29,29
1438356438,28,28
1438443396,28,28
1438530329,27,27
1438617288,30,30
1438790976,28,28
1438948757,26,26
1439036064,26,26
1439123583,26,26
1439123583,26,26
1439123583,26,26
1439210194,27,27
1439210194,27,27
1439297144,31,31
1439470828,29,29
1439557783,31,31
1439644798,32,32
1439644798,32,32
1439818593,32,32
1439992092,31,31
1440079233,31,31
1440079233,31,31
1440166741,32,32
1440254229,33,33
1440341362,34,34
1440428442,36,36
1440515913,34,34
1440603394,34,34
1440603394,34,34
1440778233,35,35
1440865687,34,34
1441041137,33,33
1441128447,31,31
1441215567,30,30
1441302873,31,31
1441390186,31,31
1441477298,32,32
1441564723,31,31
1441652094,32,32
1441739407,35,35
1441826938,36,36
1441914372,39,39
1442090750,40,40
1442178064,41,41
1442352727,39,39
1442440305,37,37
1442527399,38,38
1442701839,36,36
1442789152,36,36
1442876490,34,34
1443050951,35,35
1443138358,33,33
1443225392,35,35
1443312598,36,36
1443400105,35,35
1443487592,36,36
1443661941,38,38
1443749335,39,39
1443836862,40,40
1443924350,36,36
1444011881,36,36
1444099329,35,35
1444186513,35,35
1444273848,47,47
1444361281,44,44
1444448788,46,46
1444623544,47,47
1444711070,47,47
1444973279,48,48
1445060766,48,48
1445148098,45,45
1445244816,45,45
1445332178,43,43
1445419702,45,45
1445507147,44,44
1445769519,45,45
1445856897,47,47
1445944211,46,46
1446031686,47,47
1446206434,49,49
1446381430,52,52
1446557835,52,52
1446645361,53,53
1446733517,54,54
1446824329,56,56
1446911367,37,37
1446998586,37,37
1447086017,36,36
1447173432,35,35
1447260886,42,42
1447348181,43,43
1447435696,44,44
1447523153,44,44
1447610444,46,46
1447697947,47,47
1447960481,45,45
1448049425,45,45
1448136593,47,47
1448224071,48,48
1448312017,48,48
1448402353,46,46
1448489392,47,47
1448578606,48,48
1448666136,47,47
1448753270,48,48
1448840786,47,47
1448928128,49,49
1449015516,48,48
1449103124,50,50
1449190463,51,51
1449277821,52,52
1449370840,53,53
1449458337,54,54
1449552924,54,54
1449640273,54,54
1449727838,55,55
1449815243,56,56
1449902306,55,55
1449989662,57,57
1450164475,58,58
1450251960,56,56
1450339284,55,55
1450426728,56,56
1450513752,56,56
1450601177,56,56
1450688451,57,57
1450775545,59,59
1450862883,62,62
1450949936,62,62
1451037283,63,63
1451129560,62,62
1451216771,59,59
1451391301,64,64
1451478451,61,61
1451565944,62,62
1451653290,61,61
1451740722,63,63
1451828218,65,65
1451915676,60,60
1452002995,61,61
1452090020,63,63
1452177500,61,61
1452312115,66,66
1452399554,65,65
1452487122,62,62
1452574504,60,60
1452661844,60,60
1452749309,59,59
1452836774,58,58
1452924153,58,58
1453011589,56,56
1453098825,58,58
1453185890,59,59
1453273011,60,60
1453360143,63,63
1453447259,63,63
1453534383,64,64
1453621520,64,64
1453708621,65,65
1453796024,65,65
1453883101,61,61
1453970470,58,58
1454057571,59,59
1454144711,60,60
1454231816,60,60
1454318947,60,60
1454406066,62,62
1454493293,62,62
1454580399,63,63
1454667659,64,64
1454754792,65,65
1454842100,69,69
1454929274,72,72
1455016443,72,72
1455103522,74,74
1455190608,77,77
1455277764,79,79
1455364879,81,81
1455451980,82,82
1455539092,87,87
1455713354,86,86
1455800465,87,87
1455887600,86,86
1455974685,87,87
1456061868,91,91
1456148945,92,92
1456236091,94,94
1456323246,93,93
1456410377,95,95
1456497465,95,95
1456584607,96,96
1456671713,100,100
1456758846,100,100
1456845932,99,99
1456933057,100,100
1457020180,99,99
1457107318,102,102
1457194451,101,101
1457281540,105,105
1457368721,110,110
1457456046,112,112
1457543217,113,113
1457630638,115,115
1457717868,117,117
1457804995,117,117
1457892114,117,117
1457979241,114,114
1458066403,117,117
1458153755,118,118
1458241075,121,121
1458328196,126,126
1458415329,126,126
1458502454,126,126
1458589528,126,126
1458676672,128,128
1458763795,134,134
1458850826,137,137
1458937972,135,135
1459025091,135,135
1459112220,134,134
1459199693,137,137
1459287014,136,136
1459374383,136,136
1459461506,132,132
1459548645,132,132
1459635749,132,132
1459722975,133,133
1459810593,126,126
1459897809,125,125
1459985173,127,127
1460072278,127,127
1460159435,127,127
1460246589,122,122
1460334065,122,122
1460421254,120,120
1460508401,121,121
1460595745,123,123
1460682884,124,124
1460769940,128,128
1460857055,128,128
1460944190,125,125
1461031340,125,125
