DateTime,Entries,UniqueIPs
1459865311,1352,1357
1459867006,1351,1356
1459867723,1350,1355
1459872818,1352,1357
1459877312,1351,1356
1459883334,1350,1355
1459884755,1349,1354
1459889091,1350,1355
1459897227,1349,1354
1459898213,1349,1354
1459901779,1348,1353
1459903264,1348,1353
1459903940,1347,1352
1459912126,1346,1351
1459913229,1347,1352
1459914306,1346,1351
1459917376,1348,1353
1459921700,1349,1354
1459929685,1349,1354
1459931794,1348,1353
1459935428,1349,1354
1459936817,1350,1355
1459937548,1351,1356
1459938994,1352,1357
1459940422,1353,1358
1459941861,1352,1357
1459945032,1353,1358
1459945707,1352,1357
1459946426,1353,1358
1459947142,1354,1359
1459947869,1353,1358
1459949561,1354,1359
1459950251,1356,1361
1459950977,1356,1361
1459953145,1357,1362
1459955304,1253,1258
1459956016,1252,1257
1459956754,1253,1258
1459960643,1254,1259
1459968500,1253,1258
1459970914,1254,1259
1459971620,1255,1260
1459973314,1257,1262
1459981221,1258,1263
1459987225,1257,1262
1459988911,1256,1261
1459993222,1254,1259
1459995659,1255,1260
1459998508,1256,1261
1460002817,1255,1260
1460004243,1257,1262
1460005759,1256,1261
1460006427,1257,1262
1460009305,1258,1263
1460013846,1257,1262
1460014600,1256,1261
1460015306,1255,1260
1460016748,1256,1261
1460017483,1257,1262
1460018924,1259,1264
1460020376,1258,1263
1460034282,1257,1262
1460037375,1258,1263
1460038816,1259,1264
1460039554,1261,1266
1460041277,1262,1267
1460055378,1263,1268
1460056160,1264,1269
1460056821,1267,1272
1460057564,1272,1277
1460058259,1272,1277
1460058977,1274,1279
1460059716,1275,1280
1460060443,1276,1281
1460062586,1277,1282
1460065707,1278,1283
1460069555,1279,1284
1460071700,1281,1286
1460073149,1281,1286
1460075299,1282,1287
1460079867,1281,1286
1460082319,1280,1285
1460089001,1282,1287
1460093555,1283,1288
1460094250,1284,1289
1460094982,1285,1290
1460097845,1286,1291
1460105085,1288,1293
1460107473,1287,1292
1460108225,1286,1291
1460110371,1285,1290
1460114892,1284,1289
1460115628,1286,1291
1460116346,1287,1292
1460117071,1288,1293
1460120538,1259,1263
1460121167,1262,1266
1460124759,1264,1268
1460126914,1263,1267
1460130988,1264,1268
1460131717,1266,1270
1460132662,1267,1271
1460134151,1267,1271
1460136246,1266,1270
1460137698,1265,1269
1460138437,1266,1270
1460139894,1265,1269
1460140584,1264,1268
1460141956,1265,1269
1460142753,1266,1270
1460144444,1267,1271
1460151680,1268,1272
1460154750,1269,1273
1460155502,1268,1272
1460159044,1270,1274
1460164126,1270,1275
1460165613,1271,1276
1460167026,1270,1275
1460167699,1272,1277
1460171309,1271,1276
1460177787,1270,1275
1460180835,1271,1276
1460181629,1272,1277
1460185254,1271,1276
1460187383,1273,1278
1460189548,1274,1279
1460190253,1276,1281
1460191703,1277,1282
1460192504,1279,1284
1460197229,1280,1285
1460200344,1280,1285
1460201053,1279,1284
1460203943,1278,1283
1460206103,1277,1282
1460210780,1276,1281
1460220342,1275,1280
1460222681,1274,1279
1460225542,1275,1280
1460229640,1273,1278
1460233456,1271,1276
1460236357,1270,1275
1460237303,1271,1276
1460240208,1270,1275
1460241626,1271,1276
1460244032,1272,1277
1460244745,1274,1279
1460246174,1275,1280
1460256502,1274,1279
1460257227,1276,1281
1460259638,1275,1280
1460264650,1276,1281
1460267546,1275,1280
1460268281,1275,1280
1460272811,1274,1279
1460275950,1273,1278
1460276634,1274,1279
1460277387,1275,1280
1460278118,1276,1281
1460278850,1275,1280
1460285322,1276,1281
1460289632,1275,1280
1460290346,1274,1279
1460293953,1275,1280
1460298502,1276,1281
1460301395,1277,1282
1460305707,1279,1284
1460306416,1280,1285
1460310733,1279,1284
1460315777,1280,1285
1460316505,1280,1285
1460317232,1281,1286
1460321563,1282,1287
1460324917,1283,1288
1460327045,1284,1289
1460336647,1285,1290
1460338251,1286,1291
1460348650,1287,1292
1460349387,1289,1294
1460365227,1288,1293
1460366219,1289,1294
1460369057,1288,1293
1460371950,1287,1292
1460379377,1288,1293
1460380879,1289,1294
1460382995,1288,1293
1460383714,1287,1292
1460384747,1288,1293
1460389482,1287,1292
1460392374,1288,1293
1460393095,1287,1292
1460393782,1288,1293
1460395222,1287,1292
1460395941,1288,1293
