DateTime,Entries,UniqueIPs
1461006606,9528,9528
1461007685,9529,9529
1461008526,9530,9530
1461010215,9529,9529
1461011285,9530,9530
1461012125,9528,9528
1461012967,9530,9530
1461016567,9527,9527
1461017644,9524,9524
1461018484,9527,9527
1461019327,9523,9523
1461020165,9526,9526
1461021245,9522,9522
1461022085,9523,9523
1461022925,9521,9521
1461023765,9524,9524
1461024846,9528,9528
1461026526,9525,9525
1461028448,9529,9529
1461030126,9526,9526
1461031221,9523,9523
1461032047,9524,9524
1461032885,9526,9526
1461033724,9528,9528
1461034566,9533,9533
1461035646,9535,9535
1461036485,9538,9538
1461037327,9535,9535
1461039015,9533,9533
1461040086,9535,9535
1461040926,9526,9526
1461041766,9525,9525
1461043685,9530,9530
1461044526,9533,9533
1461045365,9534,9534
1461046215,9535,9535
1461047286,9536,9536
1461048126,9537,9537
1461049807,9535,9535
1461050886,9537,9537
1461051726,9537,9537
1461052565,9535,9535
1461053415,9537,9537
1461054486,9538,9538
1461055327,9539,9539
1461056165,9540,9540
1461057005,9541,9541
1461058927,9541,9541
1461059767,9542,9542
1461060615,9542,9542
1461062527,9535,9535
1461064447,9531,9531
1461065284,9535,9535
1461066127,9536,9536
1461066966,9537,9537
1461068047,9538,9538
1461069727,9534,9534
1461070565,9536,9536
1461071647,9534,9534
1461073326,9531,9531
1461075015,9528,9528
1461076926,9527,9527
1461078607,9527,9527
1461079685,9528,9528
1461081365,9523,9523
1461082446,9524,9524
1461084126,9524,9524
1461084965,9523,9523
1461085807,9524,9524
1461086886,9526,9526
1461087726,9525,9525
1461088565,9528,9528
1461089647,9485,9485
1461091327,9400,9400
1461092167,9402,9402
1461093007,9401,9401
1461094088,9403,9403
1461094926,9400,9400
1461097686,9401,9401
1461098527,9389,9389
1461100207,9353,9353
1461104045,9269,9269
1461104886,9272,9272
1461105725,9274,9274
1461106565,9276,9276
1461107399,9273,9273
1461108485,9273,9273
1461109326,9269,9269
1461110166,9270,9270
1461111014,9272,9272
1461112085,9274,9274
1461112927,9272,9272
1461114606,9274,9274
1461115685,9275,9275
1461116526,9275,9275
1461117365,9278,9278
1461118215,9278,9278
1461119286,9280,9280
1461120127,9282,9282
1461120965,9285,9285
1461122046,9288,9288
1461122886,9290,9290
1461123727,9290,9290
1461124566,9289,9289
1461125415,9290,9290
1461126485,9292,9292
1461127327,9294,9294
1461129005,9293,9293
1461130925,9292,9292
1461131766,9295,9295
1461132845,9296,9296
1461134527,9298,9298
1461135365,9299,9299
1461135620,9297,9297
1461137284,9299,9299
1461138125,9297,9297
1461138967,9298,9298
1461141727,9297,9297
1461142565,9298,9298
1461143407,9301,9301
1461144486,9300,9300
1461145327,9299,9299
1461161650,9316,9316
1461171367,9318,9318
1461173285,9316,9316
1461174127,9315,9315
1461174966,9317,9317
1461175815,9318,9318
1461176886,9319,9319
1461177726,9319,9319
1461178566,9320,9320
1461179408,9321,9321
1461180486,9325,9325
1461181327,9326,9326
1461182166,9328,9328
1461183015,9327,9327
1461184085,9331,9331
1461184927,9329,9329
1461185765,9334,9334
1461186606,9333,9333
1461187684,9335,9335
1461188526,9331,9331
1461189365,9334,9334
1461189627,9331,9331
1461190446,9333,9333
1461191285,9334,9334
1461192127,9333,9333
1461192965,9334,9334
1461193805,9329,9329
1461194886,9331,9331
1461195727,9329,9329
1461196566,9333,9333
1461197414,9332,9332
1461198487,9338,9338
1461199326,9343,9343
1461200166,9347,9347
1461201007,9351,9351
1461202107,9355,9355
1461202926,9354,9354
1461203764,9360,9360
1461204645,9352,9352
1461205686,9353,9353
1461206547,9353,9353
1461207394,9353,9353
1461208207,9354,9354
1461208448,9357,9357
1461209309,9358,9358
1461210126,9358,9358
1461210966,9359,9359
1461211836,9360,9360
1461212886,9360,9360
1461213752,9358,9358
1461215645,9357,9357
1461216521,9361,9361
1461217326,9359,9359
1461218166,9364,9364
1461218456,9364,9364
1461219292,9419,9419
1461220085,9421,9421
1461220939,9424,9424
1461221792,9423,9423
1461222847,9425,9425
1461223721,9424,9424
1461224526,9422,9422
1461225367,9427,9427
1461226203,9426,9426
1461227285,9431,9431
1461228153,9431,9431
1461229001,9435,9435
1461229804,9444,9444
1461230047,9462,9462
1461230922,9523,9523
1461231726,9592,9592
1461232565,9667,9667
1461233442,9725,9725
1461234486,9792,9792
1461235331,9835,9835
1461236211,9899,9899
1461237246,9972,9972
1461238123,10029,10029
1461238946,10042,10042
1461239767,10051,10051
1461243401,10275,10275
1461244205,10338,10338
1461244446,10354,10354
1461245327,10410,10410
1461246126,10449,10449
1461246966,10466,10466
1461248083,10504,10504
1461248885,10558,10558
1461249732,10576,10576
1461250613,10576,10576
1461251406,10577,10577
1461256935,10589,10589
1461259704,10593,10593
1461260570,10578,10578
1461261366,10577,10577
1461261666,10575,10575
1461262483,10577,10577
1461263284,10578,10578
1461264964,10579,10579
1461265805,10581,10581
1461266885,10588,10588
1461267724,10586,10586
1461268564,10591,10591
1461269646,10592,10592
1461270485,10592,10592
1461271327,10592,10592
1461272164,10593,10593
1461273005,10597,10597
1461274084,10600,10600
1461274926,10599,10599
1461275764,10600,10600
1461276020,10602,10602
1461276846,10602,10602
1461277685,10604,10604
1461278525,10605,10605
1461279366,10606,10606
1461280206,10604,10604
1461281284,10607,10607
1461282126,10605,10605
1461282965,10608,10608
1461283815,10607,10607
1461284885,10610,10610
1461285725,10606,10606
1461286566,10607,10607
1461287406,10605,10605
1461288486,10606,10606
1461289325,10607,10607
1461290165,10608,10608
1461291014,10607,10607
1461292084,10608,10608
1461292925,10619,10619
1461293766,10622,10622
1461294605,10623,10623
1461295685,10624,10624
1461296525,10618,10618
1461297365,10622,10622
1461298215,10623,10623
1461299286,10626,10626
1461300966,10627,10627
1461301806,10624,10624
1461302887,10626,10626
1461303727,10623,10623
1461304565,10624,10624
1461305415,10622,10622
1461307326,10620,10620
1461308165,10620,10620
1461309006,10619,10619
1461310085,10622,10622
1461310927,10625,10625
1461311765,10628,10628
1461312615,10626,10626
1461313685,10627,10627
1461314562,10649,10649
1461315412,10693,10693
1461316206,10751,10751
1461316446,10766,10766
1461317352,10817,10817
1461318180,10859,10859
1461318965,10896,10896
1461320079,10935,10935
1461321043,10975,10975
1461321727,10995,10995
1461322623,11054,11054
1461323647,11095,11095
1461324537,11096,11096
1461325348,11090,11090
1461326165,11096,11096
1461327045,11095,11095
1461327277,11097,11097
1461328207,11098,11098
1461328945,11094,11094
1461329809,11096,11096
1461330847,11100,11100
1461331742,11104,11104
1461335348,11101,11101
1461336145,11096,11096
1461337019,11100,11100
1461337858,11098,11098
1461338046,11097,11097
1461341686,11092,11092
1461344336,11093,11093
1461345245,11093,11093
1461346149,11094,11094
1461346979,11090,11090
1461347766,11092,11092
1461348652,11094,11094
1461350596,11088,11088
1461351442,11091,11091
1461352447,11089,11089
1461353322,11090,11090
1461354965,11088,11088
1461355858,11087,11087
1461356082,11086,11086
1461356934,11088,11088
1461357788,11091,11091
1461358622,11095,11095
1461359450,11095,11095
1461359645,11099,11099
1461360543,11104,11104
1461362166,11105,11105
1461363015,11104,11104
1461364085,11106,11106
1461364926,11101,11101
1461365766,11102,11102
1461366021,11100,11100
1461366846,11101,11101
1461367686,11103,11103
1461368525,11101,11101
1461369366,11105,11105
1461370215,11099,11099
1461371286,11099,11099
1461372125,11098,11098
1461372965,11099,11099
1461373807,11095,11095
1461374885,11096,11096
1461375725,11095,11095
1461376566,11094,11094
1461377415,11093,11093
1461379325,11092,11092
1461380165,11094,11094
1461381005,11093,11093
1461381245,11094,11094
1461382125,11093,11093
1461383040,11091,11091
1461384615,11091,11091
1461385725,11092,11092
1461386564,11091,11091
1461387366,11091,11091
1461388205,11089,11089
1461388445,11089,11089
1461389490,11093,11093
1461390177,11035,11035
1461390966,11037,11037
1461391814,11037,11037
1461392886,11037,11037
1461393770,11035,11035
1461395745,11034,11034
1461396486,11034,11034
1461397400,11032,11032
1461398216,11032,11032
1461399117,11030,11030
1461400085,11032,11032
1461401011,10952,10952
1461401765,10952,10952
1461402845,10876,10876
1461403685,10877,10877
1461404524,10769,10769
1461405365,10772,10772
1461406214,10704,10704
1461407285,10706,10706
1461408125,10593,10593
1461408965,10594,10594
1461409804,10571,10571
1461410947,10570,10570
1461411724,10441,10441
1461413645,10362,10362
1461414484,10362,10362
1461415325,10191,10191
1461416164,10194,10194
1461417005,10164,10164
1461418084,10164,10164
1461418925,10033,10033
1461420845,10034,10034
1461421686,10036,10036
1461422526,10036,10036
1461423365,10037,10037
1461424445,10039,10039
1461425286,10041,10041
1461426125,10037,10037
1461427815,10037,10037
1461428885,10040,10040
1461429725,10039,10039
1461430565,10041,10041
1461431406,10043,10043
1461432485,10047,10047
1461433326,10045,10045
1461434418,10072,10072
1461435245,10124,10124
1461436085,10125,10125
1461436926,10114,10114
1461437764,10115,10115
1461438605,10113,10113
1461439685,10115,10115
1461440524,10111,10111
1461441365,10111,10111
1461442214,10110,10110
1461443284,10114,10114
1461444125,10107,10107
1461446045,10110,10110
1461447006,10111,10111
1461447727,10113,10113
1461448565,10116,10116
1461449415,10116,10116
1461450484,10115,10115
1461451325,10113,10113
1461452165,10112,10112
1461453004,10113,10113
1461454925,10109,10109
1461456845,10110,10110
1461457685,10111,10111
1461458525,10109,10109
1461459366,10111,10111
1461460207,10110,10110
1461461285,10112,10112
1461462125,10101,10101
1461462965,10102,10102
1461463814,10098,10098
1461465726,10096,10096
1461467405,10095,10095
1461468486,10100,10100
1461469325,10097,10097
1461471014,10096,10096
1461472084,10097,10097
1461472925,10096,10096
1461473765,10097,10097
1461474605,10096,10096
1461475684,10098,10098
1461476525,10099,10099
1461478215,10099,10099
1461479285,10098,10098
1461480126,10092,10092
1461480965,10093,10093
1461481806,10092,10092
1461482885,10093,10093
1461483726,10080,10080
1461484565,10082,10082
1461485415,10010,10010
1461486485,10011,10011
1461487325,9853,9853
1461488165,9852,9852
1461489005,9771,9771
1461490085,9772,9772
1461490925,9659,9659
1461491765,9662,9662
1461492614,9536,9536
1461493684,9539,9539
1461494526,9503,9503
1461495365,9506,9506
1461496180,9504,9504
1461497285,9507,9507
1461498965,9501,9501
1461499814,9501,9501
1461500045,9500,9500
1461500944,9504,9504
1461501822,9498,9498
1461503646,9499,9499
1461504544,9500,9500
1461506176,9500,9500
1461507015,9500,9500
1461507244,9501,9501
1461508154,9504,9504
1461509209,9504,9504
1461510844,9504,9504
1461511898,9505,9505
1461512837,9503,9503
1461514444,9507,9507
1461515284,9509,9509
1461516125,9505,9505
1461516966,9504,9504
1461517805,9502,9502
1461518885,9503,9503
1461519724,9503,9503
1461520565,9507,9507
1461521415,9510,9510
1461522486,9512,9512
1461523326,9510,9510
1461524165,9511,9511
1461525006,9511,9511
1461526925,9506,9506
1461528847,9500,9500
1461529685,9503,9503
1461530525,9496,9496
1461532204,9496,9496
1461533284,9498,9498
1461534124,9495,9495
1461536045,9495,9495
1461536886,9497,9497
1461537726,9493,9493
