DateTime,Entries,UniqueIPs
1460709727,2336,2336
1460710567,2348,2348
1460711407,2337,2337
1460712488,2347,2347
1460713328,2334,2334
1460714166,2345,2345
1460715247,2336,2336
1460716087,2339,2339
1460716928,2315,2315
1460717768,2321,2321
1460718036,2318,2318
1460718847,2320,2320
1460719810,2328,2328
1460720528,2314,2314
1460721367,2321,2321
1460721642,2316,2316
1460722447,2324,2324
1460723286,2327,2327
1460724127,2320,2320
1460724967,2322,2322
1460725807,2315,2315
1460726887,2328,2328
1460727729,2329,2329
1460728566,2338,2338
1460729648,2334,2334
1460730486,2337,2337
1460731326,2319,2319
1460732166,2324,2324
1460733007,2318,2318
1460734087,2323,2323
1460734928,2314,2314
1460735767,2319,2319
1460736616,2312,2312
1460737687,2322,2322
1460738527,2292,2292
1460739367,2299,2299
1460739632,2257,2257
1460740446,2262,2262
1460741286,2268,2268
1460742128,2260,2260
1460742967,2275,2275
1460743816,2273,2273
1460744886,2289,2289
1460745729,2262,2262
1460746566,2275,2275
1460747647,2280,2280
1460748487,2286,2286
1460749327,2283,2283
1460750166,2298,2298
1460751015,2298,2298
1460752088,2303,2303
1460752926,2278,2278
1460753767,2284,2284
1460754606,2278,2278
1460755686,2283,2283
1460756526,2262,2262
1460757368,2266,2266
1460758216,2262,2262
1460759287,2266,2266
1460760127,2248,2248
1460760965,2249,2249
1460762046,2247,2247
1460762887,2252,2252
1460763727,2241,2241
1460764566,2247,2247
1460765416,2240,2240
1460766486,2249,2249
1460767328,2224,2224
1460768166,2237,2237
1460769007,2234,2234
1460770087,2242,2242
1460770926,2236,2236
1460771766,2243,2243
1460772616,2238,2238
1460773687,2251,2251
1460774526,2242,2242
1460775367,2251,2251
1460776206,2254,2254
1460777286,2260,2260
1460778127,2207,2207
1460778966,2220,2220
1460779816,2215,2215
1460780886,2223,2223
1460781727,2221,2221
1460782566,2227,2227
1460783407,2227,2227
1460784486,2234,2234
1460785328,2226,2226
1460786166,2233,2233
1460787016,2232,2232
1460788086,2236,2236
1460788927,2234,2234
1460789767,2246,2246
1460790036,2243,2243
1460790848,2250,2250
1460791687,2254,2254
1460792528,2242,2242
1460793367,2246,2246
1460794216,2243,2243
1460795287,2249,2249
1460796126,2238,2238
1460796966,2244,2244
1460797808,2240,2240
1460798887,2253,2253
1460799728,2233,2233
1460800567,2241,2241
1460801647,2244,2244
1460802487,2257,2257
1460803327,2241,2241
1460804167,2252,2252
1460805008,2244,2244
1460806086,2253,2253
1460806929,2240,2240
1460807768,2248,2248
1460808847,2247,2247
1460809686,2251,2251
1460810527,2244,2244
1460811366,2252,2252
1460812208,2242,2242
1460813286,2255,2255
1460814126,2239,2239
1460814967,2250,2250
1460815816,2249,2249
1460816886,2256,2256
1460817728,2251,2251
1460818566,2256,2256
1460819406,2247,2247
1460820487,2257,2257
1460821327,2238,2238
1460823016,2244,2244
1460824089,2247,2247
1460824927,2254,2254
1460825766,2261,2261
1460826576,2259,2259
1460827686,2254,2254
1460828527,2231,2231
1460829366,2238,2238
1460830448,2237,2237
1460831286,2252,2252
1460832126,2241,2241
1460832967,2249,2249
1460833807,2240,2240
1460834888,2247,2247
1460835730,2241,2241
1460836567,2251,2251
1460837416,2248,2248
1460838486,2259,2259
1460839326,2187,2187
1460840167,2196,2196
1460841000,2189,2189
1460842087,2199,2199
1460842927,2181,2181
1460843767,2189,2189
1460844033,2182,2182
1460844848,2187,2187
1460845687,2194,2194
1460846527,2176,2176
1460847367,2179,2179
1460848447,2172,2172
1460849287,2180,2180
1460850127,2156,2156
1460850966,2163,2163
1460851816,2152,2152
1460852888,2157,2157
1460853726,2132,2132
1460854567,2136,2136
1460855646,2133,2133
1460856486,2139,2139
1460857328,2112,2112
1460858166,2116,2116
1460858436,2107,2107
1460859246,2113,2113
1460860087,2126,2126
1460860926,2112,2112
1460861767,2118,2118
1460862607,2120,2120
1460863688,2123,2123
1460864527,2123,2123
1460865367,2131,2131
1460866216,2124,2124
1460867287,2135,2135
1460868126,2120,2120
1460868966,2123,2123
1460869808,2109,2109
1460870887,2110,2110
1460871726,2098,2098
1460872567,2109,2109
1460873647,2103,2103
1460874486,2112,2112
1460875325,2106,2106
1460876166,2113,2113
1460876425,2102,2102
1460877247,2106,2106
1460878088,2115,2115
1460878927,2105,2105
1460879766,2110,2110
1460880616,2105,2105
1460881687,2112,2112
1460882526,2091,2091
1460883367,2094,2094
1460884208,2091,2091
1460885287,2097,2097
1460886126,2087,2087
1460886967,2099,2099
1460888047,2093,2093
1460888886,2098,2098
1460889727,2084,2084
1460890566,2090,2090
1460891648,2085,2085
1460892487,2088,2088
1460893328,2070,2070
1460894168,2075,2075
1460895016,2074,2074
1460896086,2086,2086
1460896928,2069,2069
1460898024,2063,2063
1460898849,2067,2067
1460899688,2070,2070
1460900528,2062,2062
1460901368,2066,2066
1460902216,2066,2066
1460903287,2075,2075
1460904127,2070,2070
1460904968,2072,2072
1460905808,2076,2076
1460906048,2080,2080
1460907006,2090,2090
1460909647,2073,2073
1460910487,2082,2082
1460911328,2078,2078
1460912168,2083,2083
1460913007,2064,2064
1460914087,2069,2069
1460914928,2055,2055
1460916848,2062,2062
1460917686,2067,2067
1460918526,2046,2046
1460919367,2049,2049
1460920207,2034,2034
1460921288,2041,2041
1460922128,2019,2019
1460922966,2028,2028
1460924046,2026,2026
1460924888,2031,2031
1460925728,2027,2027
1460926566,2030,2030
1460927408,2025,2025
1460928486,2029,2029
1460929327,2021,2021
1460930168,2024,2024
1460931246,2025,2025
1460932087,2031,2031
1460932927,2034,2034
1460933767,2042,2042
1460934608,2036,2036
1460935686,2044,2044
1460936528,2040,2040
1460937368,2047,2047
1460938215,2047,2047
1460939288,2051,2051
1460940129,2036,2036
1460940966,2045,2045
1460941809,2040,2040
1460942887,2043,2043
1460943727,2023,2023
1460944568,2030,2030
1460945415,2030,2030
1460946487,2035,2035
1460947329,2016,2016
1460948166,2023,2023
1460949007,2009,2009
1460950087,2025,2025
1460950927,2016,2016
1460951766,2022,2022
1460952615,2016,2016
1460953686,2026,2026
1460954529,2013,2013
1460955367,2019,2019
1460956209,2016,2016
1460957286,2031,2031
1460958129,2016,2016
1460958968,2021,2021
1460960888,2022,2022
1460961727,2015,2015
1460962567,2026,2026
1460963408,2025,2025
1460964487,2033,2033
1460965326,2026,2026
1460966169,2029,2029
1460966968,2027,2027
1460968088,2035,2035
1460968928,2020,2020
1460969768,2026,2026
1460970027,2018,2018
1460970847,2024,2024
1460971687,2046,2046
1460972529,2043,2043
1460973367,2060,2060
1460974449,2065,2065
1460975287,2076,2076
1460976129,2070,2070
1460976967,2076,2076
1460977809,2077,2077
1460978887,2082,2082
1460979728,2081,2081
1460980567,2088,2088
1460981650,2086,2086
1460982488,2106,2106
1460983330,2095,2095
1460984166,2102,2102
1460985009,2094,2094
1460986088,2104,2104
1460986927,2100,2100
1460987767,2113,2113
1460988846,2118,2118
1460989689,2128,2128
1460990529,2117,2117
1460991367,2127,2127
1460992209,2127,2127
1460993287,2137,2137
1460994128,2129,2129
1460994967,2139,2139
1460996048,2147,2147
1460996886,2158,2158
1460997727,2164,2164
1460998566,2174,2174
1460999409,2167,2167
1461000487,2174,2174
1461001328,2148,2148
1461002168,2158,2158
1461003249,2170,2170
1461004086,2175,2175
1461004928,2171,2171
1461005767,2186,2186
1461006609,2181,2181
1461007687,2190,2190
1461008529,2179,2179
1461009368,2190,2190
1461010216,2187,2187
1461011286,2206,2206
1461012127,2203,2203
