DateTime,Entries,UniqueIPs
1460667363,22088,22088
1460668442,22139,22139
1460669282,22174,22174
1460670122,22122,22122
1460670962,22153,22153
1460672043,22154,22154
1460672882,22190,22190
1460673723,22116,22116
1460674563,22138,22138
1460675403,22107,22107
1460676482,22128,22128
1460677323,22050,22050
1460678163,22076,22076
1460679243,22066,22066
1460680082,22090,22090
1460680922,21993,21993
1460681762,22030,22030
1460682603,22039,22039
1460683682,22103,22103
1460684522,22056,22056
1460685363,22087,22087
1460686202,22075,22075
1460687282,22130,22130
1460688123,22093,22093
1460689230,22088,22088
1460690042,22126,22126
1460690883,22170,22170
1460691722,22126,22126
1460692562,22163,22163
1460693402,22143,22143
1460694483,22208,22208
1460695323,22146,22146
1460696162,22195,22195
1460697003,22168,22168
1460698082,22238,22238
1460698922,22189,22189
1460699763,22239,22239
1460700602,22217,22217
1460701682,22273,22273
1460702523,22209,22209
1460703362,22244,22244
1460704203,22244,22244
1460705282,22298,22298
1460706122,22230,22230
1460706962,22278,22278
1460707802,22260,22260
1460708883,22287,22287
1460709723,22197,22197
1460710562,22231,22231
1460711403,22180,22180
1460712483,22242,22242
1460713323,22187,22187
1460714162,22218,22218
1460715242,22202,22202
1460716082,22215,22215
1460716923,22030,22030
1460718031,21890,21890
1460718842,21926,21926
1460719803,21953,21953
1460720522,21831,21831
1460721632,21816,21816
1460722442,21846,21846
1460723283,21873,21873
1460724123,21780,21780
1460724962,21806,21806
1460725802,21721,21721
1460726882,21756,21756
1460727723,21569,21569
1460728562,21599,21599
1460729642,21514,21514
1460730482,21540,21540
1460731323,21388,21388
1460732163,21412,21412
1460733002,21318,21318
1460734082,21363,21363
1460734923,21170,21170
1460735762,21197,21197
1460736603,21061,21061
1460737683,21123,21123
1460738523,20873,20873
1460739628,20697,20697
1460740442,20726,20726
1460741282,20773,20773
1460742123,20619,20619
1460742962,20657,20657
1460743802,20595,20595
1460744882,20640,20640
1460745723,20459,20459
1460746563,20499,20499
1460747643,20440,20440
1460748483,20463,20463
1460749322,20336,20336
1460750162,20365,20365
1460751002,20332,20332
1460752083,20370,20370
1460752922,20283,20283
1460753762,20309,20309
1460754602,20264,20264
1460755683,20292,20292
1460756523,20180,20180
1460757362,20205,20205
1460758203,20175,20175
1460759282,20204,20204
1460760122,20128,20128
1460760961,20141,20141
1460762042,20106,20106
1460762882,20136,20136
1460763723,20078,20078
1460764563,20104,20104
1460765403,20062,20062
1460766482,20102,20102
1460767323,20003,20003
1460768162,20039,20039
1460769002,19997,19997
1460770082,20029,20029
1460770922,19957,19957
1460771762,19973,19973
1460772602,19920,19920
1460773682,19955,19955
1460774522,19869,19869
1460775362,19895,19895
1460776202,19864,19864
1460777282,19890,19890
1460778123,19714,19714
1460778963,19752,19752
1460779803,19695,19695
1460780882,19727,19727
1460781723,19626,19626
1460782562,19647,19647
1460783402,19632,19632
1460784482,19663,19663
1460785322,19570,19570
1460786162,19595,19595
1460787003,19526,19526
1460788083,19549,19549
1460788923,19381,19381
1460790006,19417,19417
1460790843,19337,19337
1460791683,19356,19356
1460792523,19206,19206
1460793362,19232,19232
1460794202,19152,19152
1460795283,19199,19199
1460796122,19002,19002
1460796962,19037,19037
1460797803,18938,18938
1460798882,18990,18990
1460799722,18807,18807
1460800562,18830,18830
1460801642,18778,18778
1460802483,18813,18813
1460803323,18621,18621
1460804162,18649,18649
1460805003,18573,18573
1460806082,18604,18604
1460806923,18424,18424
1460807763,18441,18441
1460808842,18382,18382
1460809682,18402,18402
1460810522,18263,18263
1460811363,18295,18295
1460812202,18225,18225
1460813283,18268,18268
1460814122,18107,18107
1460814962,18138,18138
1460815802,18074,18074
1460816883,18107,18107
1460817723,17939,17939
1460818562,17967,17967
1460819402,17869,17869
1460820483,17908,17908
1460821323,17791,17791
1460823002,17799,17799
1460824083,17831,17831
1460824923,17866,17866
1460825762,17890,17890
1460826572,17883,17883
1460827682,17857,17857
1460828523,17685,17685
1460829362,17700,17700
1460830442,17667,17667
1460831282,17709,17709
1460832122,17606,17606
1460832962,17629,17629
1460833803,17581,17581
1460834883,17611,17611
1460835725,17541,17541
1460836562,17572,17572
1460837402,17551,17551
1460838482,17579,17579
1460839322,17449,17449
1460840162,17475,17475
1460840997,17435,17435
1460842083,17457,17457
1460842923,17385,17385
1460844028,17381,17381
1460844843,17400,17400
1460845683,17424,17424
1460846522,17359,17359
1460847363,17377,17377
1460848442,17354,17354
1460849283,17375,17375
1460850123,17306,17306
1460850962,17322,17322
1460851803,17284,17284
1460852883,17301,17301
1460853722,17189,17189
1460854562,17209,17209
1460855642,17184,17184
1460856482,17212,17212
1460857323,17112,17112
1460858406,17135,17135
1460859242,17091,17091
1460860082,17112,17112
1460860922,17029,17029
1460861762,17046,17046
1460862603,17010,17010
1460863683,17035,17035
1460864523,16936,16936
1460865363,16955,16955
1460866202,16886,16886
1460867282,16920,16920
1460868122,16820,16820
1460868962,16836,16836
1460869803,16786,16786
1460870882,16787,16787
1460871722,16699,16699
1460872563,16721,16721
1460873642,16670,16670
1460874483,16692,16692
1460875322,16612,16612
1460876417,16592,16592
1460877242,16624,16624
1460878082,16664,16664
1460878923,16610,16610
1460879763,16661,16661
1460880603,16668,16668
1460881683,16709,16709
1460882522,16619,16619
1460883362,16654,16654
1460884203,16645,16645
1460885282,16696,16696
1460886122,16664,16664
1460886962,16700,16700
1460888042,16675,16675
1460888882,16703,16703
1460889722,16644,16644
1460890828,16643,16643
1460891642,16671,16671
1460892482,16698,16698
1460893323,16645,16645
1460894162,16674,16674
1460895002,16652,16652
1460896082,16685,16685
1460896922,16624,16624
1460898005,16662,16662
1460898843,16633,16633
1460899682,16655,16655
1460900523,16596,16596
1460901362,16626,16626
1460902203,16612,16612
1460903282,16643,16643
1460904122,16547,16547
1460904963,16567,16567
1460905803,16540,16540
1460906042,16546,16546
1460907002,16571,16571
1460909643,16470,16470
1460910482,16494,16494
1460911323,16409,16409
1460912162,16430,16430
1460913003,16387,16387
1460914082,16409,16409
1460914923,16338,16338
1460916842,16345,16345
1460917683,16366,16366
1460918522,16316,16316
1460919362,16382,16382
1460920202,16412,16412
1460921282,16499,16499
1460922123,16433,16433
1460922961,16466,16466
1460924042,16447,16447
1460924883,16465,16465
1460925723,16427,16427
1460926562,16436,16436
1460927403,16421,16421
1460928482,16438,16438
1460929323,16419,16419
1460930163,16454,16454
1460931242,16469,16469
1460932083,16500,16500
1460932923,16490,16490
1460933762,16528,16528
1460934602,16515,16515
1460935683,16540,16540
1460936523,16492,16492
1460937362,16513,16513
1460938202,16499,16499
1460939282,16529,16529
1460940122,16470,16470
1460940962,16494,16494
1460941803,16480,16480
1460942882,16500,16500
1460943722,16445,16445
1460944563,16469,16469
1460945403,16445,16445
1460946482,16466,16466
1460947323,16423,16423
1460948162,16444,16444
1460949003,16419,16419
1460950082,16449,16449
1460950922,16419,16419
1460951762,16451,16451
1460952602,16432,16432
1460953682,16465,16465
1460954522,16417,16417
1460955363,16438,16438
1460956203,16433,16433
1460957282,16469,16469
1460958124,16421,16421
1460958962,16442,16442
1460960883,16468,16468
1460961722,16423,16423
1460962563,16465,16465
1460963402,16454,16454
1460964483,16494,16494
1460965322,16434,16434
1460966163,16455,16455
1460966965,16436,16436
1460968082,16479,16479
1460968923,16414,16414
1460970006,16448,16448
1460970842,16437,16437
1460971682,16473,16473
1460972522,16426,16426
1460973362,16469,16469
1460974444,16472,16472
1460975283,16510,16510
1460976122,16488,16488
1460976962,16520,16520
1460977802,16531,16531
1460978882,16564,16564
1460979723,16518,16518
1460980563,16548,16548
1460981643,16536,16536
1460982482,16591,16591
1460983323,16542,16542
1460984162,16575,16575
1460985002,16560,16560
1460986082,16612,16612
1460986923,16563,16563
1460987762,16605,16605
1460988842,16608,16608
1460989683,16637,16637
1460990522,16591,16591
1460991362,16633,16633
1460992202,16636,16636
1460993283,16676,16676
1460994122,16627,16627
1460994962,16656,16656
1460996042,16656,16656
1460996882,16691,16691
1460997723,16663,16663
1460998562,16690,16690
1460999403,16681,16681
1461000482,16715,16715
1461001322,16650,16650
1461002163,16689,16689
1461003243,16703,16703
1461004082,16741,16741
1461004923,16709,16709
1461005762,16748,16748
1461006602,16724,16724
1461007682,16758,16758
1461008522,16723,16723
1461009362,16751,16751
1461010203,16728,16728
1461011282,16767,16767
1461012122,16743,16743
1461012963,16773,16773
1461016563,16826,16826
1461017642,16834,16834
1461018482,16870,16870
1461019323,16842,16842
1461020162,16878,16878
1461021242,16874,16874
1461022082,16900,16900
1461022923,16882,16882
1461023762,16914,16914
1461024842,16927,16927
1461025682,16952,16952
1461026522,16924,16924
1461027363,16948,16948
1461028443,16967,16967
1461029283,16996,16996
1461030123,16970,16970
1461031218,16963,16963
1461032042,16993,16993
1461032883,17024,17024
1461033722,17001,17001
1461034562,17034,17034
1461035642,17039,17039
1461036482,17064,17064
1461037323,17013,17013
1461038162,17050,17050
1461039003,17046,17046
1461040082,17087,17087
1461040922,17032,17032
1461041762,17059,17059
1461043682,17098,17098
1461044523,17056,17056
1461045362,17089,17089
1461046203,17055,17055
1461047282,17095,17095
1461048122,17010,17010
1461048963,17036,17036
1461049802,16994,16994
1461050883,17037,17037
1461051723,16964,16964
1461052562,16984,16984
1461053403,16973,16973
1461054483,17098,17098
1461055323,17161,17161
1461056162,17290,17290
1461057002,17378,17378
1461058083,17563,17563
1461058923,17661,17661
1461059763,17699,17699
1461060602,17692,17692
1461061682,17735,17735
1461062523,17674,17674
1461063363,17705,17705
1461064442,17752,17752
1461065282,17799,17799
1461066123,17770,17770
1461066962,17831,17831
1461068043,17876,17876
1461068882,17971,17971
1461069723,17980,17980
1461070562,18003,18003
1461071642,18003,18003
1461072482,18040,18040
1461073322,17987,17987
1461074162,18015,18015
1461075003,18012,18012
1461076082,18047,18047
1461076922,18014,18014
1461077763,18049,18049
1461078602,18041,18041
1461079682,18080,18080
1461081362,18066,18066
1461082442,18085,18085
1461083282,18110,18110
1461084122,18096,18096
1461084962,18135,18135
1461085802,18136,18136
1461086882,18178,18178
1461087722,18112,18112
1461088562,18139,18139
1461089643,18110,18110
1461090482,18143,18143
1461091322,18043,18043
1461092162,18079,18079
1461093002,18067,18067
1461094083,18100,18100
1461094922,18079,18079
1461095763,18100,18100
1461096606,18096,18096
1461097682,18143,18143
1461098523,18102,18102
1461099362,18127,18127
1461100203,18091,18091
1461104042,18062,18062
1461104882,18111,18111
1461105722,18089,18089
1461106562,18134,18134
1461107397,18120,18120
1461108482,18171,18171
1461109323,18162,18162
1461110162,18211,18211
1461111002,18216,18216
1461112082,18262,18262
1461112923,18257,18257
1461113762,18275,18275
1461114602,18287,18287
1461115682,18319,18319
1461116522,18306,18306
1461117363,18342,18342
1461118203,18343,18343
1461119283,18396,18396
1461120123,18358,18358
1461120962,18400,18400
1461122042,18539,18539
1461122883,18576,18576
1461123723,18520,18520
1461124563,18542,18542
1461125402,18544,18544
1461126482,18591,18591
1461127323,18552,18552
