DateTime,AddedIPs,RemovedIPs
1459591823,0,2
1459593756,2,0
1459599597,1,3
1459600105,1,0
1459600947,0,1
1459602624,0,1
1459654943,15,17
1459671265,1,9
1459693708,5,7
1459698990,2,2
1459712551,2,5
1459716978,1,3
1459719743,2,1
1459721670,1,0
1459736070,3,2
1459750473,2,2
1459764868,2,3
1459779266,7,1
1459793672,3,5
1459808045,3,2
1459822445,7,7
1459836845,2,2
1459851245,1,2
1459865645,4,3
1459880885,3,3
1459888927,7,5
1459903325,9,4
1459917727,3,2
1459932126,2,4
1459946525,5,6
1459960926,10,6
1459975326,7,0
1459989725,6,9
1460004966,6,1
1460019619,4,2
1460034016,7,4
1460048416,4,2
1460062817,1,9
1460076965,7,4
1460091366,6,4
1460106019,6,1
1460120166,3,4
1460134821,6,13
1460149221,2,3
1460163366,3,4
1460177765,2,4
1460192165,4,2
1460201286,4,2
1460202126,0,2
1460209325,1,2
1460210166,1,0
1460214606,1,0
1460218215,1,1
1460220127,1,1
1460223726,0,1
1460228418,0,2
1460230086,0,1
1460230925,1,0
1460232845,1,1
1460234525,0,4
1460236206,1,0
1460238126,1,0
1460241726,1,1
1460242566,1,0
1460243406,0,1
1460245326,1,1
1460246166,1,0
1460250845,0,2
1460252526,0,1
1460253621,0,1
1460254445,1,0
1460256127,0,1
1460258046,1,0
1460260819,1,0
1460261646,1,0
1460262485,1,0
1460263326,0,1
1460265246,1,2
1460266926,1,0
1460267766,0,1
1460269685,1,1
1460270526,0,3
1460274127,0,1
1460277725,1,0
1460278566,1,0
1460279406,0,1
1460281326,1,1
1460287686,1,1
1460289366,1,0
1460290215,0,1
1460294885,2,0
1460295725,0,1
1460297646,0,1
1460301245,1,1
1460302926,1,2
1460304615,1,1
1460305685,1,0
1460306526,0,1
1460308206,0,1
1460310128,1,0
1460312886,1,0
1460313727,0,2
1460314567,1,0
1460315406,0,1
1460316487,0,1
1460319016,2,0
1460320086,1,0
1460320927,0,2
1460325366,1,0
1460326215,0,1
1460328126,2,1
1460331726,0,1
1460333646,1,0
1460334485,1,0
1460335325,1,1
1460340615,1,0
1460346126,1,0
1460349727,0,1
1460352487,1,0
1460360527,1,0
1460361629,0,1
1460366046,6,0
1460366886,1,0
1460367729,0,2
1460368567,1,0
1460369415,0,1
1460371336,0,3
1460373247,1,0
1460374938,1,0
1460378538,0,2
1460379367,1,0
1460380448,0,1
1460384047,1,0
1460384886,1,0
1460386567,0,2
1460387399,0,1
1460388485,1,0
1460389351,0,1
1460390445,1,0
1460400167,0,1
1460400965,2,0
1460402886,1,0
1460403748,2,0
1460404567,4,0
1460405416,1,0
1460406486,2,0
1460407455,2,2
1460408167,4,0
1460409006,2,0
1460410964,1,1
1460411767,2,0
1460412847,1,1
1460414570,2,0
1460416447,2,1
1460417287,2,0
1460418966,2,0
1460419276,0,2
1460421850,1,0
1460422566,1,0
1460426166,0,2
1460428086,2,0
1460429767,1,1
1460430608,0,1
1460432572,0,1
1460433365,0,1
1460436967,1,1
1460439727,0,1
1460448615,0,1
1460449686,1,0
1460451326,1,0
1460457726,0,3
1460459408,0,1
1460460487,1,0
1460462167,1,0
1460464088,1,0
1460464928,1,2
1460467686,2,0
1460472128,1,1
1460473807,0,2
1460475728,1,1
1460478486,1,0
1460479327,0,1
1460481247,0,1
1460482087,0,1
1460483767,1,0
1460487366,1,0
1460490127,0,4
1460494568,1,0
1460496485,0,1
1460497327,0,1
1460500927,1,0
1460501767,1,0
1460504527,1,4
1460507286,0,1
1460508967,1,0
1460510048,1,0
1460511726,0,1
1460513647,0,1
1460514486,1,0
1460515327,0,1
1460519766,1,0
1460520615,1,0
1460522526,0,2
1460526967,1,0
1460536086,0,1
1460536927,0,5
1460539687,1,0
1460541367,1,0
1460543285,1,0
1460544128,0,3
1460546886,1,0
1460547727,0,1
1460549648,1,0
1460551327,1,0
1460552166,1,0
1460553008,1,0
1460554086,0,1
1460554927,0,3
1460556616,1,0
1460557687,1,0
1460558528,0,2
1460561287,1,0
1460564047,1,0
1460569327,0,1
1460570168,1,0
1460570423,0,2
1460572929,1,2
1460574848,0,4
1460576528,1,5
1460578215,0,6
1460579410,2,0
1460580128,0,1
1460582048,0,1
1460583726,0,1
1460585415,0,2
1460587328,0,6
1460589008,2,1
1460592615,0,1
1460594527,0,1
1460597288,1,0
1460598127,1,1
1460599816,0,2
1460617809,1,0
1460621416,0,1
1460623327,0,1
1460625006,1,0
1460626087,1,0
1460626927,3,0
1460627767,1,0
1460634127,0,2
1460636048,1,0
1460637731,0,2
1460640486,2,0
1460641328,0,1
1460644928,0,1
1460648527,0,2
1460651286,1,0
1460652967,1,0
1460653807,1,0
1460657648,1,1
1460658487,1,0
1460661007,0,1
1460662928,1,0
1460664615,0,1
1460665687,1,0
1460668447,1,0
1460669286,0,1
1460672046,1,0
1460673728,1,0
1460675407,0,1
1460678166,2,0
1460680926,1,0
1460682609,1,0
1460683686,1,0
1460684526,1,0
1460687286,1,0
1460688126,1,0
1460690046,0,1
1460691727,0,1
1460692567,1,0
1460702527,1,0
1460703365,1,0
1460706966,1,0
1460711407,1,0
1460712488,1,0
1460713327,0,1
1460715246,1,0
1460716928,0,1
1460718035,0,2
1460718846,2,0
1460719808,1,0
1460720528,1,2
1460721642,0,2
1460722447,0,1
1460724126,0,2
1460727729,0,2
1460728566,1,0
1460729647,1,1
1460730486,1,0
1460732166,1,0
1460734928,0,1
1460737687,2,0
1460738526,0,1
1460740446,1,0
1460742127,0,3
1460744886,1,0
1460745728,0,2
1460746566,2,0
1460752088,1,0
1460756526,1,0
1460757368,4,0
1460758216,2,0
1460760127,1,1
1460760965,1,0
1460763727,1,0
1460764566,1,0
1460767328,2,1
1460768166,1,0
1460770086,1,0
1460770926,1,0
1460774525,1,0
1460777285,1,0
1460780885,1,0
1460788086,1,0
1460794215,0,1
1460796126,0,1
1460797807,0,2
1460801647,1,0
1460803327,0,1
1460804167,1,0
1460806928,0,1
1460808847,1,0
1460810526,0,2
1460814967,2,0
1460815815,1,0
1460816886,1,0
1460820487,1,0
1460821327,0,1
1460823015,4,0
1460824088,2,0
1460824927,1,0
1460825766,2,0
1460826576,0,1
1460828526,1,2
1460829366,1,0
1460830447,2,0
1460831285,1,0
1460832125,3,1
1460835729,2,1
1460836566,2,0
1460839325,0,1
1460840167,3,0
1460842086,1,0
1460842926,6,0
1460843767,1,0
1460848446,1,3
1460850126,0,1
1460850965,1,0
1460853726,1,0
1460855646,1,1
1460856486,1,0
1460857327,0,2
1460859246,1,0
1460861766,1,0
1460869807,0,1
1460871726,0,1
1460873647,0,1
1460876424,0,1
1460878927,1,2
1460879766,1,0
1460882525,0,3
1460886126,1,1
1460886966,2,0
1460888046,0,1
1460888886,0,1
1460889726,0,4
1460896927,1,0
1460898024,1,1
1460900527,1,1
1460901367,1,1
1460902216,1,1
1460903287,1,0
1460904127,0,1
1460909647,1,2
1460914086,1,0
1460914927,1,3
1460916847,0,1
1460918525,1,0
1460922127,0,1
1460924046,6,0
1460925727,1,1
1460926566,0,1
1460927408,0,1
1460929327,1,1
1460931246,0,2
1460932927,0,1
1460934608,1,0
1460935686,1,0
1460937367,1,0
1460938215,0,2
1460943727,0,1
1460944567,0,1
1460945415,0,3
1460947329,0,3
1460950926,0,1
1460953686,1,0
1460954529,1,0
1460956209,2,1
1460958129,1,1
1460958967,0,1
1460960888,0,1
1460964487,2,0
1460965326,0,2
1460968088,5,0
1460968927,0,2
1460969767,0,1
1460972529,0,1
1460974449,1,0
1460975286,1,0
1460976128,1,0
1460976967,0,1
1460979727,0,1
1460983330,1,0
1460985008,0,2
1460986088,1,0
1460986927,0,3
1460987767,1,0
1460988846,1,1
1460989688,1,0
1460990528,2,0
1460991366,1,0
1460992209,1,0
1460994127,1,3
1460994967,1,0
1460996047,1,0
1460997726,0,1
1460999409,0,1
1461001327,0,3
1461004086,1,0
1461004928,0,1
1461006609,1,3
1461008528,0,2
1461010216,0,5
1461012127,0,5
1461012968,1,0
1461016568,1,2
1461017646,1,0
1461022085,1,0
1461024848,1,0
1461026527,0,1
1461028449,1,0
1461031222,0,2
1461032049,1,0
1461033726,1,0
1461034567,0,1
1461040087,1,0
1461040928,1,0
1461043687,1,0
1461045366,1,0
1461046216,0,1
1461048127,0,1
1461053416,0,1
1461055328,0,1
1461057007,2,1
1461058088,1,0
1461066967,1,0
1461068048,0,1
1461068886,1,0
1461069728,0,2
1461071648,0,2
1461073328,0,2
1461074167,2,0
1461075016,0,1
1461076086,1,0
1461076928,1,0
1461081367,0,1
1461083285,1,0
1461084128,1,1
1461087727,0,1
1461089648,1,1
1461090486,1,0
1461094927,1,5
1461096630,1,0
1461097687,1,0
1461098528,1,0
1461104046,1,3
1461105726,1,2
1461107400,1,1
1461108486,1,0
1461109326,0,1
1461112928,1,1
1461114608,0,1
1461116528,2,0
1461117367,1,0
1461119287,1,0
1461127329,0,2
1461133687,2,0
1461134528,1,1
1461138127,0,2
1461138967,0,1
