DateTime,AddedIPs,RemovedIPs
1457679915,252,208
1457701937,271,248
1457723796,202,286
1457745680,161,207
1457767721,120,186
1457789797,97,126
1457811904,120,70
1457833964,158,110
1457856035,213,153
1457878100,96,221
1457899980,128,113
1457922027,235,112
1457944106,141,230
1457965987,165,159
1457988024,240,166
1458009902,213,229
1458031938,142,218
1458053782,165,150
1458075628,132,165
1458097480,116,136
1458119321,73,129
1458141421,111,77
1458163465,4471,87
1458185327,1768,3849
1458207393,1254,1967
1458229466,62,1670
1458251317,274,89
1458273375,1706,193
1458295251,40,1776
1458317313,175,56
1458339187,93,171
1458361219,429,86
1458383062,283,381
1458404920,109,329
1458426765,42,124
1458448610,86,41
1458470660,99,84
1458492772,132,95
1458514828,415,111
1458536674,93,426
1458558531,1577,96
1458580614,1827,1404
1458602466,140,1921
1458624504,629,175
1458646373,2,697
1458668425,7,2
1458690303,2,6
1458712352,3,2
1458734438,1,3
1458756283,66,1
1458778126,2853,56
1458800178,2060,2098
1458822033,375,2625
1458843908,476,338
1458865974,376,491
1458888024,832,492
1458910125,489,763
1458931971,1486,380
1458954050,613,1460
1458976130,505,765
1458997983,648,518
1459020215,453,633
1459042098,860,453
1459063975,1110,694
1459086060,220,1333
1459108137,1106,231
1459130010,1353,827
1459152075,591,1456
1459174126,1246,636
1459196706,385,1317
1459218777,1208,392
1459240837,333,1162
1459262706,813,339
1459284684,257,577
1459306595,1121,487
1459328736,976,1027
1459350594,1577,871
1459372827,494,1718
1459394853,1865,473
1459416811,194,2027
1459438839,5472,147
1459461091,1209,4713
1459482985,1034,1723
1459504872,1855,995
1459526908,510,2000
1459549058,90,753
1459570909,1172,93
1459592921,735,975
1459614775,2088,650
1459636874,245,2295
1459658956,901,273
1459681005,552,822
1459703095,458,601
1459724938,655,447
1459747085,784,596
1459769062,773,756
1459790929,1235,796
1459812786,1022,1123
1459834876,837,1036
1459856921,195,1030
1459878773,1305,165
1459900833,621,1193
1459922972,428,741
1459945062,480,438
1459967088,5103,294
1459988959,3379,3845
1460011249,369,4570
1460033302,1698,525
1460055392,1252,1512
1460077274,1777,1294
1460099323,456,1994
1460121191,2074,443
1460143229,1022,1723
1460165100,505,1277
1460187172,523,586
1460209227,1209,510
1460231093,241,1301
1460252958,488,169
1460274998,1236,460
1460296853,322,1293
1460318704,92,379
1460340552,395,88
1460362416,154,378
1460384773,388,177
1460406791,144,454
1460429079,711,117
1460450931,100,694
1460472991,192,94
1460494847,777,191
1460516929,1780,611
1460538799,1747,1459
1460560891,1871,1554
1460582918,954,2140
1460604780,770,1159
1460626622,905,788
1460648674,5040,609
1460670531,2123,4055
1460692618,1247,2787
1460714656,2842,1300
1460736534,2079,2777
1460758378,2617,1978
1460780464,1278,2649
1460802481,1677,1608
1460824377,3233,1511
1460846446,2110,3058
1460868600,896,2448
1460890648,3235,724
1460912700,1836,2891
1460934782,1272,2269
1460956838,1465,1323
1460978918,541,1750
1461001047,167,836
1461023073,67,200
1461044937,109,94
1461067019,540,97
1461089110,1011,423
1461111157,626,933
1461133016,319,744
1461161894,3645,195
