DateTime,AddedIPs,RemovedIPs
1457723335,201,12
1457810441,108,15
1457897567,118,11
1457984973,159,15
1458072076,111,15
1458159155,331,1414
1458246291,94,1624
1458333411,99,1875
1458420505,82,885
1458507644,69,656
1458594794,1193,386
1458681879,779,28
1458769017,226,123
1458856161,858,441
1458943245,397,261
1459030380,298,101
1459117493,256,36
1459204600,119,28
1459291725,150,41
1459378849,208,115
1459465997,1425,763
1459553093,595,434
1459640472,629,784
1459727575,102,26
1459814712,231,77
1459901821,323,112
1459988950,1475,2383
1460076050,946,1138
1460163294,467,331
1460250560,278,178
1460337677,158,94
1460424777,141,173
1460511878,588,254
1460599044,718,307
1460686132,1016,780
1460773287,916,1174
1460860381,610,938
1460947496,183,487
1461034604,409,182
