DateTime,Entries,UniqueIPs
1457636100,825,825
1457723345,959,959
1457723345,959,959
1457810446,509,509
1457897574,616,616
1457984979,791,791
1458072082,646,646
1458159161,4674,4674
1458246298,295,295
1458333417,48,48
1458420509,44,44
1458507648,18,18
1458594799,990,990
1458681884,8,8
1458769022,2055,2055
1458856166,876,876
1458943251,848,848
1459030384,658,658
1459117500,1675,1675
1459204606,1659,1659
1459291730,1317,1317
1459378854,290,290
1459466003,1765,1765
1459553099,257,257
1459640479,770,770
1459727581,792,792
1459814718,2731,2731
1459901828,869,869
1459988957,4941,4941
1460076055,1572,1572
1460163300,607,607
1460250566,651,651
1460337683,441,441
1460424782,170,170
1460511884,2557,2557
1460599050,1207,1207
1460686138,2090,2090
1460773292,1331,1331
1460860387,1678,1678
1460947502,1839,1839
1461034611,147,147
