DateTime,AddedIPs,RemovedIPs
1458396245,64,65
1458400086,63,60
1458405844,60,60
1458409927,75,62
1458413767,105,121
1458419527,64,74
1458423366,71,60
1458427206,82,116
1458435128,93,141
1458440887,68,62
1458444725,59,79
1458446886,101,106
1458452884,104,98
1458456724,155,130
1458464643,117,67
1458470404,109,98
1458478082,109,107
1458486245,106,95
1458493928,97,102
1458497764,62,53
1458503527,120,110
1458509289,64,85
1458515044,91,125
1458518891,47,90
1458527046,116,128
1458530887,55,60
1458534724,89,100
1458540487,199,182
1458544571,78,74
1458548647,58,40
1458554418,116,91
1458560172,70,70
1458566169,100,109
1458570007,78,44
1458573846,67,59
1458577690,48,54
1458584404,129,97
1458590164,127,151
1458597843,115,134
1458603604,53,97
1458605767,62,96
1458611524,154,128
1458621125,141,164
1458626887,102,117
1458628804,113,77
1458634563,125,87
1458640564,106,102
1458648243,103,113
1458655925,95,89
1458663848,113,98
1458669606,133,103
1458675365,69,70
1458681124,129,127
1458686888,100,133
1458694564,106,158
1458699611,65,57
1458707288,144,158
1458711127,104,119
1458716884,168,144
1458724563,108,81
1458730326,61,47
1458736086,96,108
1458739923,61,50
1458745690,102,98
1458750013,54,47
1458755767,62,58
1458761527,109,115
1458765366,79,71
1458771366,103,130
1458775204,52,73
1458779044,46,99
1458786726,140,119
1458790564,58,71
1458796574,190,206
1458804252,179,134
1458810963,58,48
1458812883,133,92
1458820563,126,123
1458829688,124,85
1458838564,107,106
1458844329,60,52
1458846243,83,58
1458848163,108,170
1458854163,110,66
1458858008,65,118
1458863764,94,161
1458871444,176,126
1458878171,171,181
1458883927,86,90
1458889687,160,130
1458893528,50,43
1458897366,65,40
1458903125,107,86
1458908888,52,61
1458914647,106,103
1458922563,101,123
1458926404,60,63
1458934085,105,105
1458940088,113,135
1458943924,58,105
1458949685,118,124
1458959527,129,131
1458965284,149,177
1458969365,93,104
1458973207,116,101
1458980887,113,92
1458986645,120,86
1458990489,87,71
1458996251,50,63
1459000085,61,42
1459004166,105,115
1459011843,103,80
1459015686,69,55
1459021444,91,62
1459027209,99,152
1459032964,78,126
1459040643,106,122
1459046403,84,89
1459052164,187,212
1459058163,80,87
1459062015,106,85
1459067774,51,39
1459073523,102,75
1459079284,118,89
1459085046,65,64
1459090817,148,97
1459098536,98,105
1459104486,65,65
1459106408,49,67
1459110247,57,59
1459116015,100,113
1459124659,93,141
1459130414,131,131
1459138086,182,212
1459143850,74,113
1459145765,134,40
1459151527,79,83
1459161129,96,71
1459164971,67,73
1459168809,68,65
1459174804,101,78
1459178657,70,60
1459182490,91,98
1459190167,83,71
1459194010,60,109
1459196165,142,79
1459200006,72,66
1459205766,84,151
1459210565,83,79
1459216325,48,65
1459218243,98,90
1459224008,172,269
1459231693,143,117
1459237446,58,52
1459241284,118,90
1459247286,55,54
1459253046,58,66
1459256890,106,90
1459264567,92,95
1459270327,69,57
1459274167,118,109
1459281846,138,126
1459287611,75,84
1459293366,88,142
1459301048,104,138
1459304889,94,60
1459310644,173,202
1459318571,142,119
1459324331,50,50
1459328164,71,44
1459332965,101,76
1459340644,101,101
1459346413,90,88
1459354329,99,87
1459362247,118,115
1459367045,72,60
1459373284,117,125
1459379044,84,149
1459384805,80,91
1459388644,115,132
1459395372,95,114
1459401606,159,158
1459409284,111,101
1459413125,71,37
1459418888,144,84
1459424886,94,89
1459432570,89,81
1459438328,59,53
1459442408,63,51
1459444568,68,65
1459450328,62,67
1459454166,114,98
1459460892,69,62
1459464737,90,184
1459472650,110,87
1459474811,54,61
1459478646,199,187
1459484404,103,96
1459490169,181,134
1459499764,128,101
1459503847,68,58
1459509605,104,100
1459515366,104,99
1459523052,102,99
1459527127,66,73
1459535286,122,97
1459541044,110,107
