DateTime,Entries,UniqueIPs
1458413767,7024,7024
1458419527,7014,7014
1458423366,7025,7025
1458427206,6991,6991
1458435128,6943,6943
1458440887,6949,6949
1458444725,6929,6929
1458446886,6924,6924
1458452884,6930,6930
1458456724,6955,6955
1458464643,7005,7005
1458470404,7016,7016
1458478082,7018,7018
1458486245,7029,7029
1458493928,7024,7024
1458497764,7033,7033
1458503527,7043,7043
1458509289,7022,7022
1458515044,6988,6988
1458518891,6945,6945
1458527046,6933,6933
1458530887,6928,6928
1458534724,6917,6917
1458540487,6934,6934
1458544571,6938,6938
1458548647,6956,6956
1458554418,6981,6981
1458560172,6981,6981
1458566169,6972,6972
1458570007,7006,7006
1458573846,7014,7014
1458577690,7008,7008
1458584404,7040,7040
1458590164,7016,7016
1458597843,6997,6997
1458603604,6953,6953
1458605767,6919,6919
1458611524,6945,6945
1458621125,6922,6922
1458626887,6907,6907
1458628804,6943,6943
1458634563,6981,6981
1458640564,6985,6985
1458648243,6975,6975
1458655925,6981,6981
1458663848,6996,6996
1458669606,7026,7026
1458675365,7025,7025
1458681124,7027,7027
1458686888,6994,6994
1458694564,6942,6942
1458699611,6950,6950
1458707288,6936,6936
1458711127,6921,6921
1458716884,6945,6945
1458724563,6972,6972
1458730326,6986,6986
1458736086,6974,6974
1458739923,6985,6985
1458745690,6989,6989
1458750013,6996,6996
1458755767,7000,7000
1458761527,6994,6994
1458765366,7002,7002
1458771366,6975,6975
1458775204,6954,6954
1458779044,6901,6901
1458786726,6922,6922
1458790564,6909,6909
1458796574,6893,6893
1458804252,6938,6938
1458810963,6948,6948
1458812883,6989,6989
1458820563,6992,6992
1458829688,7031,7031
1458838564,7032,7032
1458844329,7040,7040
1458846243,7065,7065
1458848163,7003,7003
1458854163,7047,7047
1458858008,6994,6994
1458863764,6927,6927
1458871444,6977,6977
1458878171,6967,6967
1458883927,6963,6963
1458889687,6993,6993
1458893528,7000,7000
1458897366,7025,7025
1458903125,7046,7046
1458908888,7037,7037
1458914647,7040,7040
1458922563,7018,7018
1458926404,7015,7015
1458934085,7015,7015
1458940088,6993,6993
1458943924,6946,6946
1458949685,6940,6940
1458959527,6938,6938
1458965284,6910,6910
1458969365,6899,6899
1458973207,6914,6914
1458980887,6935,6935
