DateTime,Entries,UniqueIPs
1460136058,5073,5160
1460137985,5067,5153
1460139891,5084,5170
1460141953,5066,5152
1460143982,5075,5161
1460145926,5077,5163
1460147827,5076,5162
1460149762,5067,5152
1460151676,5084,5169
1460153605,5096,5182
1460155498,5108,5196
1460157442,5123,5211
1460159347,5123,5211
1460161276,5136,5224
1460163261,5147,5235
1460165091,5163,5252
1460167023,5188,5280
1460168945,5204,5299
1460170870,5206,5302
1460172787,5205,5300
1460174692,5194,5286
1460176878,5193,5286
1460178842,5196,5288
1460180832,5179,5269
1460182853,5181,5271
1460184857,5162,5252
1460186683,5162,5252
1460188609,5162,5251
1460190532,5165,5257
1460192500,5167,5260
1460194397,5157,5250
1460196305,5157,5250
1460198887,5158,5250
1460200838,5146,5238
1460202752,5152,5244
1460204672,5156,5248
1460206597,5153,5246
1460208520,5143,5236
1460210775,5126,5220
1460212582,5124,5218
1460214509,5123,5216
1460216429,5114,5208
1460218358,5119,5213
1460220339,5124,5218
1460222212,5114,5208
1460224153,5117,5212
1460226057,5114,5209
1460227995,5108,5204
1460229871,5102,5198
1460231802,5112,5213
1460233722,5113,5217
1460235693,5118,5223
1460237580,5116,5219
1460239503,5128,5231
1460241404,5124,5228
1460243340,5120,5223
1460245242,5141,5244
1460247196,5141,5244
1460249077,5139,5241
1460251046,5138,5241
1460252933,5140,5244
1460254874,5163,5269
1460256776,5157,5262
1460258677,5158,5263
1460260604,5162,5266
1460262522,5159,5262
1460264492,5160,5263
1460266390,5153,5256
1460268278,5146,5250
1460270208,5151,5257
1460272131,5153,5259
1460274294,5116,5224
1460276629,5112,5219
1460278595,5101,5207
1460280513,5098,5203
1460282458,5097,5200
1460284371,5088,5193
1460287559,5091,5196
1460289418,5094,5200
1460291353,5096,5201
1460293293,5088,5193
1460295208,5093,5198
1460297098,5101,5208
1460299034,5109,5218
1460300960,5117,5226
1460302874,5114,5224
1460304804,5112,5222
1460306711,5120,5230
1460308626,5120,5230
1460310554,5128,5238
1460312474,5131,5241
1460314392,5128,5239
1460316313,5139,5250
1460318245,5145,5256
1460320187,5154,5265
1460322117,5148,5259
1460324142,5149,5261
1460326139,5154,5267
1460328051,5157,5269
