DateTime,Entries,UniqueIPs
1455767239,1133,1133
1455778203,1137,1137
1455789086,1143,1143
1455799768,1147,1147
1455810712,1142,1142
1455821748,1139,1139
1455832409,1141,1141
1455843343,1140,1140
1455854332,1139,1139
1455864907,1138,1138
1455875389,1136,1136
1455886107,1135,1135
1455897843,1138,1138
1455908338,1137,1137
1455919369,1136,1136
1455929614,1137,1137
1455940388,1134,1134
1455951082,1137,1137
1455961966,1136,1136
1455972906,1135,1135
1455983988,1134,1134
1455995043,1135,1135
1456005438,1137,1137
1456015949,1139,1139
1456026436,1142,1142
1456037277,1143,1143
1456048180,1143,1143
1456058973,1147,1147
1456069551,1151,1151
1456080346,1150,1150
1456091170,1148,1148
1456101839,1149,1149
1456112669,1149,1149
1456123679,1152,1152
1456134633,1154,1154
1456145517,1159,1159
1456156560,1158,1158
1456167708,1154,1154
1456178641,1153,1153
1456189787,1155,1155
1456199674,1154,1154
1456210799,1152,1152
1456221790,1153,1153
1456232793,1156,1156
1456243800,1156,1156
1456254921,1158,1158
1456265934,1155,1155
1456276667,1154,1154
1456287522,1159,1159
1456298442,1155,1155
1456309258,1150,1150
1456319850,1153,1153
1456330807,1157,1157
1456341177,1157,1157
1456352406,1154,1154
1456363417,1157,1157
1456374262,1154,1154
1456382811,1152,1152
1456393007,1152,1152
1456403603,1152,1152
1456414471,1147,1147
1456425575,1143,1143
1456436615,1141,1141
1456447668,1139,1139
1456458553,1144,1144
1456469129,1143,1143
1456479688,1144,1144
1456490656,1145,1145
1456501595,1143,1143
1456512673,1140,1140
1456523613,1144,1144
1456534508,1140,1140
1456545458,1143,1143
1456555776,1142,1142
1456566633,1147,1147
1456577740,1151,1151
1456588824,1152,1152
1456599761,1153,1153
1456610917,1153,1153
1456620694,1148,1148
1456631351,1149,1149
1456642266,1148,1148
1456652758,1146,1146
1456663291,1146,1146
1456674434,1150,1150
1456685469,1157,1157
1456696560,1158,1158
1456707102,1158,1158
1456717922,1159,1159
1456728556,1156,1156
1456739422,1161,1161
1456750510,1159,1159
1456761702,1160,1160
1456772431,1161,1161
1456783316,1162,1162
1456794197,1163,1163
1456805123,1160,1160
1456815991,1160,1160
1456827049,1159,1159
1456837741,1158,1158
1456849147,1156,1156
1456859820,1155,1155
1456870272,1153,1153
1456881320,1149,1149
1456892043,1150,1150
1456902797,1150,1150
1456913772,1151,1151
1456924673,1149,1149
1456935489,1149,1149
1456946362,1149,1149
1456957346,1139,1139
1456968183,1133,1133
1456977657,1130,1130
1456988613,1131,1131
1456999295,1135,1135
1457010159,1135,1135
1457021294,1138,1138
1457032529,1139,1139
1457043386,1138,1138
1457054401,1138,1138
1457065421,1136,1136
1457076412,1133,1133
1457086650,1134,1134
1457097582,1136,1136
1457108159,1134,1134
1457118933,1133,1133
1457129855,1133,1133
1457140029,1141,1141
1457150882,1135,1135
1457161458,1133,1133
1457170777,1138,1138
1457181034,1137,1137
1457191791,1133,1133
1457202744,1132,1132
1457213386,1130,1130
1457224098,1132,1132
1457234752,1131,1131
1457245181,1127,1127
1457256265,1134,1134
1457266912,1137,1137
1457277444,1136,1136
1457288311,1134,1134
1457299408,1132,1132
1457310486,1135,1135
1457320960,1134,1134
1457331478,1137,1137
1457342264,1138,1138
1457353214,1137,1137
1457363108,1136,1136
1457373980,1134,1134
1457384678,1142,1142
1457395230,1142,1142
1457405338,1138,1138
1457416133,1136,1136
1457426782,1139,1139
1457437853,1134,1134
1457448925,1134,1134
1457460001,1153,1153
1457470856,1153,1153
1457481746,1153,1153
1457492732,1153,1153
1457503641,1157,1157
1457514710,1157,1157
1457531279,1157,1157
1457542062,1155,1155
1457553148,1157,1157
