DateTime,Entries,UniqueIPs
1459862691,4459,4459
1459866813,4462,4462
1459869710,4470,4470
1459871878,4471,4471
1459873788,4458,4458
1459877550,4436,4436
1459881397,4441,4441
1459883323,4427,4427
1459885327,4421,4421
1459891253,4418,4418
1459895630,3684,3684
1459897487,4419,4419
1459899411,4419,4419
1459903256,4441,4441
1459905186,4443,4443
1459909012,4441,4441
1459910927,4448,4448
1459913223,4449,4449
1459917167,4446,4446
1459919125,4413,4413
1459920998,4406,4406
1459925824,4389,4389
1459927754,4392,4392
1459929680,4390,4390
1459931570,1278,1278
1459933507,4390,4390
1459935421,4355,4355
1459937348,4351,4351
1459941170,4346,4346
1459943080,4321,4321
1459945023,1251,1251
1459946943,4301,4301
1459948864,4310,4310
1459950784,4304,4304
1459954623,4313,4313
1459956568,4310,4310
1459958538,2467,2467
1459960628,4322,4322
1459962567,4319,4319
1459964461,4318,4318
1459968297,4320,4320
1459970483,4320,4320
1459972538,3410,3410
1459974530,4326,4326
1459976468,4323,4323
1459978372,4379,4379
1459982223,4412,4412
1459984146,4421,4421
1459986175,1002,1002
1459988449,4443,4443
1459990375,4462,4462
1459992275,4469,4469
1459996125,4399,4399
1459998093,4470,4470
1459999969,1928,1928
1460001885,4472,4472
1460003806,4466,4466
1460007656,4464,4464
1460009591,4454,4454
1460011757,4447,4447
1460014594,4442,4442
1460018430,4451,4451
1460020369,4447,4447
1460022382,4447,4447
1460026605,4450,4450
1460028521,4462,4462
1460030450,4460,4460
1460034275,4467,4467
1460038135,4466,4466
1460040043,4456,4456
1460042108,4456,4456
1460046048,4456,4456
1460047961,4449,4449
1460051803,4449,4449
1460053718,4472,4472
1460057554,4474,4474
1460059477,4485,4485
1460061470,4511,4511
1460065235,4515,4515
1460067166,3349,3349
1460069089,4523,4523
1460070991,4524,4524
1460072913,4528,4528
1460075199,4528,4528
1460079171,4541,4541
1460081077,4547,4547
1460085177,4573,4573
1460087074,4570,4570
1460088996,4551,4551
1460092842,4540,4540
1460094763,4535,4535
1460098611,4519,4519
1460100529,4499,4499
1460102448,4496,4496
1460106294,4485,4485
1460108215,4475,4475
1460112265,4456,4456
1460114209,4452,4452
1460118061,4434,4434
1460120521,4393,4393
1460124324,4393,4393
1460126226,4384,4384
1460128172,4370,4370
1460132228,4359,4359
1460134141,4336,4336
1460136052,4367,4367
1460139883,3181,3181
1460141950,4344,4344
1460145917,4363,4363
1460147820,4349,4349
1460149753,4352,4352
1460153594,4346,4346
1460155495,4357,4357
1460159341,4335,4335
1460161270,4352,4352
1460163258,4334,4334
1460167020,4331,4331
1460168942,4336,4336
1460170864,909,909
1460172780,4348,4348
1460174683,4353,4353
1460176867,4377,4377
1460180826,4392,4392
1460182851,3551,3551
1460184852,4431,4431
1460188604,4436,4436
1460190530,2005,2005
1460192495,4470,4470
1460194389,3646,3646
1460196295,4476,4476
1460198870,4478,4478
1460202749,4510,4510
1460204668,4144,4144
1460206595,4513,4513
1460208518,4568,4568
1460211397,4560,4560
1460213413,4560,4560
1460217171,4563,4563
1460219202,4574,4574
1460223164,4586,4586
1460225084,4498,4498
1460227003,4575,4575
1460228924,4566,4566
1460230837,4569,4569
1460233023,4420,4420
1460234919,4577,4577
1460236843,3624,3624
1460238769,4542,4542
1460242597,4506,4506
1460244522,4513,4513
1460246481,3115,3115
1460248362,4497,4497
1460250269,4491,4491
1460252201,4489,4489
1460256039,4481,4481
1460257977,4473,4473
1460259981,4402,4402
1460263958,4386,4386
1460265862,4381,4381
1460269712,3369,3369
1460271646,4339,4339
1460273813,1870,1870
1460275727,4324,4324
1460277634,4319,4319
1460279566,3870,3870
1460283393,4290,4290
1460285317,4277,4277
1460287534,4270,4270
1460291349,3241,3241
1460293284,4256,4256
1460295200,2203,2203
1460297091,4247,4247
1460299020,4251,4251
1460300951,4294,4294
1460304792,4310,4310
1460306700,4019,4019
1460308620,4302,4302
1460310543,4298,4298
1460312471,4290,4290
1460316310,4279,4279
1460318241,4259,4259
1460320184,4261,4261
1460324132,4246,4246
1460328044,4224,4224
1460329984,4234,4234
