DateTime,Entries,UniqueIPs
1460824365,102630,102630
1460825325,102606,102606
1460826279,102616,102616
1460827264,102613,102613
1460828203,102591,102591
1460829162,102619,102619
1460830136,102618,102618
1460831070,102640,102640
1460832029,102637,102637
1460833003,102663,102663
1460833965,102615,102615
1460834921,102653,102653
1460836121,102644,102644
1460837082,102673,102673
1460838043,102651,102651
1460838990,102548,102548
1460839968,102616,102616
1460840917,102629,102629
1460841856,102631,102631
1460842843,102603,102603
1460843787,102587,102587
1460844767,102598,102598
1460845713,102597,102597
1460846666,102573,102573
1460847663,102535,102535
1460848618,102453,102453
1460849572,102452,102452
1460850526,102421,102421
1460851460,102445,102445
1460852428,102486,102486
1460853422,102425,102425
1460854360,102395,102395
1460855327,102463,102463
1460856260,102454,102454
1460857251,102384,102384
1460858191,102410,102410
1460859168,102423,102423
1460860121,102399,102399
1460861091,102376,102376
1460862050,102418,102418
1460862985,102442,102442
1460863988,102410,102410
1460864916,102367,102367
1460865876,102421,102421
1460866841,102428,102428
1460867800,102368,102368
1460869008,102394,102394
1460869965,102375,102375
1460870922,102364,102364
1460871883,102382,102382
1460872847,102396,102396
1460873820,102333,102333
1460874774,102368,102368
1460875771,102336,102336
1460876917,102382,102382
1460877874,102282,102282
1460878855,102271,102271
1460879795,102278,102278
1460880769,102334,102334
1460881709,102314,102314
1460882658,102234,102234
1460883647,102312,102312
1460884590,102251,102251
1460885556,102284,102284
1460886519,102277,102277
1460887722,102227,102227
1460888677,102234,102234
1460889647,102249,102249
1460890637,102177,102177
1460892376,102322,102322
1460893470,102275,102275
1460894473,102305,102305
1460895389,102239,102239
1460896355,102294,102294
1460897323,102354,102354
1460898527,102249,102249
1460899468,102270,102270
1460900437,102275,102275
1460901388,102270,102270
1460902388,102286,102286
1460903312,102283,102283
1460904259,102245,102245
1460905247,102255,102255
1460906189,102298,102298
1460907168,102250,102250
1460909334,102209,102209
1460910262,102189,102189
1460911244,102188,102188
1460912196,102172,102172
1460913167,102182,102182
1460914118,102153,102153
1460915073,102160,102160
1460916037,102206,102206
1460917012,102163,102163
1460917963,102186,102186
1460918912,102139,102139
1460919867,102203,102203
1460920827,102195,102195
1460921790,102192,102192
1460922769,102198,102198
1460923722,102226,102226
1460924693,102227,102227
1460925650,102267,102267
1460926613,102298,102298
1460927568,102299,102299
1460928530,102348,102348
1460929477,102342,102342
1460930458,102368,102368
1460931416,102286,102286
1460932379,102345,102345
1460933307,102336,102336
1460934291,102322,102322
1460935224,102376,102376
1460936481,102338,102338
1460937376,102358,102358
1460937633,102336,102336
1460938362,102315,102315
1460938600,102267,102267
1460939316,102315,102315
1460939551,102319,102319
1460940266,102302,102302
1460940499,102326,102326
1460941555,102296,102296
1460942661,102299,102299
1460943638,102269,102269
1460944588,102254,102254
1460945548,102260,102260
1460946525,102294,102294
1460947467,102315,102315
1460948436,102292,102292
1460949406,102273,102273
1460950352,102277,102277
1460951312,102263,102263
1460952279,102265,102265
1460953227,102300,102300
1460954199,102320,102320
1460955163,102396,102396
1460956114,102425,102425
1460957065,102317,102317
1460958042,102341,102341
1460958988,102379,102379
1460960054,102379,102379
1460960964,102379,102379
1460961894,102306,102306
1460962855,102341,102341
1460963859,102350,102350
1460964772,102354,102354
1460965749,102303,102303
1460966704,102331,102331
1460967709,102299,102299
1460968838,102367,102367
1460969786,102298,102298
1460970760,102350,102350
1460971722,102343,102343
1460972660,102338,102338
1460973648,102305,102305
1460974952,102220,102220
1460976031,102204,102204
1460977004,102181,102181
1460977950,102180,102180
1460978907,102182,102182
1460979873,102167,102167
1460980853,102190,102190
1460981826,102114,102114
1460983045,102171,102171
1460984196,102134,102134
1460985156,102095,102095
1460986118,102082,102082
1460987071,102054,102054
1460988066,102068,102068
1460989039,101963,101963
1460989966,102045,102045
1460990928,102029,102029
1460991861,101970,101970
1460992856,101951,101951
1460993797,101974,101974
1460994764,101919,101919
1460995756,101960,101960
1460996664,101939,101939
1460998152,101864,101864
1460999137,101858,101858
1461000058,101881,101881
1461001028,101840,101840
1461001961,101803,101803
1461003145,101781,101781
1461004114,101795,101795
1461005092,101788,101788
1461006035,101803,101803
1461007033,101780,101780
1461007952,101774,101774
1461008948,101737,101737
1461009896,101758,101758
1461010900,101748,101748
1461012031,101800,101800
1461012943,101745,101745
1461015469,101743,101743
1461016585,101789,101789
1461017827,101801,101801
1461018762,101814,101814
1461019716,101828,101828
1461020664,101839,101839
1461021634,101770,101770
1461022587,101758,101758
1461023547,101720,101720
1461024538,101670,101670
1461025471,101667,101667
1461026435,101673,101673
1461027399,101663,101663
1461028607,101655,101655
1461029562,101690,101690
1461030530,101699,101699
1461031465,101677,101677
1461032426,101598,101598
1461033406,101579,101579
1461034349,101632,101632
1461035315,101588,101588
