DateTime,Entries,UniqueIPs
1460667154,4867,4867
1460668110,4843,4843
1460669057,4810,4810
1460670047,4797,4797
1460670987,4805,4805
1460672206,4763,4763
1460673183,4770,4770
1460674107,4749,4749
1460675062,4788,4788
1460676040,4801,4801
1460676995,4789,4789
1460677956,4787,4787
1460678942,4769,4769
1460679903,4746,4746
1460680838,4750,4750
1460681789,4746,4746
1460682862,4740,4740
1460683955,4700,4700
1460684918,4689,4689
1460685867,4688,4688
1460686832,4670,4670
1460687801,4639,4639
1460688769,4668,4668
1460689727,4659,4659
1460690689,4646,4646
1460691638,4602,4602
1460692603,4556,4556
1460693570,4545,4545
1460694508,4474,4474
1460695480,4509,4509
1460696441,4562,4562
1460697894,4574,4574
1460698841,4563,4563
1460699790,4582,4582
1460700792,4572,4572
1460701712,4554,4554
1460702666,4549,4549
1460703659,4544,4544
1460704591,4553,4553
1460705576,4576,4576
1460706521,4585,4585
1460707497,4595,4595
1460708457,4594,4594
1460709657,4596,4596
1460710598,4586,4586
1460711580,4595,4595
1460712513,4582,4582
1460713475,4588,4588
1460714437,4545,4545
1460715424,4525,4525
1460716370,4514,4514
1460717330,4550,4550
1460718275,4588,4588
1460719251,4568,4568
1460720185,4560,4560
1460721704,4597,4597
1460722653,4580,4580
1460723560,4615,4615
1460724567,4631,4631
1460725461,4634,4634
1460725705,4635,4635
1460726458,4632,4632
1460726669,4631,4631
1460727393,4598,4598
1460727622,4591,4591
1460728409,4613,4613
1460728575,4603,4603
1460729312,4603,4603
1460729820,4612,4612
1460730314,4606,4606
1460730771,4611,4611
1460731257,4615,4615
1460731708,4616,4616
1460732222,4615,4615
1460732691,4616,4616
1460733217,4622,4622
1460733658,4613,4613
1460734167,4584,4584
1460734621,4586,4586
1460735084,4574,4574
1460736166,4577,4577
1460737232,4571,4571
1460738189,4579,4579
1460739150,4596,4596
1460740371,4607,4607
1460741897,4599,4599
1460742984,4623,4623
1460743974,4619,4619
1460744916,4611,4611
1460745860,4626,4626
1460746855,4642,4642
1460747878,4644,4644
1460748983,4663,4663
1460749956,4686,4686
1460750935,4677,4677
1460752146,4681,4681
1460753058,4694,4694
1460754033,4671,4671
1460755015,4673,4673
1460755956,4683,4683
1460756914,4666,4666
1460757892,4686,4686
1460758857,4658,4658
1460759803,4661,4661
1460760752,4655,4655
1460761738,4619,4619
1460762674,4612,4612
1460763629,4610,4610
1460764594,4607,4607
1460765574,4587,4587
1460766520,4577,4577
1460767472,4578,4578
1460768439,4581,4581
1460769386,4574,4574
1460770374,4566,4566
1460771308,4558,4558
1460772267,4567,4567
1460773257,4570,4570
1460774197,4573,4573
1460775192,4580,4580
1460776116,4576,4576
1460777077,4576,4576
1460778049,4604,4604
1460779003,4625,4625
1460779964,4667,4667
1460780936,4702,4702
1460781872,4643,4643
1460782871,4659,4659
1460783789,4658,4658
1460784789,4656,4656
1460785708,4672,4672
1460786706,4633,4633
1460787635,4600,4600
1460788811,4597,4597
1460789785,4607,4607
1460790790,4609,4609
1460791714,4599,4599
1460792700,4604,4604
1460793636,4645,4645
1460794636,4648,4648
1460795559,4644,4644
1460796541,4676,4676
1460797483,4670,4670
1460798489,4697,4697
1460799393,4707,4707
1460800410,4715,4715
1460801849,4729,4729
1460802791,4735,4735
1460803723,4729,4729
1460804697,4718,4718
1460805676,4708,4708
1460806628,4707,4707
1460807566,4677,4677
1460808609,4674,4674
1460809705,4678,4678
1460810668,4673,4673
1460811638,4655,4655
1460812838,4621,4621
1460813786,4618,4618
1460814762,4611,4611
1460815723,4585,4585
1460816653,4566,4566
1460817639,4525,4525
1460818616,4505,4505
1460819564,4511,4511
1460820511,4461,4461
1460821472,4446,4446
1460823215,4426,4426
1460824365,4406,4406
1460825325,4387,4387
1460826279,4358,4358
1460827264,4350,4350
1460828203,4310,4310
1460829162,4293,4293
1460830136,4265,4265
1460831070,4273,4273
1460832029,4274,4274
1460833003,4268,4268
1460833965,4249,4249
1460834921,4216,4216
1460836121,4186,4186
1460837082,4135,4135
1460838043,4102,4102
1460838990,4079,4079
1460839968,4134,4134
1460840917,4136,4136
1460841856,4127,4127
1460842843,4120,4120
1460843787,4099,4099
1460844767,4088,4088
1460845713,4098,4098
1460846666,4079,4079
1460847663,4074,4074
1460848618,4073,4073
1460849572,4071,4071
1460850526,4057,4057
1460851460,4093,4093
1460852428,4063,4063
1460853422,4066,4066
1460854360,4069,4069
1460855327,4075,4075
1460856260,4062,4062
1460857251,4060,4060
1460858191,4046,4046
1460859168,4051,4051
1460860121,4059,4059
1460861091,4063,4063
1460862050,4060,4060
1460862985,4054,4054
1460863988,4051,4051
1460864916,4041,4041
1460865876,4032,4032
1460866841,4033,4033
1460867800,4039,4039
1460869008,4023,4023
1460869965,4046,4046
1460870922,4027,4027
1460871883,4047,4047
1460872847,4072,4072
1460873820,4068,4068
1460874774,4100,4100
1460875771,4098,4098
1460876917,4120,4120
1460877874,4120,4120
1460878855,4119,4119
1460879795,4107,4107
1460880769,4106,4106
1460881709,4094,4094
1460882658,4080,4080
1460883647,4074,4074
1460884590,4072,4072
1460885556,4077,4077
1460886519,4083,4083
1460887722,4082,4082
1460888677,4092,4092
1460889647,4106,4106
1460890637,4104,4104
1460892376,4128,4128
1460893470,4143,4143
1460894473,4173,4173
1460895389,4176,4176
1460896355,4174,4174
1460897323,4168,4168
1460898527,4167,4167
1460899468,4203,4203
1460900437,4206,4206
1460901388,4219,4219
1460902388,4227,4227
1460903312,4207,4207
1460904259,4190,4190
1460905247,4202,4202
1460906189,4195,4195
1460907168,4205,4205
1460909334,4237,4237
1460910262,4262,4262
1460911244,4278,4278
1460912196,4293,4293
1460913167,4279,4279
1460914118,4285,4285
1460915073,4310,4310
1460916037,4313,4313
1460917012,4286,4286
1460917963,4268,4268
1460918912,4257,4257
1460919867,4274,4274
1460920827,4262,4262
1460921790,4274,4274
1460922769,4302,4302
1460923722,4319,4319
1460924693,4349,4349
1460925650,4349,4349
1460926613,4318,4318
1460927568,4307,4307
1460928530,4301,4301
1460929477,4302,4302
1460930458,4292,4292
1460931416,4289,4289
1460932379,4286,4286
1460933307,4269,4269
1460934291,4259,4259
1460935224,4254,4254
1460936481,4251,4251
1460937376,4264,4264
1460937633,4266,4266
1460938362,4255,4255
1460938600,4255,4255
1460939316,4254,4254
