DateTime,Entries,UniqueIPs
1460654179,3021,3021
1460655162,3023,3023
1460656360,3034,3034
1460657322,3025,3025
1460658258,3028,3028
1460659234,3014,3014
1460660158,3038,3038
1460661149,3008,3008
1460662142,2976,2976
1460663062,3004,3004
1460664088,2991,2991
1460665217,2949,2949
1460666188,2909,2909
1460667147,2897,2897
1460668102,2889,2889
1460669050,2862,2862
1460670039,2851,2851
1460670980,2845,2845
1460672200,2797,2797
1460673177,2807,2807
1460674102,2782,2782
1460675056,2819,2819
1460676030,2833,2833
1460676989,2826,2826
1460677950,2826,2826
1460678934,2813,2813
1460679897,2792,2792
1460680832,2793,2793
1460681784,2783,2783
1460682855,2772,2772
1460683949,2741,2741
1460684911,2732,2732
1460685856,2727,2727
1460686825,2713,2713
1460687793,2682,2682
1460688762,2698,2698
1460689720,2685,2685
1460690682,2675,2675
1460691632,2635,2635
1460692595,2601,2601
1460693563,2586,2586
1460694500,2513,2513
1460695472,2550,2550
1460696434,2599,2599
1460697886,2610,2610
1460698835,2598,2598
1460699785,2614,2614
1460700783,2608,2608
1460701705,2591,2591
1460702661,2585,2585
1460703654,2583,2583
1460704583,2594,2594
1460705569,2616,2616
1460706514,2624,2624
1460707489,2626,2626
1460708447,2630,2630
1460709648,2633,2633
1460710590,2631,2631
1460711573,2638,2638
1460712505,2622,2622
1460713466,2629,2629
1460714429,2586,2586
1460715417,2569,2569
1460716364,2564,2564
1460717323,2597,2597
1460718268,2626,2626
1460719244,2604,2604
1460720178,2603,2603
1460721695,2645,2645
1460722646,2628,2628
1460723554,2658,2658
1460724560,2666,2666
1460725461,2669,2669
1460726458,2665,2665
1460727393,2632,2632
1460728409,2654,2654
1460729312,2654,2654
1460730314,2648,2648
1460731257,2652,2652
1460732222,2651,2651
1460733217,2656,2656
1460734167,2627,2627
1460735084,2615,2615
1460736159,2623,2623
1460737223,2617,2617
1460738185,2624,2624
1460739147,2639,2639
1460740361,2649,2649
1460741889,2646,2646
1460742977,2663,2663
1460743967,2657,2657
1460744909,2654,2654
1460745854,2674,2674
1460746849,2688,2688
1460747870,2689,2689
1460748976,2711,2711
1460749950,2731,2731
1460750927,2726,2726
1460752125,2724,2724
1460753052,2743,2743
1460754027,2723,2723
1460755008,2718,2718
1460755950,2727,2727
1460756908,2715,2715
1460757883,2734,2734
1460758849,2704,2704
1460759796,2701,2701
1460760747,2693,2693
1460761731,2664,2664
1460762666,2662,2662
1460763624,2656,2656
1460764588,2650,2650
1460765558,2630,2630
1460766515,2630,2630
1460767465,2640,2640
1460768433,2628,2628
1460769380,2621,2621
1460770367,2618,2618
1460771300,2621,2621
1460772257,2625,2625
1460773248,2627,2627
1460774190,2628,2628
1460775184,2630,2630
1460776109,2622,2622
1460777070,2629,2629
1460778041,2658,2658
1460778997,2680,2680
1460779958,2728,2728
1460780929,2763,2763
1460781865,2702,2702
1460782863,2701,2701
1460783784,2698,2698
1460784780,2707,2707
1460785701,2716,2716
1460786699,2676,2676
1460787626,2652,2652
1460788802,2652,2652
1460789779,2660,2660
1460790784,2652,2652
1460791708,2657,2657
1460792694,2661,2661
1460793630,2700,2700
1460794630,2704,2704
1460795553,2700,2700
