DateTime,Entries,UniqueIPs
1460619864,189281,233452
1460620839,189303,233469
1460621807,189255,233407
1460622766,189289,233455
1460623712,189279,233441
1460624679,189271,233449
1460625627,189287,233475
1460626607,189264,233449
1460627562,189248,233440
1460628514,189288,233489
1460629452,189286,233490
1460630444,189251,233445
1460631384,189266,233478
1460632361,189207,233433
1460633313,189250,233493
1460634298,189223,233463
1460635236,189244,233489
1460636228,189248,233492
1460637164,189256,233513
1460638121,189228,233496
1460639081,189236,233506
1460640046,189221,233505
1460640995,189216,233507
1460641955,189203,233492
1460643450,189212,233500
1460644422,189207,233504
1460645569,189208,233510
1460646509,189205,233501
1460647453,189178,233465
1460648427,189200,233492
1460649399,189168,233461
1460650618,189139,233422
1460652160,189137,233436
1460653237,189152,233455
1460654185,189132,233435
1460655169,189112,233422
1460656365,189111,233419
1460657330,189114,233432
1460658265,189119,233449
1460659239,189121,233478
1460660166,189088,233459
1460661157,189087,233451
1460662148,189106,233494
1460663068,189110,233505
1460664097,189093,233489
1460665228,189062,233452
1460666197,189088,233490
1460667154,189025,233424
1460668110,189043,233439
1460669057,189091,233491
1460670047,189067,233456
1460670987,189066,233472
1460672206,189051,233458
1460673183,189065,233472
1460674107,189076,233487
1460675062,189088,233507
1460676040,189081,233494
1460676995,189045,233472
1460677956,189033,233474
1460678942,189048,233495
1460679903,189028,233475
1460680838,189032,233482
1460681789,189004,233463
1460682862,188995,233445
1460683955,189043,233514
1460684918,189032,233508
1460685867,189052,233546
1460686832,189045,233540
1460687801,189059,233558
1460688769,189052,233535
1460689727,189039,233524
1460690689,189026,233508
1460691638,189023,233517
1460692603,189025,233526
1460693570,189009,233502
1460694508,189005,233500
1460695480,189026,233514
1460696441,189038,233533
1460697894,189047,233539
1460698841,189046,233541
1460699790,189035,233523
1460700792,189033,233531
1460701712,189042,233555
1460702666,189013,233513
1460703659,189000,233499
1460704591,188950,233440
1460705576,188913,233396
1460706521,188939,233444
1460707497,188957,233485
1460708457,188930,233453
1460709657,188929,233453
1460710598,188894,233403
1460711580,188883,233389
1460712513,188856,233367
1460713475,188862,233374
1460714437,188877,233402
1460715424,188842,233347
1460716370,188865,233378
1460717330,188876,233388
1460718275,188882,233392
1460719251,188865,233388
1460720185,188843,233366
1460721704,188854,233371
1460722653,188816,233329
1460723560,188825,233353
1460724567,188805,233320
1460725705,188789,233298
1460726669,188763,233258
1460727622,188789,233289
1460728575,188774,233280
1460729820,188798,233321
1460730771,188799,233317
1460731708,188785,233299
1460732691,188791,233312
1460733658,188790,233306
1460734621,188726,233230
1460736166,188729,233236
1460737232,188729,233233
1460738189,188712,233205
1460739150,188706,233201
1460740371,188691,233159
1460741897,188659,233088
1460742984,188665,233076
1460743974,188632,233035
1460744916,188651,233073
1460745860,188652,233064
1460746855,188666,233084
1460747878,188663,233069
1460748983,188660,233070
1460749956,188675,233084
1460750935,188665,233067
1460752146,188690,233086
1460753058,188683,233074
1460754033,188687,233083
1460755015,188689,233084
1460755956,188678,233069
1460756914,188691,233072
1460757892,188723,233103
1460758857,188691,233062
1460759803,188706,233071
1460760752,188714,233083
1460761738,188702,233068
