DateTime,AddedIPs,RemovedIPs
1440711906,4,0
1440799751,3,0
1440843487,1,0
1440887226,1,0
1440930966,2,0
1440974978,2,0
1441062548,2,0
1441412825,3,0
1441456571,1,0
1441500353,1,0
1441631887,2,0
1441680305,2,0
1441724047,1,0
1441774449,1,0
1441818549,3,0
1441862286,1,0
1441906044,3,0
1441949767,1,0
1441993507,1,0
1442038201,3,0
1442081887,2,0
1442125625,2,0
1442213106,1,0
1442300952,2,0
1442388429,4,0
1442432168,3,0
1442563747,2,0
1442608127,1,0
1442695523,3,0
1442739250,2,0
1442783357,2,0
1442870837,2,0
1442914574,1,0
1442958315,1,0
1443002047,14,0
1443046159,1,0
1443133625,1,0
1443221115,1,0
1443264853,1,0
1443308948,4,0
1443352699,2,0
1443396425,1,0
1443440174,2,0
1443483907,1,0
1443527645,1,0
1443659225,2,0
1443702976,1,0
1443878295,3,0
1443922025,2,0
1444009541,2,0
1444053245,1,0
1444097352,1,0
1444272846,1,0
1444404449,2,0
1444579747,2,0
1444623493,1,0
1444667224,1,0
1444710967,5,0
1444754706,1,0
1444973773,1,0
1445017519,2,0
1445244428,1,0
1445375887,2,0
1445463375,1,0
1445507111,2,0
1445550845,1,0
1445638692,1,0
1445682425,1,0
1445857750,2,0
1445945226,2,0
1445988966,1,0
1446032710,2,0
1446076444,1,0
1446299108,1,0
1446343216,1,0
1446386947,1,0
1446430613,2,0
1446518168,3,0
1446561929,1,0
1446605645,1,0
1446649749,1,0
1446693501,1,0
1447002549,1,0
1447070951,2,0
1447114687,2,0
1447202165,1,0
1447377495,1,0
1447421231,1,0
1447596549,1,0
1447684026,1,0
1447727768,2,0
1447771508,2,0
1447815245,1,0
1448165887,1,0
1448253373,1,0
1448297114,3,0
1448340845,2,0
1448402994,3,0
1448446688,1,0
1448490429,3,0
1448623086,3,0
1448666828,1,0
1448710564,3,0
1448754307,1,0
1448799515,2,0
1448843227,1,0
1448886975,2,0
1448930707,2,0
1448974814,2,0
1449106026,1,0
1449153990,1,0
1449197646,2,0
1449244001,1,0
1449335367,3,0
1449379088,4,0
1449517519,1,1
1449561246,2,0
1449605349,2,0
1449649086,1,0
1449692827,1,0
1449780317,3,0
1449868147,4,0
1449911904,1,0
1449999365,1,0
1450043107,1,0
1450086856,1,0
1450130951,3,0
1450262165,1,0
1450305918,2,0
1450349654,2,0
1450438032,1,0
1450529151,1,0
1450572845,1,0
1450661243,1,0
1450748708,2,0
1450792450,2,0
1450836549,3,0
1450880287,1,0
1450924030,2,0
1451011505,1,0
1451194592,1,0
1451369891,1,0
1451501135,1,0
1451676434,3,0
1451764447,1,0
1451852833,2,0
1451940846,4,0
1451984979,2,0
1452028687,2,0
1452072426,1,0
1452116166,2,0
1452203646,1,0
1452247750,2,0
1452291492,4,0
1452335226,1,0
1452378976,1,0
1452422715,4,0
1452466446,2,0
1452598031,2,0
1452641781,1,0
1452685507,1,0
1452729248,3,0
1452773348,1,0
1452817111,1,0
1452904564,3,0
1452949780,3,0
1452993486,3,0
1453037225,2,0
1453080971,3,0
1453124659,2,0
1453168338,6,0
1453212017,1,0
1453255700,3,0
1453299373,2,0
1453430410,1,0
1453474098,1,0
1453517770,3,0
1453561457,2,0
1453605135,8,0
1453648812,3,0
1453692490,2,0
1453736176,7,0
1453779850,5,0
1453823531,1,0
1453867221,10,0
1453910895,10,0
1453954569,1,0
1453998252,11,0
1454041931,3,0
1454085612,5,0
1454129289,4,0
1454172970,1,0
1454260331,2,0
1454304011,8,0
1454347689,4,0
1454391370,8,0
1454435055,5,0
1454478734,3,0
1454522409,6,0
1454566104,2,0
1454610014,2,0
1454653690,2,0
1454697372,3,0
1454741049,8,0
1454784731,4,0
1454828654,6,0
1454872334,6,0
1454916013,2,0
1454959692,1,0
1455003370,14,0
1455047056,7,0
1455090734,4,0
1455134417,1,0
1455178093,9,0
1455221769,3,0
1455309132,5,0
1455352810,1,0
1455396490,3,0
1455440169,5,0
1455483855,2,0
1455527530,1,0
1455571220,1,0
1455614892,1,0
1455658571,4,0
1455702253,5,0
1455746176,3,0
1455789855,2,0
1455833532,3,0
1455877210,2,0
1455920890,2,0
1455964582,4,0
1456008258,3,0
1456051930,5,0
1456095616,3,0
1456139293,2,0
1456182970,2,0
1456226657,2,0
1456270330,1,0
1456314013,2,0
1456445049,3,0
1456488976,4,0
1456532656,3,0
1456576329,5,0
1456620009,5,0
1456663694,2,0
