DateTime,Entries,UniqueIPs
1459341844,6957,6957
1459345683,6958,6958
1459349769,6974,6974
1459353608,6970,6970
1459355524,6966,6966
1459359367,6973,6973
1459363205,6985,6985
1459367043,6969,6969
1459371367,6977,6977
1459377127,6912,6912
1459380963,6901,6901
1459384803,6868,6868
1459388643,6884,6884
1459392484,6865,6865
1459395371,6844,6844
1459399684,6867,6867
1459405444,6886,6886
1459407370,6877,6877
1459411209,6910,6910
1459413124,6955,6955
1459416965,6970,6970
1459420806,6968,6968
1459424884,6975,6975
1459430648,6988,6988
1459432568,6982,6982
1459436409,6988,6988
1459440245,7000,7000
1459442407,7003,7003
1459446484,6998,6998
1459450326,7020,7020
1459454165,7014,7014
1459458010,7021,7021
1459460890,6983,6983
1459464735,6926,6926
1459468567,6950,6950
1459470726,6943,6943
1459474807,6954,6954
1459478645,6955,6955
1459482483,6962,6962
1459486328,6953,6953
1459490168,7009,7009
1459494008,7006,7006
1459495926,7035,7035
1459499763,7045,7045
1459503845,7036,7036
1459507683,7049,7049
1459511527,7054,7054
1459515365,7054,7054
1459519209,7047,7047
1459521126,7057,7057
1459525210,7050,7050
1459529527,7071,7071
1459533369,7075,7075
1459537209,7064,7064
1459539124,7078,7078
1459542964,7068,7068
1459546805,7047,7047
1459550885,7022,7022
1459554726,7031,7031
1459558564,7023,7023
1459562410,7019,7019
1459564326,6994,6994
1459570327,6950,6950
1459572244,6952,6952
1459576087,6996,6996
1459579924,7019,7019
1459583764,7042,7042
1459587608,7060,7060
1459589522,7079,7079
1459593366,7084,7084
1459597207,7079,7079
1459601042,7094,7094
1459604884,7089,7089
1459608730,7106,7106
1459613291,7110,7110
1459615205,7116,7116
1459619044,7114,7114
1459624807,7117,7117
1459626727,7128,7128
1459630565,7106,7106
1459634412,7069,7069
1459636328,7033,7033
1459640415,7032,7032
1459644249,6965,6965
1459648086,6975,6975
1459652165,6959,6959
1459656009,6948,6948
1459657929,6976,6976
1459661765,6987,6987
1459665604,7008,7008
1459669445,7007,7007
1459673285,7017,7017
1459677128,7030,7030
1459680964,7053,7053
1459684810,7042,7042
1459686734,7038,7038
1459690568,7065,7065
1459694406,7119,7119
1459698247,7097,7097
1459702085,7064,7064
1459705926,7059,7059
1459709774,7065,7065
1459711927,7053,7053
1459715764,7059,7059
1459719606,7041,7041
1459723683,7007,7007
1459727529,6962,6962
1459731365,6961,6961
1459735211,7005,7005
1459737125,6989,6989
1459741206,6986,6986
1459745043,6981,6981
1459748887,7032,7032
1459752726,7021,7021
1459756563,7053,7053
1459760409,7056,7056
1459764245,7057,7057
1459766163,7056,7056
1459770007,7056,7056
1459773844,7063,7063
1459777684,7076,7076
1459781528,7083,7083
1459785610,7080,7080
1459787524,7111,7111
1459791365,7136,7136
1459795206,7117,7117
1459799043,7116,7116
1459803124,7133,7133
1459806963,7112,7112
1459810812,7066,7066
1459812728,7058,7058
1459816562,7040,7040
1459820405,7045,7045
1459824244,7034,7034
1459828084,7010,7010
1459831925,6987,6987
1459836059,7030,7030
1459837937,7017,7017
1459842016,7022,7022
1459847765,7039,7039
1459849686,7021,7021
1459853526,7023,7023
1459857366,7069,7069
1459861209,7074,7074
1459863126,7071,7071
1459866965,7070,7070
1459871527,7064,7064
1459875364,7081,7081
1459879212,7096,7096
1459881125,7088,7088
1459885205,7093,7093
1459889044,7102,7102
1459893128,7076,7076
1459895581,7051,7051
1459899371,7027,7027
1459903208,7002,7002
1459907049,7006,7006
1459910886,7000,7000
1459914964,6970,6970
1459918809,6979,6979
1459920724,7029,7029
1459924563,7035,7035
1459928404,7045,7045
1459932244,7052,7052
1459936084,7055,7055
1459939928,7109,7109
1459943766,7120,7120
1459947609,7110,7110
1459949530,7113,7113
1459953608,7105,7105
1459957447,7128,7128
1459961290,7134,7134
1459965125,7137,7137
1459969029,7122,7122
1459972814,7119,7119
1459974726,7132,7132
1459978803,7108,7108
1459982643,7063,7063
1459986484,7064,7064
1459990327,7041,7041
1459994163,7037,7037
1459998008,7028,7028
1459999935,7015,7015
1460003771,7017,7017
1460009525,7051,7051
1460011506,7061,7061
1460015286,7087,7087
1460021048,7109,7109
1460022965,7108,7108
1460026811,7120,7120
1460028724,7111,7111
1460032564,7106,7106
1460038328,7117,7117
1460041209,7123,7123
1460045044,7121,7121
1460046968,7129,7129
1460050805,7150,7150
1460056564,7147,7147
1460058482,7139,7139
1460060404,7128,7128
1460066168,7107,7107
1460070011,7069,7069
1460071924,7084,7084
1460075765,7051,7051
1460079844,7045,7045
1460085603,7043,7043
1460087528,7046,7046
1460091367,7049,7049
1460095210,7084,7084
1460097125,7076,7076
1460101204,7093,7093
1460105045,7098,7098
1460108883,7108,7108
1460112727,7093,7093
1460116566,7107,7107
1460120411,7117,7117
1460122323,7104,7104
1460126164,7076,7076
1460128089,7117,7117
1460130003,7125,7125
1460134084,7138,7138
1460137927,7147,7147
1460141764,7146,7146
1460145609,7147,7147
1460147524,7142,7142
1460151603,7118,7118
1460155442,7079,7079
1460159284,7086,7086
1460163128,7062,7062
1460166964,7052,7052
1460170809,7046,7046
1460172723,7042,7042
1460176806,7040,7040
1460180644,7057,7057
1460184483,7071,7071
1460188330,7104,7104
1460192165,7129,7129
1460196010,7131,7131
1460198646,7141,7141
1460202484,7140,7140
1460210163,7144,7144
1460212088,7158,7158
1460214243,7151,7151
1460216163,7157,7157
1460221209,7163,7163
1460223126,7143,7143
1460226965,7134,7134
1460230804,7143,7143
1460234884,7146,7146
1460238727,7114,7114
1460242564,7084,7084
1460246410,7089,7089
1460250245,7066,7066
1460252165,7058,7058
1460256005,7041,7041
1460259842,7024,7024
1460263683,7025,7025
1460267526,7040,7040
1460271364,7058,7058
1460273763,7077,7077
1460277606,7105,7105
1460281443,7116,7116
1460285285,7128,7128
1460289843,7128,7128
1460291765,7112,7112
1460295606,7124,7124
1460299684,7124,7124
1460303765,7125,7125
1460307609,7144,7144
1460309527,7141,7141
1460313367,7141,7141
1460317208,7134,7134
1460321044,7130,7130
1460324887,7099,7099
1460328730,7088,7088
1460332569,7078,7078
1460336409,7043,7043
1460338566,7033,7033
1460342405,7025,7025
1460346245,7035,7035
1460349368,7017,7017
1460353206,7035,7035
1460358009,7049,7049
1460360882,7078,7078
1460364729,7103,7103
1460368563,7099,7099
1460372409,7108,7108
1460374325,7119,7119
1460380809,7118,7118
1460382729,7116,7116
1460388484,7109,7109
1460390409,7124,7124
1460392327,7074,7074
1460396165,7086,7086
1460400003,7101,7101
1460403846,7074,7074
1460407684,7046,7046
1460411532,7031,7031
1460415363,6996,6996
1460419210,6992,6992
1460421130,6979,6979
1460424966,6979,6979
1460429045,6966,6966
1460432885,6958,6958
1460436728,6950,6950
1460440564,6979,6979
1460444410,6986,6986
1460448489,7001,7001
1460450409,7025,7025
1460454244,7020,7020
1460458085,7020,7020
1460461928,7025,7025
1460465768,7034,7034
1460469610,7041,7041
1460471531,7041,7041
1460475367,7038,7038
1460479206,7042,7042
1460483285,7072,7072
1460487126,7090,7090
1460491452,7085,7085
1460493364,7090,7090
1460497445,7060,7060
1460501284,7009,7009
1460505127,7009,7009
1460509208,6987,6987
1460511124,6979,6979
1460514962,6974,6974
1460518802,6974,6974
1460522644,6959,6959
1460526484,7008,7008
1460530329,7016,7016
1460534165,7026,7026
1460536327,7044,7044
1460541132,7033,7033
1460544965,7014,7014
1460548809,7034,7034
1460550725,7033,7033
1460554564,7029,7029
1460558412,7035,7035
1460562245,7046,7046
1460566082,7026,7026
1460570163,7047,7047
1460574009,7068,7068
1460575926,7059,7059
1460579767,7045,7045
1460583610,7042,7042
1460587447,6999,6999
1460591287,6995,6995
1460595136,6970,6970
1460598970,6969,6969
1460600888,6961,6961
1460604725,6964,6964
1460608803,6964,6964
1460612647,6997,6997
1460616483,7014,7014
1460620330,7024,7024
1460624166,7047,7047
1460628011,7057,7057
1460629929,7028,7028
1460633766,7058,7058
1460637611,7057,7057
1460641694,7050,7050
1460646010,7061,7061
1460647924,7068,7068
1460652964,7060,7060
1460656811,7072,7072
1460658723,7069,7069
1460662562,7070,7070
1460666408,7063,7063
1460670487,7050,7050
1460674328,7007,7007
1460678165,7005,7005
1460680326,6980,6980
1460684166,6985,6985
1460688252,6987,6987
1460692087,6979,6979
1460697124,6971,6971
1460699045,6995,6995
1460702166,7021,7021
1460706002,7049,7049
1460709845,7045,7045
1460715848,7050,7050
1460719924,7056,7056
1460724010,7054,7054
1460727844,7057,7057
1460731683,7061,7061
1460736009,7056,7056
1460737926,7069,7069
1460741768,7062,7062
1460745603,7058,7058
1460749685,7052,7052
1460753525,7053,7053
1460757363,7043,7043
1460761211,7003,7003
1460763126,7002,7002
1460766964,6979,6979
1460770804,6966,6966
1460774646,6957,6957
1460776566,7003,7003
1460778483,6968,6968
1460782329,6949,6949
1460786169,6973,6973
1460790009,6991,6991
1460791925,7011,7011
1460795764,7025,7025
1460799844,7040,7040
1460803685,7066,7066
1460807523,7050,7050
1460811363,7059,7059
1460816165,7063,7063
1460818085,7060,7060
1460821924,7047,7047
1460825764,7059,7059
1460829611,7064,7064
1460831528,7063,7063
1460835365,7065,7065
1460839443,7071,7071
1460843284,7057,7057
1460847123,7017,7017
1460850963,7019,7019
1460854809,6996,6996
1460856725,6996,6996
1460860563,6992,6992
1460864404,6979,6979
1460868295,6972,6972
1460872333,6999,6999
1460876169,7010,7010
1460880244,7026,7026
1460882167,7062,7062
1460886007,7072,7072
1460890094,7091,7091
1460894163,7103,7103
1460898054,7091,7091
1460899927,7094,7094
1460903764,7089,7089
1460907608,7104,7104
1460911685,7100,7100
1460915524,7112,7112
1460919365,7116,7116
1460923209,7104,7104
1460925138,7095,7095
1460929013,7066,7066
1460932805,7040,7040
1460936890,7021,7021
1460941449,6997,6997
1460944327,7010,7010
1460948163,7000,7000
1460952009,6984,6984
1460955845,6976,6976
1460957762,7017,7017
1460961604,7020,7020
1460965442,7052,7052
1460969284,7058,7058
1460973126,7058,7058
1460977210,7048,7048
1460981045,7042,7042
1460982973,7060,7060
1460986809,7066,7066
1460990883,7065,7065
1460994726,7073,7073
1460998563,7099,7099
1461002411,7101,7101
1461004323,7105,7105
1461008164,7114,7114
1461012243,7101,7101
1461016086,7056,7056
1461020163,7018,7018
1461025924,6992,6992
1461029762,6991,6991
1461033609,6979,6979
1461037686,6945,6945
1461041532,6977,6977
1461045363,7008,7008
1461049216,7025,7025
1461051133,7037,7037
1461054964,7047,7047
1461058806,7040,7040
1461062645,7036,7036
1461068423,7031,7031
1461072245,7035,7035
1461074175,7034,7034
1461076566,7027,7027
1461081368,7029,7029
1461085209,7072,7072
1461087125,7095,7095
1461091926,7087,7087
1461096726,7084,7084
1461098644,7076,7076
1461104229,7052,7052
1461106082,6997,6997
1461109922,6991,6991
1461113763,6958,6958
1461119525,6960,6960
1461123363,6950,6950
1461127205,6957,6957
1461131044,6993,6993
1461134887,6998,6998
1461138726,7018,7018
1461142565,7010,7010
1461162272,6993,6993
