DateTime,AddedIPs,RemovedIPs
1459220642,3,3
1459224244,0,3
1459227841,1,5
1459231441,3,4
1459235041,4,2
1459238641,2,3
1459242241,2,2
1459245842,6,3
1459249441,0,4
1459253041,2,3
1459256642,3,0
1459260241,4,4
1459267442,1,0
1459271041,1,0
1459274642,6,0
1459278241,1,0
1459281841,2,0
1459285442,2,0
1459289041,1,0
1459292641,1,0
1459299841,3,0
1459303441,3,0
1459307041,2,0
1459314241,2,0
1459317842,2,0
1459321441,4,0
1459325042,31,0
1459332242,2,0
1459335841,3,0
1459339442,2,0
1459343042,1,0
1459346641,1,0
1459350241,5,0
1459353842,1,35
1459357441,2,3
1459361041,2,2
1459364642,2,1
1459368242,2,7
1459371842,1,2
1459375442,2,4
1459379042,2,3
1459382642,2,0
1459386241,3,2
1459389841,4,1
1459393442,1,0
1459397042,2,1
1459400642,0,3
1459404242,1,3
1459407842,2,2
1459411442,3,0
1459415041,1,1
1459418641,5,3
1459422242,1,2
1459425841,6,1
1459429441,1,5
1459433044,2,2
1459436642,3,2
1459440241,3,4
1459443842,2,7
1459447441,6,3
1459451042,7,1
1459454642,4,4
1459458241,3,2
1459461842,3,1
1459465441,1,5
1459469042,4,2
1459472642,4,2
1459476241,3,3
1459479842,3,2
1459483444,3,0
1459487042,1,3
1459490641,1,1
1459494241,4,2
1459497842,2,0
1459501441,1,2
1459505041,3,2
1459508641,1,4
1459512241,9,1
1459515841,4,0
1459519442,4,0
1459523041,2,3
1459526642,2,2
1459530241,1,4
1459533841,1,0
1459537441,3,3
1459541041,3,1
1459544641,2,2
1459548243,2,3
1459551841,2,2
1459559043,1,2
1459562641,0,3
1459566242,2,1
1459569841,3,3
1459573442,2,2
1459577042,2,0
1459580641,3,0
1459584241,0,1
1459587842,4,1
1459591441,1,2
1459598642,3,0
1459602242,3,6
1459605841,2,1
1459609441,6,2
1459613041,0,5
1459616641,0,2
1459620241,2,1
1459623841,2,1
1459627442,2,5
1459631042,2,3
1459634641,4,3
1459638241,1,2
1459641841,3,1
1459645441,2,2
1459649041,1,2
1459652642,7,3
1459656241,2,1
1459659842,0,1
1459663441,0,1
1459667041,1,1
1459670642,4,0
1459674241,1,3
1459677841,0,1
1459681442,0,2
1459685041,4,1
1459688642,2,1
1459692241,6,1
1459695841,0,1
1459699442,4,1
1459703041,3,1
1459706641,3,0
1459710241,2,1
1459713842,3,2
1459717441,4,3
1459721042,2,1
1459724641,3,4
1459728242,1,0
1459731841,3,3
1459735441,3,2
1459739041,5,0
1459742641,2,3
1459746242,4,3
1459749841,1,4
1459753442,4,3
1459757041,3,2
1459760641,2,1
1459764241,2,2
1459767841,2,0
1459771442,2,1
1459775041,2,0
1459778642,2,1
1459782242,2,5
1459785841,2,3
1459789442,4,1
1459793041,3,2
1459796642,4,2
1459800241,1,3
1459803841,2,2
1459807441,1,4
1459811041,2,35
1459814642,1,4
1459818241,3,1
1459821842,3,3
1459825441,4,3
1459829042,1,0
1459832641,3,2
1459836241,1,1
1459839841,4,4
1459843442,2,2
1459847041,7,3
1459850641,0,2
1459854242,2,0
1459857841,1,0
1459861441,3,1
1459865042,1,3
1459868641,5,1
1459872241,1,1
1459875842,5,0
1459879441,1,5
1459883042,3,1
1459886641,2,2
1459890242,2,4
1459893842,2,2
1459897442,2,1
1459901041,3,1
1459904641,1,0
1459908241,6,4
1459911842,6,3
1459915442,2,0
1459919042,0,4
1459922642,0,1
1459926241,3,7
1459929842,3,38
1459933441,2,1
1459937041,4,5
1459940643,2,4
1459944242,5,3
1459947842,3,1
1459951442,4,3
