DateTime,AddedIPs,RemovedIPs
1457215441,1,0
1457240641,6,1
1457244241,7,1
1457247841,3,6
1457255041,1,0
1457269441,0,1
1457280241,1,0
1457283841,1,2
1457287441,1,0
1457291042,1,1
1457294641,0,1
1457298243,0,2
1457309041,0,1
1457316241,0,1
1457327041,6,2
1457330641,2,0
1457334242,0,1
1457337841,0,1
1457348641,0,1
1457359441,1,0
1457363042,0,1
1457366641,0,1
1457381041,1,0
1457391841,0,1
1457406241,1,2
1457409841,0,1
1457413441,4,1
1457417041,7,1
1457420641,2,0
1457424241,0,1
1457435041,0,1
1457438642,1,0
1457445841,1,0
1457449441,1,0
1457453041,1,0
1457456641,1,0
1457460242,1,1
1457463841,0,1
1457467441,0,2
1457471041,1,0
1457481841,2,0
1457489041,1,0
1457499842,5,0
1457503441,4,0
1457507041,7,2
1457510641,4,0
1457514241,1,0
1457521441,1,2
1457528641,1,0
1457532241,1,1
1457543041,0,1
1457546642,0,1
1457550241,1,0
1457553841,1,0
1457561041,1,0
1457568241,1,0
1457586241,0,1
1457589841,1,0
1457593442,1,0
1457611442,1,1
1457636641,1,0
1457640241,0,2
1457647441,0,2
1457651041,2,0
1457654642,1,0
1457658242,3,0
1457672641,3,0
1457676242,1,0
1457679841,1,0
1457683442,0,1
1457687041,1,1
1457694241,1,0
1457712241,0,1
1457719441,0,1
1457737442,0,1
1457759041,2,1
1457762641,2,2
1457769841,0,1
1457773441,0,1
1457780642,1,0
1457784241,5,1
1457791441,1,4
1457798641,0,1
1457823841,0,1
1457841841,0,1
1457845441,4,2
1457849041,2,12
1457852642,0,4
1457863441,1,0
1457885041,0,1
1457888641,0,1
1457892242,1,0
1457917441,0,1
1457931842,3,6
1457935441,1,1
1457939041,1,1
1457949842,1,0
1457960642,1,1
1457964241,1,1
1457978642,2,0
1457989441,1,0
1457996643,2,0
1458018241,0,2
1458021841,0,9
1458025441,1,2
1458032641,1,0
1458036241,1,0
1458039841,1,1
1458043441,1,0
1458050642,0,1
1458057841,0,2
1458065042,2,2
1458068641,1,0
1458079442,1,0
1458083041,2,0
1458090241,1,0
1458101041,1,0
1458104641,1,4
1458108241,0,3
1458111841,0,6
1458115441,0,6
1458119042,0,2
1458129841,0,1
1458137042,1,0
1458144241,1,0
1458147841,1,0
1458155041,1,0
1458158641,0,1
1458162242,0,1
1458165842,1,0
1458180241,0,1
1458191041,1,0
1458194641,1,2
1458198241,3,0
1458205441,2,0
1458209041,0,1
1458212641,0,1
1458216242,1,0
1458219842,0,1
1458230641,1,0
1458245041,0,2
1458248641,1,0
1458255841,0,1
1458263041,1,1
1458273841,0,1
1458277442,1,2
1458281041,1,1
1458284641,2,0
1458299042,1,2
1458302641,0,2
1458306241,1,0
1458309841,1,0
1458320641,1,0
1458327841,1,0
1458335042,1,0
1458338642,0,1
1458345842,1,0
1458356641,1,0
1458363842,1,4
1458367441,0,3
1458371041,2,0
1458374641,1,1
1458381841,1,0
1458385441,1,1
1458392641,2,0
1458407041,1,1
1458410641,1,0
1458428641,1,0
1458432242,1,0
1458446641,0,1
1458450241,1,2
1458453842,1,0
1458464641,1,1
1458471841,0,1
1458479041,0,1
1458493441,1,0
1458522241,1,0
1458525841,0,1
1458536641,0,2
1458540242,1,1
1458543841,1,0
1458551041,2,1
1458554641,0,2
1458561841,1,0
1458565441,0,2
1458569041,1,0
1458576241,1,1
1458583442,0,1
1458601441,0,1
1458615841,1,0
1458626641,0,2
1458630241,2,0
1458633842,1,0
1458637441,0,2
1458641042,2,0
1458648241,0,1
1458749042,8,12
1458770641,1,1
1458788642,0,1
1458795841,2,1
1458799441,0,1
1458803041,1,0
1458813841,1,0
1458824641,2,0
1458828241,0,1
1458846242,2,0
1458853441,0,2
1458857041,1,0
1458864241,1,0
1458871441,2,0
1458878641,0,1
1458889442,1,1
1458896642,1,0
1458903841,0,1
1458907442,1,0
1458911041,1,0
1458914642,1,1
1458918241,1,1
1458925442,0,1
1458929041,1,0
1458932641,0,1
1458936242,0,1
1458950641,0,1
1458957841,0,1
1458968641,1,0
1458972242,2,0
1458975841,0,1
1458983041,0,1
1458986641,0,2
1458990241,0,2
1458993841,1,1
1458997442,1,1
1459004641,1,0
1459011842,0,1
1459015441,2,2
1459019041,1,1
1459033442,1,0
1459040641,2,0
1459051442,0,1
1459055041,1,2
1459062242,1,2
1459065841,0,1
1459069442,1,1
1459076641,1,0
1459080241,0,1
1459094642,1,0
1459127042,0,1
1459137841,2,0
1459141441,2,0
1459145041,0,1
1459155841,0,4
1459163041,1,0
1459173841,0,1
1459188242,0,1
1459217041,1,0
1459220641,0,1
1459227841,2,0
1459235041,1,0
1459238641,1,3
1459242241,0,1
1459245842,2,1
1459249441,1,0
1459253041,2,0
1459256641,1,0
1459263841,1,0
1459278241,1,0
1459285441,1,0
1459289041,1,0
1459292641,1,0
1459343041,1,0
1459353842,1,6
1459357441,0,1
1459361042,1,0
1459368241,0,1
1459382641,0,1
1459400641,0,1
1459404241,1,0
1459411441,0,1
1459422242,4,0
1459425841,1,1
1459429441,1,1
1459433041,1,2
1459451042,1,0
1459458241,1,1
1459469042,1,0
1459472641,2,0
1459476241,0,1
1459479841,1,0
1459487042,1,0
1459490641,1,0
1459494241,0,1
1459519442,2,0
1459523041,0,1
1459530241,0,1
1459537441,1,0
1459555441,0,2
1459573442,1,0
1459577041,0,1
1459584241,0,1
1459587841,1,0
1459591441,1,1
1459595041,1,0
1459598641,1,0
1459602241,1,1
1459609441,0,3
1459613041,0,2
1459616641,0,2
1459620241,0,3
1459627442,0,1
1459641841,1,0
1459659842,1,1
1459670641,0,1
1459674241,0,1
1459677841,0,1
1459681441,0,1
1459692241,0,1
1459703041,0,1
1459710241,1,0
1459713842,1,0
1459742641,0,2
1459746242,0,5
1459749841,1,2
1459760641,0,1
1459767841,0,1
1459771442,0,1
1459775041,1,0
1459778641,2,0
1459782242,1,0
1459785841,4,0
1459800241,1,0
1459803841,1,0
1459818241,2,0
1459825441,0,1
1459832641,2,1
1459836241,2,1
1459839841,0,1
1459843442,0,1
1459850641,0,1
1459854241,2,2
1459857841,2,2
1459865042,1,0
1459883042,0,1
1459890241,1,0
1459893842,2,0
1459897442,1,0
1459904641,0,1
1459911841,2,0
1459915441,0,2
1459922642,2,0
1459926241,0,1
1459933441,0,1
1459944241,1,0
1459955041,0,1
1459958641,0,1
1459962241,1,1
1459965841,3,0
1459976641,1,0
1459987441,0,1
1459998242,0,1
1460005441,2,0
1460009041,0,2
1460012641,0,3
1460016241,1,0
1460023441,1,1
1460027042,0,2
1460030641,0,2
1460045041,1,2
1460055842,1,0
1460059441,4,0
1460063041,1,0
1460066641,2,0
1460070241,0,1
1460073841,0,1
1460081041,0,1
1460088241,0,1
1460091841,1,0
1460095442,0,2
1460099041,1,0
1460109841,1,0
1460113441,0,1
1460117041,0,1
1460120642,1,0
1460124241,1,2
1460131442,1,1
1460138641,0,1
1460142241,0,1
1460153041,1,1
1460167441,1,0
1460174641,1,0
1460178242,3,0
1460185441,2,0
1460196242,0,1
1460199842,0,3
1460203441,0,1
1460207042,1,0
1460210642,1,0
1460250242,1,0
1460271842,0,26
1460315041,0,1
1460333041,1,0
1460347441,1,1
1460351041,2,0
1460354641,3,0
1460358242,3,0
1460361841,1,1
1460369041,0,2
1460379841,0,1
1460383441,0,1
1460387041,0,1
1460390642,2,3
1460394241,0,2
1460401441,0,1
1460412241,1,0
1460415841,1,0
1460423041,1,3
1460433842,1,0
1460441041,1,3
1460444641,2,0
