DateTime,AddedIPs,RemovedIPs
1459019109,0,1
1459022109,332,12
1459024210,0,1
1459025109,0,1
1459048508,1,0
1459063211,1,0
1459064412,0,1
1459066810,77,22
1459070709,1,1
1459071909,30,0
1459072211,47,0
1459072509,10,0
1459080313,42,9
1459080911,3,0
1459099212,3,0
1459100111,80,0
1459101610,0,1
1459111509,1,0
1459126811,0,1
1459134909,0,1
1459135211,0,1
1459135510,0,1
1459136112,0,1
1459136709,0,1
1459153510,64,1
1459153812,12,0
1459154411,23,0
1459154710,3,0
1459155009,1,0
1459155309,8,0
1459155611,11,0
1459156209,4,0
1459156810,6,0
1459157410,1,0
1459161011,0,1
1459173009,0,1
1459174211,0,1
1459174812,0,1
1459175110,0,1
1459175710,0,1
1459176610,0,1
1459178413,0,1
1459178709,0,1
1459179009,0,1
1459179611,0,1
1459179912,111,0
1459180209,1,0
1459186811,17,0
1459190411,0,1
1459191011,0,1
1459192511,0,1
1459194609,0,1
1459197010,0,1
1459203611,136,0
1459204210,0,1
1459233611,0,1
1459238109,19,0
1459238414,38,0
1459238710,1,0
1459239010,1,0
1459239309,1,0
1459239611,7,0
1459240210,8,0
1459242011,0,1
1459242909,56,11
1459244409,0,9
1459246812,0,1
1459253111,147,3
1459254912,57,1
1459255510,0,1
1459261509,69,6
1459269611,2,1
1459275310,0,1
1459276512,734,30
1459276811,91,0
1459277110,14,0
1459277410,11,0
1459281311,0,1
1459285509,44,0
1459287612,0,1
1459294209,0,1
1459302011,0,1
1459324211,29,6
1459324511,6,0
1459325412,40,0
1459325710,1,0
1459326009,1,0
1459326312,2,0
1459326611,1,0
1459327213,6,0
1459327510,3,0
1459327809,15,0
1459328110,1,0
1459330509,0,1
1459330811,13,0
1459331712,0,1
1459337409,47,0
1459337710,3,0
1459345210,21,0
1459346412,0,1
1459350909,0,1
1459352408,33,0
1459357512,1,1
1459364413,0,1
1459412711,115,3
1459413011,274,0
1459413612,16,0
1459413911,19,0
1459414210,4,0
1459414510,3,0
1459414811,123,0
1459415111,1,0
1459416010,117,5
1459419611,0,1
1459421711,136,0
1459427411,0,1
1459428009,0,1
1459428611,132,0
1459428911,67,3
1459429513,0,1
1459434310,0,1
1459435510,0,2
1459435810,303,10
1459437911,0,1
1459439111,77,12
1459442111,0,1
1459446311,0,1
1459447212,35,3
1459453510,0,1
1459458009,0,1
1459464010,111,16
1459464308,58,0
1459491310,0,1
1459494009,0,1
1459495810,1,0
1459496411,4,0
1459496711,28,0
1459497011,7,0
1459497310,19,0
1459498209,2,0
1459499111,0,1
1459502411,18,3
1459503909,5,0
1459504210,1,0
1459510810,5,0
1459511110,2,0
1459511409,0,9
1459517411,17,0
1459517711,5,0
1459522812,11,0
