DateTime,AddedIPs,RemovedIPs
1460504475,1024,0
1460505369,256,0
1460506277,3584,1792
1460508078,1792,3072
1460510233,1792,1280
1460511708,1024,512
1460512577,0,1792
1460514378,1536,0
1460515276,2048,2048
1460516177,0,2304
1460517077,1792,0
1460518878,256,512
1460519772,0,2048
1460520681,2816,0
1460522480,2048,2560
1460523371,0,1536
1460524277,1024,0
1460525173,0,512
1460526076,1024,0
1460526986,0,768
1460527877,3072,0
1460528771,0,2304
1460529683,2048,0
1460530574,256,1024
1460531475,1280,0
1460533274,1536,2304
1460535075,2560,768
1460535971,0,3072
1460537153,2816,0
1460539123,1280,2816
1460539576,0,1536
1460540474,512,0
1460542287,3072,512
1460544078,1280,1280
1460544970,0,1792
1460545902,1024,0
1460547671,512,1024
1460548415,0,1792
1460549498,3584,0
1460549772,0,2816
1460551274,1792,0
1460552171,0,2560
1460553074,1024,0
1460554876,768,1536
1460556992,3072,1536
1460558478,512,2560
1460559371,0,2304
1460560276,1024,0
1460562078,256,768
1460563884,3328,768
1460564772,0,2816
1460565723,1024,0
1460566734,0,2048
1460567505,512,0
1460568492,0,1792
1460569333,256,0
1460570173,0,2560
1460571078,3584,0
1460571404,0,3072
1460572879,768,0
1460575070,1280,3840
1460576497,512,768
1460577375,0,256
1460578306,3072,0
1460580079,2048,4096
1460582261,1024,0
1460582771,0,1280
1460583680,256,0
1460584573,0,1536
1460585481,3328,0
1460586388,0,2048
1460587293,768,0
1460589091,1536,1536
1460590884,512,2560
1460592711,3584,1280
1460593585,0,3840
1460594484,1792,0
1460595374,0,2560
1460596289,1792,0
1460598123,1536,768
1460598978,256,0
1460599880,3584,512
1460600779,0,1792
1460601679,1024,0
1460603480,1280,2048
1460605277,512,1792
1460607089,4096,768
1460608873,1280,2816
1460610681,1280,2048
1460612478,512,1024
1460614684,2816,1280
1460615179,0,3072
1460616085,768,0
1460616973,0,256
1460617871,1792,1536
1460618790,0,1024
1460619672,512,0
1460621475,3072,1280
1460623281,2048,5888
1460625099,2048,0
1460626882,768,256
1460629026,3328,512
1460630482,512,3328
1460632294,1024,1280
1460633173,0,768
1460635032,0,256
1460635744,3072,0
1460637713,1536,3584
1460639476,512,1792
1460641277,768,1280
1460642172,0,1024
1460643084,4352,0
1460644882,1792,3328
1460647023,768,512
1460648487,512,768
1460650300,3328,256
1460651179,0,3072
1460652076,2048,0
1460654294,1792,1024
1460655688,256,1024
1460656571,0,512
1460657480,3072,0
1460658370,0,3840
1460659292,512,0
1460660171,0,768
1460661452,256,0
1460661969,0,1536
1460662882,256,0
1460664680,2560,512
1460665040,0,3072
1460666487,1280,0
1460668280,1024,1536
1460669173,0,512
1460670080,256,0
1460671879,2304,512
1460673676,1024,3584
1460674573,0,1280
1460675472,1536,0
1460676385,0,768
1460677287,768,0
1460679102,2560,512
1460679999,0,3840
1460680874,1536,0
1460681767,0,1792
1460682679,1536,0
1460684356,512,768
1460685380,0,512
1460686664,2304,1536
1460688091,2048,3840
1460690225,1792,1024
1460690771,0,1536
1460691684,256,0
1460692571,0,256
1460693492,3072,0
1460694371,0,3840
1460695284,1536,0
1460695990,0,1536
1460697476,1536,0
1460697981,0,1024
1460698869,256,0
1460699800,0,768
1460700686,2816,0
1460701793,0,2304
1460702476,1024,0
1460704284,512,512
1460706113,512,2048
1460707913,3328,1024
1460708895,0,3328
1460709831,1792,0
1460710676,0,1280
1460711877,1024,0
1460713284,256,2048
1460714177,0,512
1460715177,3072,0
1460715997,0,3328
1460716876,1024,0
1460719082,512,1024
1460719582,0,1024
1460721559,1024,0
1460722278,3072,512
1460723006,0,3072
1460724076,1536,0
1460724972,0,1280
1460725875,768,0
1460726804,0,1536
1460727714,256,0
1460728574,0,512
1460729476,2304,0
1460731417,256,4096
1460733086,1024,1280
1460734723,512,1024
1460735778,0,256
1460737112,2816,0
1460738478,768,3072
1460740280,1024,2304
1460741179,0,1024
1460742079,256,0
1460743338,3072,0
1460744229,0,256
1460745139,1792,3072
1460747655,1280,512
1460748552,0,512
1460751480,2816,768
1460752158,0,2048
1460753061,1280,0
1460753957,0,1536
1460755094,2560,0
1460756652,768,1024
1460758701,3328,0
1460760255,1024,2304
1460762068,2048,1536
1460763855,256,2304
1460764748,0,256
1460765887,3584,0
1460767459,2304,2816
1460769445,768,2816
1460771060,512,0
1460771835,0,512
1460773051,3584,0
1460773752,0,2304
1460774568,1280,0
1460776627,2560,1536
1460777352,0,1536
1460778254,768,0
1460780299,2816,0
1460781853,1792,3584
1460782760,0,1536
1460783841,1792,0
1460784549,0,1280
1460785452,768,0
1460787454,3072,768
1460788152,0,3072
1460789056,1536,0
1460791045,1024,768
1460791751,0,512
1460792655,768,768
1460794626,3072,0
1460795352,0,3328
1460796255,2304,0
1460798262,1792,768
1460798949,0,768
1460799856,512,0
1460801723,2048,512
1460803454,768,3072
1460805117,2048,1792
1460806152,0,1024
1460807951,256,768
1460808866,2816,0
1460809751,0,2816
1460810652,768,0
1460812664,1792,1792
1460813351,0,1280
1460816232,3072,0
1460816953,0,2560
1460817848,1536,768
1460819470,1536,0
1460820550,0,1024
1460821326,256,0
1460822350,0,512
1460823497,3584,0
1460825055,1024,2816
1460825950,0,512
1460827039,1792,0
1460827753,0,1536
1460828655,512,512
1460830455,3584,0
1460830624,0,3328
1460832251,1536,0
1460833156,0,1792
1460834213,1536,0
1460834950,0,1280
1460836747,0,512
1460837842,3072,0
1460838549,0,2816
1460840354,768,0
1460841428,1280,1280
1460842149,0,2816
1460843057,512,0
1460845079,3072,768
1460845753,0,3584
1460846654,1024,0
1460848465,1024,768
1460850257,1536,1792
1460852441,3328,512
1460853722,2048,3584
1460855834,2048,2048
1460856549,0,1280
1460857455,256,0
1460859442,3328,1024
1460861062,1792,3584
1460862003,1792,1536
1460864495,512,1792
1460866777,3328,512
1460867451,1024,0
1460868260,0,2816
1460870260,1536,1536
1460871856,768,1024
1460872747,0,768
1460873708,3328,0
1460875463,2048,2816
1460877531,1280,1280
1460879057,512,1280
1460879954,0,768
1460881107,2816,0
1460882655,1280,2560
1460883550,0,2048
1460884665,1536,0
1460885359,0,2048
1460887160,1024,768
1460888063,2816,0
1460889852,1792,3072
1460891929,2048,0
1460892554,0,1536
1460893455,768,0
1460894461,2560,256
1460896159,0,2816
1460897056,1024,0
1460898990,1536,768
1460900651,1024,1536
1460902759,3328,256
1460904256,512,3072
1460905152,0,1536
1460906184,1280,0
1460906946,0,2048
1460909665,3584,0
1460911457,512,3840
1460913392,1024,1024
1460915052,768,1280
1460915949,0,1024
1460917000,3072,0
1460917751,0,3840
1460918657,1792,0
1460919548,0,1536
1460920793,1536,0
1460922254,256,1280
1460924105,3584,256
1460925860,1536,2560
1460926747,0,768
1460927876,768,0
1460929464,768,1280
1460930469,3328,256
1460933056,768,3072
1460933950,0,1024
1460935105,256,0
1460935750,0,1280
1460936658,512,0
1460938607,2560,512
1460939352,0,4352
1460941155,1536,1792
1460942284,1024,0
1460943856,768,2048
1460946149,3840,512
1460947467,1536,3328
1460948352,0,2048
1460949461,1536,0
1460950142,0,1280
1460951055,1792,0
1460951950,0,512
1460953033,3328,0
1460953750,0,3584
1460955549,1280,0
1460956703,768,1024
