DateTime,Entries,UniqueIPs
1460454080,8716,2281728
1460454975,8709,2279936
1460455892,8714,2281216
1460456788,8713,2280960
1460457680,8715,2281472
1460459806,8713,2280960
1460461276,8717,2281984
1460463079,8717,2281984
1460464742,8714,2280960
1460467645,8714,2281216
1460468489,8716,2281728
1460469398,8711,2280192
1460470743,8717,2281728
1460471188,8712,2279936
1460472079,8714,2280448
1460473877,8716,2280960
1460475677,8717,2281472
1460476571,8714,2280448
1460477510,8722,2282496
1460479302,8721,2282240
1460481453,8722,2282496
1460482879,8730,2284544
1460484684,8735,2285824
1460486505,8735,2286336
1460487376,8733,2285824
1460488278,8736,2286592
1460489174,8734,2285824
1460490077,8736,2286336
1460491894,8735,2285824
1460493674,8728,2283776
1460495344,8731,2284544
1460496371,8729,2284032
1460497106,8731,2284544
1460498173,8729,2283520
1460499529,8733,2284544
1460499978,8724,2282240
1460500873,8728,2283264
1460502678,8730,2284032
1460503569,8729,2283776
1460504475,8732,2284544
1460505369,8733,2284800
1460506277,8740,2286848
1460508078,8736,2285824
1460510233,8736,2285824
1460511708,8734,2285312
1460512577,8730,2284288
1460514378,8733,2285056
1460515276,8738,2286336
1460516177,8737,2286080
1460517077,8744,2287872
1460518878,8742,2287360
1460519772,8739,2286592
1460520681,8748,2288896
1460522480,8744,2287872
1460524277,8738,2286336
1460526076,8737,2286080
1460526986,8732,2284800
1460527877,8741,2287104
1460529683,8737,2286080
1460530574,8731,2284544
1460531475,8734,2285312
1460533274,8733,2285056
1460535075,8738,2285824
1460535971,8730,2283776
1460537153,8738,2285824
1460539123,8731,2284032
1460540474,8730,2283776
1460541390,8720,2281216
1460542287,8731,2284032
1460544078,8726,2282752
1460544970,8721,2281472
1460545902,8723,2281984
1460547671,8721,2281472
1460549498,8724,2281728
1460551274,8718,2279936
1460553074,8722,2280960
1460554876,8717,2279424
1460556992,8716,2279168
1460558478,8708,2277120
1460559371,8696,2274048
1460560276,8699,2274816
1460562078,8696,2274048
1460562973,8691,2272768
1460563884,8700,2275072
1460564772,8694,2273536
1460565723,8695,2273792
1460566734,8689,2272256
1460567505,8690,2272512
1460568492,8689,2272256
1460569333,8690,2272512
1460570173,8685,2271232
1460571078,8695,2273792
1460572879,8692,2272768
1460575070,8690,2272256
1460576497,8687,2271488
1460577375,8684,2270720
1460578306,8692,2273024
1460580079,8691,2272512
1460582261,8692,2272768
1460582771,8689,2272000
1460583680,8679,2269184
1460585481,8690,2272000
1460587293,8682,2269952
1460589091,8680,2269440
1460590884,8679,2269184
1460592711,8690,2272000
1460593160,8686,2270720
1460594484,8683,2269696
1460596289,8678,2268416
1460596642,8674,2267392
1460598123,8680,2268928
1460598978,8672,2266880
1460599880,8682,2269440
1460600779,8677,2267648
1460601679,8680,2268416
1460602571,8677,2267392
1460603480,8681,2268416
1460603837,8678,2267648
1460605277,8679,2267904
1460606172,8671,2265856
1460607089,8681,2268416
1460607450,8679,2267904
1460608873,8680,2268160
1460610681,8678,2267648
1460611582,8673,2266368
1460613407,8669,2265088
1460614684,8676,2266880
1460616085,8666,2264064
1460616973,8662,2263040
1460617871,8666,2264064
1460618790,8664,2263552
1460621475,8669,2265088
1460623281,8665,2264064
1460625099,8664,2263808
1460626882,8663,2263552
1460629026,8670,2265344
1460630482,8663,2263296
1460632294,8662,2263040
1460634077,8658,2262016
1460635032,8653,2260736
1460635744,8662,2263040
1460637713,8664,2263552
1460639476,8662,2263040
1460641277,8660,2262528
1460643084,8666,2264064
1460644882,8670,2265088
1460647023,8663,2263296
1460648487,8658,2262272
1460650300,8663,2263808
1460651179,8658,2262528
1460652076,8661,2263296
1460654294,8663,2263808
1460655688,8660,2263040
1460656571,8656,2262016
1460657480,8665,2264320
1460658370,8661,2262784
1460659292,8662,2263040
1460661452,8660,2262528
1460662882,8656,2261504
1460664680,8659,2262016
1460666487,8659,2262272
1460668280,8658,2262016
1460669173,8653,2260736
1460670975,8649,2259712
1460671879,8656,2261504
1460673676,8657,2262016
1460674573,8654,2260992
1460675472,8659,2262272
1460676385,8658,2262016
1460679102,8662,2263040
1460680874,8656,2261504
1460681767,8646,2258944
1460682679,8649,2259712
1460684356,8645,2258688
1460685380,8644,2258432
1460686664,8647,2259200
1460688091,8649,2259712
1460688973,8648,2259456
1460690225,8645,2258944
1460692571,8642,2258176
1460693492,8651,2260480
1460695284,8645,2258944
1460697476,8641,2258176
1460697981,8635,2256640
1460698869,8636,2256896
1460699800,8632,2255872
1460700686,8640,2257920
1460704284,8640,2257920
1460706113,8639,2257664
1460707913,8646,2259456
1460708895,8638,2257408
1460709831,8640,2257920
1460710676,8635,2256640
1460711877,8636,2256896
1460713284,8631,2255616
1460714177,8630,2255104
1460715177,8640,2257664
1460715997,8632,2255616
1460716876,8633,2255872
1460719082,8631,2255360
1460721559,8630,2254848
1460722278,8632,2255360
1460723006,8628,2254336
1460724076,8631,2255104
1460724972,8623,2253056
1460725875,8625,2253568
