DateTime,Entries,UniqueIPs
1433737801,509,509
1433824201,509,509
1433910601,506,506
1433997001,505,505
1434083401,509,509
1434169801,505,505
1434169801,505,505
1434169801,505,505
1434169801,505,505
1434169801,505,505
1434169801,505,505
1434256201,504,504
1434256201,504,504
1434342601,504,504
1434429002,507,507
1434515401,463,463
1434515401,463,463
1434601801,507,507
1434688201,511,511
1434688201,511,511
1434947401,509,509
1435033801,513,513
1435120201,508,508
1435206601,497,497
1435293002,513,513
1435552201,504,504
1435638601,504,504
1435725001,496,496
1435811401,498,498
1435897801,495,495
1436157001,499,499
1436243401,499,499
1436329801,493,493
1436416201,499,499
1436502601,505,505
1436761802,495,495
1436848202,497,497
1436934601,498,498
1437021001,498,498
1437107401,494,494
1437366601,495,495
1437453001,491,491
1437539401,350,350
1437625801,476,476
1437712201,429,429
1437971401,497,497
1438057801,503,503
1438144202,471,471
1438230601,501,501
1438317001,502,502
1438489801,504,504
1438576201,502,502
1438662601,499,499
1438749001,497,497
1438921801,497,497
1438921801,497,497
1438921801,497,497
1438921801,497,497
1438921801,497,497
1439181001,496,496
1439267401,500,500
1439353801,493,493
1439440202,498,498
1439526601,501,501
1439526601,501,501
1439785801,488,488
1439872201,484,484
1439958601,162,162
1440045001,483,483
1440045001,483,483
1440131401,490,490
1440390601,488,488
1440477001,398,398
1440563401,492,492
1440563401,492,492
1440711630,495,495
1440995401,485,485
1441081801,494,494
1441168201,494,494
1441254601,464,464
1441341002,488,488
1441686602,487,487
1441773001,488,488
1441859401,489,489
1441945802,441,441
1442032201,456,456
1442205001,490,490
1442291401,494,494
1442377801,493,493
1442550601,467,467
1442723401,0,0
1442809801,489,489
1442896201,480,480
1442982601,486,486
1443069001,481,481
1443155401,491,491
1443414601,494,494
1443501001,500,500
1443587402,493,493
1443673801,497,497
1443760201,494,494
1444019402,493,493
1444105801,363,363
1444192201,493,493
1444278601,497,497
1444624201,491,491
1444710601,405,405
1444797001,487,487
1444883401,495,495
1444969801,499,499
1445056201,496,496
1445229001,489,489
1445315401,495,495
1445401802,490,490
1445488201,263,263
1445574601,312,312
1445747401,254,254
1445833801,415,415
1445920201,441,441
1446006601,162,162
1446093001,224,224
1446179401,496,496
1446265801,464,464
1446442201,503,503
1446528601,188,188
1446615002,419,419
1446701401,473,473
1446787801,440,440
1447047002,451,451
1447133401,504,504
1447219801,475,475
1447306201,462,462
1447392601,156,156
1447651801,476,476
1447738201,498,498
1447824601,493,493
1447911002,484,484
1447997401,499,499
1448256601,501,501
1448343001,508,508
1448515801,503,503
1448861401,468,468
1448947801,490,490
1449034201,429,429
1449120601,498,498
1449207001,499,499
1449379801,491,491
1449466202,456,456
1449552601,501,501
1449639001,488,488
1449725401,488,488
1449811801,487,487
1450071001,489,489
1450243802,497,497
1450330201,495,495
1450416602,458,458
1450675802,498,498
1450762201,504,504
1450848601,486,486
1450935001,488,488
1451280601,482,482
1451367001,474,474
1451453401,484,484
1451626201,485,485
1451885401,481,481
1451971802,480,480
1452058201,488,488
1452144601,488,488
1452231001,490,490
1452403801,489,489
1452490201,488,488
1452576601,488,488
1452749401,491,491
1452835801,497,497
1453008601,492,492
1453095001,492,492
1453181401,495,495
1453267801,490,490
1453354201,489,489
1453440601,492,492
1453699801,460,460
1453786201,488,488
1453872601,486,486
1453959001,481,481
1454045402,476,476
1454304601,476,476
1454391001,465,465
1454477402,485,485
1454563801,489,489
1454650201,494,494
1454909401,486,486
1454995801,482,482
1455082201,492,492
1455168601,492,492
1455255001,494,494
1455341401,497,497
1455514201,487,487
1455600601,498,498
1455687001,493,493
1455773401,488,488
1455859801,494,494
1456032601,490,490
1456119001,496,496
1456291801,495,495
1456378201,497,497
1456464602,496,496
1456637401,496,496
1456723801,493,493
1456810201,498,498
1456896601,501,501
1456983001,506,506
1457069401,496,496
1457242201,488,488
1457328601,497,497
1457415001,487,487
1457587802,489,489
1457674201,487,487
1457760601,481,481
1457929801,489,489
1458016201,489,489
1458102601,485,485
1458189004,494,494
1458275401,488,488
1458361801,465,465
1458534601,486,486
1458621001,491,491
1458707401,479,479
1458793801,477,477
1458880201,478,478
1459053001,479,479
1459139402,478,478
1459225801,479,479
1459312201,481,481
1459398601,485,485
1459485001,488,488
1459657801,490,490
1459744201,493,493
1459830601,494,494
1459917002,495,495
1460003402,492,492
1460089801,492,492
1460435402,497,497
1460521801,495,495
1460608201,497,497
1460694601,509,509
1460953801,505,505
