DateTime,Entries,UniqueIPs
1460632361,322442,372857
1460633313,322496,372929
1460634298,322494,372922
1460635236,322536,372978
1460636228,322543,372982
1460637164,322560,373021
1460638121,322540,373003
1460639081,322560,373032
1460640046,322008,372389
1460640995,322035,372410
1460641955,322041,372421
1460643450,322070,372440
1460644422,322091,372468
1460645569,322127,372509
1460646509,322143,372523
1460647453,322147,372537
1460648427,322190,372586
1460649399,322172,372563
1460650618,322177,372563
1460652160,322236,372634
1460653237,322255,372662
1460654185,322233,372639
1460655169,322249,372663
1460656365,322277,372688
1460657330,322297,372718
1460658265,322304,372728
1460659239,322320,372755
1460660166,322312,372743
1460661157,322330,372761
1460662148,322356,372810
1460663068,322399,372868
1460663782,322398,372864
1460664097,322415,372886
1460665228,322397,372865
1460666197,322429,372906
1460667154,322405,372883
1460668110,322440,372920
1460669057,322487,372974
1460670047,322513,373004
1460670987,322525,373031
1460671723,322527,373033
1460672206,322554,373066
1460673183,322599,373121
1460674107,322641,373174
1460675062,322696,373236
1460676040,322725,373261
1460676995,322720,373255
1460677956,322758,373298
1460678942,322779,373331
1460679903,322779,373344
1460680838,322791,373358
1460681789,322784,373342
1460682862,322800,373361
1460683955,322861,373435
1460684918,322869,373437
1460685867,322927,373505
1460686832,322924,373491
1460687801,322942,373512
1460688769,322961,373532
1460689727,322972,373550
1460690689,322962,373542
1460691638,322972,373558
1460692603,322951,373524
1460693570,322939,373499
1460694508,322926,373485
1460694985,322949,373508
1460695480,322906,373475
1460696441,322969,373541
1460697894,323004,373588
1460698841,323011,373595
1460699790,323019,373603
1460700792,323043,373631
1460701712,323087,373683
1460702666,323071,373664
1460703659,323097,373694
1460704591,323095,373689
1460705576,323107,373703
1460706521,323148,373757
1460707497,323172,373808
1460708457,323204,373828
1460709657,323248,373868
1460710598,323229,373844
1460711580,323242,373851
1460712513,323254,373846
1460713475,323272,373865
1460714437,323269,373862
1460715424,323262,373845
1460716370,323275,373863
1460717330,323326,373922
1460718275,323381,373972
1460719251,323383,373990
1460720185,323370,373972
1460721704,323422,374029
1460722653,323399,374004
1460723560,323454,374063
1460724567,323462,374061
1460725461,323485,374085
1460725705,323480,374079
1460726458,322777,373107
1460726669,322767,373091
1460727393,322775,373098
1460727622,322796,373120
1460728409,322826,373148
1460728575,322805,373132
1460729312,322823,373151
1460729820,322829,373147
1460730314,322851,373171
1460730771,322845,373156
1460731257,322873,373190
1460731708,322869,373179
1460732222,322883,373199
1460732691,322884,373195
1460733217,322905,373224
1460733658,322896,373212
1460734167,322920,373237
1460734621,322878,373188
1460735084,322896,373210
1460736166,322920,373247
1460737232,322936,373261
1460738189,322947,373277
1460739150,322980,373311
1460740371,323000,373321
1460741897,323029,373311
1460742984,323081,373374
1460743974,323092,373386
1460744916,323126,373432
1460745860,323142,373448
1460746855,323184,373493
1460747878,323192,373493
1460748983,323245,373542
1460749455,323246,373544
1460749956,323300,373601
1460750935,323328,373620
1460752146,323364,373662
1460753058,323380,373688
1460754033,323407,373720
1460755015,323420,373726
1460755956,323417,373721
1460756914,323440,373741
1460757149,323438,373739
1460757892,323493,373813
1460758857,323501,373813
1460759803,323522,373836
1460760752,323553,373874
1460761738,323567,373887
1460762674,323599,373927
1460763629,323620,373950
1460764594,323627,373947
1460765574,323642,373963
1460766520,323680,374006
1460767472,323689,374012
1460768439,323722,374040
1460769386,323723,374042
1460770374,323754,374078
1460771308,323771,374068
1460772267,323826,374142
1460773257,323828,374145
1460774197,323836,374145
1460775192,323843,374141
1460776116,323865,374159
1460777077,323885,374186
1460778049,323916,374219
1460779003,323928,374232
1460779964,323954,374260
1460780936,323979,374290
1460781872,323948,374265
1460782871,324005,374330
1460783789,323986,374307
1460784263,323984,374305
1460784789,324024,374348
1460785708,324053,374373
1460786706,324087,374412
1460787635,324076,374399
1460788811,324095,374408
1460789785,324111,374431
1460790790,324121,374436
1460791714,324183,374493
1460792700,324171,374467
1460793636,324227,374529
1460794636,324237,374537
1460795559,324247,374550
1460796541,324303,374613
1460797483,324318,374623
1460798489,324350,374631
1460799393,324350,374627
1460800410,324377,374655
