DateTime,Entries,UniqueIPs
1461049411,53591,106523
1461050521,53574,106505
1461051729,53622,106553
1461052922,53620,106551
1461053049,53549,106480
1461054122,53543,106475
1461055323,53496,106425
1461055394,53549,106478
1461056522,53532,106460
1461057723,53520,106450
1461058922,53498,106428
1461060122,53474,106403
1461061323,53486,106415
1461062526,53479,106406
1461062645,53522,106449
1461063726,53497,106419
1461063806,53493,106415
1461064922,53383,106304
1461066123,53393,106315
1461067322,53466,106389
1461067405,53469,106392
1461069122,53566,106489
1461069181,53565,106488
1461070323,53449,106369
1461070326,53447,106367
1461070732,53456,106376
1461071522,53462,106382
1461072722,53364,106283
1461073922,53304,106221
1461074175,53354,106271
1461075122,53364,106280
1461076922,53385,106301
1461078122,53359,106271
1461078486,53277,106189
1461079322,53265,106175
1461080522,53273,106185
1461081725,53336,106249
1461081805,53333,106246
1461082922,53285,106196
1461084122,53228,106138
1461085323,53171,105567
1461085341,53158,105553
1461086522,53152,105546
1461087729,53222,105616
1461088922,53210,105606
1461088944,53210,105606
1461090123,53136,105532
1461091326,53124,105519
1461092523,53097,105486
1461092538,53096,105485
1461093722,53093,105482
1461094922,53059,105445
1461096123,53049,105429
1461096205,53046,105426
1461097323,52975,105356
1461098526,52973,105353
1461098644,53032,105412
1461099723,53021,105400
1461099804,53022,105401
1461100922,53000,105375
1461104523,52984,105356
1461105722,52980,105351
1461106082,53003,105374
1461106922,53001,105371
1461106994,52999,105369
1461108123,53030,105401
1461109322,52850,105221
1461110522,52856,105224
1461110600,52854,105222
1461111722,52857,105224
1461112922,52872,105237
1461114123,52890,105255
1461114194,52791,105156
1461115322,52796,105161
1461116522,52790,105155
1461117723,52778,105140
1461117793,52779,105141
1461118922,52783,105145
1461120122,52940,105304
1461121322,52919,105270
1461121443,52764,105115
1461122522,52781,105134
1461123722,52780,105133
1461124922,52864,105217
1461124993,52862,105215
1461126122,52878,105231
1461127331,52866,105217
1461128522,52857,105209
1461128590,52852,105204
1461129722,52852,105204
1461130922,52849,105202
1461131044,52934,105287
1461132122,52933,105287
1461132190,52930,105284
1461133323,52811,105162
1461134522,52807,105158
1461134887,52860,105211
1461135722,52866,105218
1461136921,52848,105195
1461138121,52842,105187
1461139321,52820,105166
1461139387,52813,105159
1461141722,52818,105163
1461142922,52813,105162
1461142993,52860,105209
1461144123,52851,105198
1461145322,52847,105196
1461146522,52840,105187
1461162722,52744,105105
1461171725,52819,105178
1461174722,52820,105178
1461175922,52814,105170
1461177122,52825,105181
1461178322,52816,105171
1461179523,52805,105160
1461179762,52739,105094
1461180722,52749,105104
1461180781,52748,105103
1461181922,52749,105104
1461183122,52811,105165
1461184322,52823,105177
1461184381,52827,105181
1461185522,52826,105179
1461185523,52746,105100
1461186722,52761,105115
1461187922,52748,105095
1461189132,52739,105086
1461189364,52791,105138
1461190322,52788,105135
1461191523,52781,105128
1461191581,52714,105061
1461192722,52710,105056
1461193922,52720,105065
1461195122,52707,105051
1461195181,52798,105142
1461196322,52801,105145
1461197523,52666,105010
1461198722,52690,105036
1461198781,52692,105038
1461199922,52699,105044
1461201123,52655,104998
1461202322,52731,105074
1461202381,52730,105073
1461202805,52723,105067
1461203522,52727,105072
1461204723,52727,105072
1461205922,52734,105079
1461205981,52733,105078
1461207122,52757,105101
1461208322,52749,105092
1461209522,52806,105150
1461210722,52807,105151
1461211922,52716,105058
1461213122,52701,105044
1461214322,52700,105043
1461214323,52776,105119
1461215522,52783,105126
1461216724,52792,105136
1461216808,52788,105132
1461217922,52791,105135
1461218164,52749,105093
1461219123,52745,105090
1461220322,52751,105097
1461220381,52802,105148
1461220507,52804,105150
1461221523,52806,105153
1461222005,52807,105154
1461222722,52802,105148
1461223922,52804,105151
1461223923,52858,105205
1461225122,52874,105221
1461226322,52771,105117
1461227522,52799,105145
1461227762,52853,105199
1461228722,52855,105199
1461229923,52851,105195
1461231122,52846,105189
1461231604,52863,105206
1461232324,52856,105198
1461233522,52865,105207
1461233524,52856,105198
1461234722,52860,105203
1461235922,52863,105205
1461237122,52864,105205
1461238322,52863,105203
1461239522,52932,105273
1461240722,52887,105226
1461244322,52909,105254
1461245522,52907,105252
1461245764,52912,105257
1461246724,52911,105257
1461247922,52918,105263
1461249122,52916,105261
1461249604,52924,105269
1461250322,52921,105266
1461251522,52923,105269
1461258123,52935,105276
1461261122,52986,105330
1461262322,52971,105314
1461262324,52876,105218
1461262923,52873,105215
1461263581,52872,105214
1461265446,52936,105278
1461267363,52994,105336
1461269285,52950,105292
1461269473,52955,105297
