DateTime,Entries,UniqueIPs
1460828523,12063,121039
1460829152,12013,120989
1460829548,12029,121005
1460830455,12007,124553
1460830623,12006,124552
1460830624,11995,121226
1460831359,12031,121265
1460832122,11939,121167
1460832984,11902,122660
1460833156,11913,120890
1460833803,11868,120844
1460834222,11866,120842
1460834912,11888,122393
1460834950,11883,121113
1460836022,11819,121043
1460836842,11824,121050
1460837402,11812,120525
1460837842,11823,123596
1460838482,11848,123622
1460838761,11865,123637
1460839322,11737,120694
1460839622,11737,120694
1460840354,11760,121482
1460840997,11720,121441
1460841421,11724,121444
1460841428,11727,121447
1460842083,11746,121467
1460842149,11736,118652
1460842923,11668,118577
1460843950,11670,119089
1460844028,11663,119081
1460845023,11681,119100
1460845079,11693,121407
1460845683,11711,121430
1460845753,11698,117847
1460846522,11638,117784
1460846821,11637,117783
1460847548,11658,118824
1460848465,11636,119056
1460848921,11636,119057
1460849353,11655,119076
1460850123,11590,119008
1460850508,11293,118699
1460850962,11306,118458
1460851803,11268,118419
1460852521,11279,121235
1460852883,11295,121251
1460853722,11183,119608
1460854022,11183,119608
1460854562,11202,119627
1460855642,11177,119604
1460855834,11182,119609
1460856122,11182,119609
1460856482,11207,119634
1460857231,10147,117272
1460857622,10041,117421
1460858406,10061,117442
1460859442,10032,119709
1460859722,10029,119706
1460860082,10050,119727
1460860922,9968,119646
1460861762,9985,117881
1460862603,9946,118096
1460863321,9946,118096
1460863683,9968,118121
1460864523,9873,118025
1460864906,9860,118021
1460865123,9854,116740
1460865571,9869,116759
1460866202,9798,116690
1460866777,9815,119515
1460867282,9848,119548
1460867451,9851,120571
1460868260,9739,117655
1460868723,9741,117657
1460868962,9755,117673
1460869803,9702,117623
1460870260,9698,117619
1460870882,9698,117619
1460871866,9559,117477
1460872323,9560,117478
1460872747,9580,116479
1460873708,9541,119755
1460874555,9563,119777
1460875322,9486,119700
1460876221,9479,118928
1460876417,9464,118910
1460877242,9496,118942
1460877531,9488,118935
1460878150,9523,118973
1460878923,9469,118919
1460879548,9252,117941
1460879821,9302,117992
1460879954,9300,117225
1460880603,9304,117227
1460881107,9315,120043
1460881683,9354,120083
1460882522,9273,119994
1460882655,9267,118713
1460883421,9301,118747
1460883550,9297,116703
1460884203,9288,116697
1460884665,9294,118233
1460885282,9343,118284
1460885359,9336,116237
1460886122,9308,116205
