DateTime,AddedIPs,RemovedIPs
1461003370,2683,0
1461004021,1,2
1461005133,12,0
1461005950,256,0
1461006241,3,1
1461006932,140,0
1461007449,2825,0
1461008735,4,0
1461009841,2,2
1461010726,3442,0
1461011401,30,38
1461012334,18,0
1461012962,1280,0
1461013441,1,0
1461015376,114,1
1461015900,1551,6
1461017041,1,4
1461017700,2415,0
1461017709,10,0
1461019686,12,1
1461020432,766,0
1461020641,5,0
1461021300,878,0
1461023100,16,0
1461023523,1,0
1461024241,0,1
1461024900,2825,164
1461025021,0,2293
1461025838,3,1
1461026309,3,0
1461026700,12,0
1461027364,516,7
1461027842,2,0
1461028500,635,0
1461028509,3,57
1461030421,19,6
1461031210,1,8
1461031441,0,3075
1461032100,142,0
1461032230,2048,0
1461033900,15,0
1461034835,5372,3069
1461035044,2,2
1461035700,1180,0
1461037228,4,1
1461037500,5,0
1461038642,256,0
1461039128,1,0
1461039404,2441,0
1461041100,22,0
1461041948,256,0
1461042241,1,1
1461042965,384,0
1461044700,8,0
1461044824,4,2
1461045842,1,1
1461046500,153,0
1461047444,2560,0
1461048300,11,2
1461049246,512,0
1461049441,2,2
1461050100,108,0
1461050108,6,0
1461050644,1024,0
1461051900,15,0
1461052749,512,0
1461052844,1,0
1461053041,2,2
1461053700,140,0
1461053786,1535,0
1461055500,14,0
1461056349,768,0
1461056641,2,1
1461057300,138,0
1461057453,512,0
1461058326,0,1
1461059111,9,4
1461059522,4,6
1461060900,128,0
1461061223,11,3
1461062163,1024,0
1461062700,522,0
1461063841,1,0
1461064500,1173,0
1461066004,3,0
1461066300,7,0
1461067441,2,2
1461068222,2012,0
1461069038,0,1865
1461069900,520,2
1461071041,1,2
1461071768,1353,0
1461071823,1,10
1461073684,14,1
1461073921,260,11
1461074641,0,2
1461075068,1280,0
1461075300,182,0
1461077100,12,0
1461077523,0,1
1461077951,256,0
1461078242,2,2
1461078900,165,0
1461079213,772,1
1461080700,29,0
1461081842,3,0
1461082500,2219,0
1461082509,8,0
1461083439,1,1
1461084300,23,0
1461085203,256,0
1461085442,1,1
1461086100,109,0
1461086197,512,0
1461087900,258,0
1461088321,5,6
1461089700,2147,0
1461090154,3,3
1461091500,17,0
1461092439,767,0
1461092889,0,2
1461093300,106,0
1461093467,2308,768
1461095100,10,257
1461096241,3,1
1461096724,1,0
1461096900,73,0
1461097154,2303,1280
1461097835,53,1829
1461098700,17,0
1461099636,256,0
1461099841,2,1793
1461104256,2222,2312
1461105090,5,2063
1461105942,9,1
1461107041,513,512
1461107734,84,0
1461108549,1022,256
1461109537,21,0
1461110360,256,0
1461110641,0,1
1461111337,215,148
1461111848,3071,2963
1461113134,27,256
1461114242,767,2561
1461114673,256,0
1461114939,64,0
1461114993,3,53
1461115686,0,1
1461115823,256,3584
1461116737,29,0
1461117841,0,4
1461118542,74,2
1461118780,1536,1789
1461119524,0,768
1461120337,17,0
1461121442,772,768
1461122137,338,0
1461122959,0,256
1461123362,1,0
1461123937,3585,7168
1461124770,511,0
1461125041,0,1
1461125750,122,0
1461125924,6,1
1461126601,1282,513
1461127204,0,2048
1461127540,11,0
1461128641,3,0
1461129353,193,0
1461129522,512,1280
1461130148,0,256
1461131100,15,0
1461132241,4,1280
1461132948,1726,9
1461134886,12,0
1461135841,3,1539
1461136542,163,0
1461136672,1284,1790
1461137355,0,256
1461138342,9,0
1461139150,256,0
1461139441,3,0
1461140142,178,0
1461140179,1790,1275
1461141000,1,0
1461141937,15,767
1461142564,769,0
1461143041,0,1
1461143505,767,0
1461143745,150,0
1461143900,0,1790
1461144553,0,512
1461145534,10,0
1461162459,2297,14801
1461171366,1019,3589
1461174000,1459,1798
1461174300,262,0
1461175207,1,0
1461175441,2,1
1461176100,134,0
1461176301,2560,767
1461176910,8,24
1461177037,0,768
1461177900,15,0
1461178036,1791,0
1461179700,4,1
1461179776,1535,1535
1461181500,8,766
1461182358,512,0
1461182882,2,1
1461183300,187,0
1461183309,5,0
1461183421,2048,256
1461185049,4,518
1461185100,12,0
1461185950,1024,0
1461186242,1,0
1461186900,119,0
1461187080,768,1023
1461187846,48,36
1461188700,5,512
1461189549,512,0
1461189841,3,0
1461190563,133,0
1461190680,2560,768
1461191445,11,11
1461192300,10,511
1461193156,765,0
1461193441,3,1
1461194100,243,0
1461194404,7,1
1461195046,1279,768
1461195978,9,1022
1461197042,2,1
1461197700,393,145
1461198246,3592,526
1461198647,0,768
1461199500,7,0
1461200446,1534,0
1461200641,1,514
1461201300,214,0
1461202084,767,0
1461202324,511,0
1461203100,12,0
1461204241,1,0
1461204900,202,0
1461204949,4,50
1461205932,3333,3216
1461206785,13,514
1461207548,2304,0
1461207842,1,1
1461208305,1024,2048
1461208500,200,0
1461209763,7934,3584
1461210300,6,1019
1461211149,512,0
1461211442,0,1
1461212100,182,0
1461212231,2815,511
1461213607,0,768
1461213900,11,0
1461213949,512,0
1461215041,2,0
1461215700,162,0
1461215709,10,0
1461216650,512,1536
1461216845,256,512
1461217500,4,0
1461217834,1,3
1461218641,0,2
1461219300,174,0
1461219439,3839,511
1461220321,3,10
1461221283,13,0
1461222042,768,512
1461222242,2,0
1461222903,932,1533
1461224700,5,0
1461225127,0,256
1461225842,2,3
1461226500,135,0
1461226509,6,0
1461226617,2558,1023
1461228072,1279,0
1461228300,16,0
1461228963,1,1
1461229244,0,768
1461229441,2,1
1461230100,138,0
1461230243,1278,0
1461231045,0,1
1461231900,7,256
1461232814,511,2558
1461233041,0,2
1461233700,125,0
1461233876,3327,256
1461234721,5,7
1461235500,11,256
1461236356,1024,0
1461237341,1247,1028
1461237367,6,0
1461239135,3,0
1461239981,256,1
1461240485,2,4
1461243841,2297,3328
1461244500,202,0
1461244581,1024,1790
1461244622,2,8
1461246300,13,512
1461247441,1,0
1461248166,3841,256
1461248229,3,2240
1461249121,3,6
1461249900,25,0
1461250858,1284,1029
1461251042,2,1025
1461257765,892,4355
1461259841,1931,1577
1461260700,6,0
1461261791,3,6
1461261841,0,1282
1461262278,2816,0
1461262500,282,0
1461263528,2,7
1461265444,1033,770
1461266100,355,0
1461266232,1280,1023
1461267900,7,770
1461268751,510,0
1461269700,3452,1280
1461269710,6,0
1461271500,19,0
1461272440,1022,768
1461272734,2,516
1461273300,378,0
1461273444,1024,0
1461274236,2,1
1461275100,9,0
1461275946,1533,0
1461276241,2,0
1461276962,297,0
1461277100,3584,1024
1461277839,0,1792
1461277922,6,8
1461278700,15,2
1461279637,1536,0
1461279842,1,1279
1461280500,80,0
1461280804,5,0
1461281436,1279,0
1461282300,5,256
1461283148,512,0
1461283441,4,2
1461284100,235,163
1461284650,3333,1036
1461285900,21,511
1461286838,512,0
1461287041,1,0
1461287700,75,0
1461287909,1280,1024
1461288486,8,9
1461288639,0,1
1461289500,9,2
1461290438,0,512
1461290642,1,1
1461291300,85,0
1461291392,3585,2633
1461292335,0,4
1461293100,12,771
1461293947,1792,1027
1461294242,3,0
1461294900,100,0
1461295047,1280,0
1461296169,6401,4350
1461296700,518,256
1461297842,0,1
1461298529,160,0
1461298643,3582,1792
1461300007,4,769
1461300300,22,0
1461300346,2304,768
1461301441,0,1
1461302100,1,0
1461302291,1276,0
1461303900,7,0
1461304252,258,514
1461305041,2304,769
