DateTime,AddedIPs,RemovedIPs
1446316225,147,442
1446402628,117,234
1446411941,4341631,0
1446438965,345,265
1446445617,137,163
1446489023,154,101
1446495377,146,128
1446571819,60,25
1446575425,140,270
1446586646,131258,189
1446673986,56,37
1446708627,290,316
1446732627,80,58
1446732635,237,437
1446753647,23,25
1446795025,187,166
1446839648,422,392
1446853915,319,150
1446881430,144,189
1446936341,4125,57
1446967828,293,372
1447001221,40,40
1447040591,215,205
1447054224,148,126
1447082866,155,135
1447091992,26,20
1447124568,311,218
1447140630,147,136
1447153218,161,119
1447165664,244,42
1447198030,30,29
1447206896,285,473
1447227024,155,121
1447249539,84,87
1447286148,65528,0
1447313424,134,150
1447362634,248,292
1447399827,162,144
1447443920,117,95
1447486225,643,497
1447511893,203,186
1447518923,68,73
1447552665,34,34
1447572624,142,185
1447603209,414,287
1447635336,214008,0
1447659025,104,194
1447687901,59,35
1447745424,317,331
1447775063,239,298
1447787352,38,44
1447810060,12288,0
1447831824,100,120
1447850667,109,76
1447918224,133,165
1448004623,894,598
1448038770,190,29
1448071874,2897,283
1448089782,16,188
1448126483,176,169
1448159354,1310654,0
1448175624,89,178
1448246734,458900,38
1448262023,43,158
1448300713,178,32
1448331054,101,73
1448334034,16384,0
1448348587,94,130
1448381840,156,74
1448421543,41282,250
1448434822,71,152
1448447246,164,141
1448475115,182,112
1448521222,83,115
1448554641,99,64
1448607622,86,159
1448694022,80,116
1448737849,189,141
1448780422,108,123
1448866822,404,481
1448899399,444,470
1448901368,96,47
1448953226,306,199
1449039623,141,15
1449075244,169,103
1449126024,120,45
1449148422,66,49
1449160577,278,250
1449207501,32692,0
1449212422,117,72
1449241245,447,345
1449241251,30,39
1449261563,188,149
1449298831,92,79
1449331561,223,231
1449364577,34,23
1449385221,80,76
1449471623,154,185
1449536522,112,98
1449558054,127,80
1449581308,460,463
1449644423,126,130
1449681142,120,69
1449730822,113,84
1449749354,171,150
1449760878,574,589
1449820822,348,434
1449845678,94,76
1449876313,292,249
1449907223,87,123
1449926843,192,412
1449993623,79,112
1450019241,64,69
1450080022,97,101
1450166428,231,146
1450189642,330,369
1450196766,66,39
1450224990,214,214
1450252823,131,78
1450311243,235,203
1450339223,124,97
1450358874,86,52
1450368597,133,68
1450368607,244,205
1450425623,122,120
1450434448,2048,0
1450437618,47,79
1450512024,87,101
1450536492,349,435
1450598423,64,110
1450684823,343,294
1450717610,64,91
1450724886,272,228
1450771225,245,147
1450805626,234,244
1450886287,213,200
1450900826,169,132
1450958451,8185,0
1450987226,110,112
1451041759,145,173
1451080833,243,211
1451174423,115,120
1451260839,630,544
1451323488,75,46
1451339856,197,173
1451347224,135,99
1451347540,157,230
1451433624,142,74
1451492891,82,93
1451520025,117,112
1451520398,255,213
1451531050,135,130
1451583762,179,197
1451606425,131,85
1451692836,107,148
1451710227,216,204
1451779226,109,69
1451865625,95,113
1451920765,81918,0
1451952040,294,243
1452014892,278,328
1452038426,162,114
1452103755,112,83
1452108261,267,266
1452124825,197,113
1452188721,222,145
1452211226,470,374
1452214086,31,43
1452278865,74,74
1452297630,123,151
1452362594,358,311
1452367665,43,25
1452384024,121,121
1452428319,118,157
1452453983,218,228
1452470440,75,111
1452490071,32767,0
1452532702,66,36
1452556823,358,296
1452643223,155,106
1452712150,153,105
1452729627,130,91
1452816023,119,141
1452902425,124,163
1452908088,324,361
1452971022,77,91
1452988824,122,205
1453075224,117,262
1453101139,8192,0
1453161625,249,238
1453231213,329,332
1453245256,307,316
1453248029,148,123
1453319056,29,41
1453320520,271,189
1453334428,158,68
1453355631,211,173
1453420825,408,386
1453449718,4155,88
1453507227,534,466
1453515470,179,218
1453537184,32762,0
1453575096,103,88
1453593626,144,137
1453624378,8363,153
1453659163,217,185
1453680025,114,125
1453728968,191,127
1453741855,196,393
1453766430,209,195
1453827365,362,316
1453852827,151,112
1453858666,116,85
1453939225,382,357
1454022492,333,262
1454025625,469,386
1454070215,227,299
1454087507,123,66
1454087511,39,56
1454112025,136,145
1454134241,182,205
1454198427,121,156
1454265819,271,214
1454284825,132,124
1454321568,106480,0
1454351216,199,227
1454371231,171,129
1454432652,118,84
1454457660,549,419
1454495788,32768,0
1454513210,240,273
1454544029,174,113
1454572255,506,285
1454630426,108,119
1454687941,335,324
1454716829,130,158
1454763497,380,293
1454803227,296,387
1454889626,93,110
1454936317,308,240
1454976028,110,127
1455018495,206046,53
1455029973,459,395
1455030613,39,32
1455062627,205,169
1455114969,269,303
1455148827,106,123
1455196521,440,372
1455211645,115,6
1455232217,203,197
1455235226,104,151
1455292400,126,82
