DateTime,Entries,UniqueIPs
1457818496,3846,3846
1457905692,3844,3844
1457992819,3842,3842
1458079939,3850,3850
1458167096,3850,3850
1458254209,3854,3854
1458341300,3856,3856
1458428433,3860,3860
1458515822,3860,3860
1458602925,3859,3859
1458690022,3858,3858
1458777160,3861,3861
1458864252,3866,3866
1458951396,3873,3873
1459038537,3879,3879
1459125622,3874,3874
1459212770,3877,3877
1459300117,3893,3893
1459387253,3914,3914
1459474421,3918,3918
1459561473,3922,3922
1459648591,3925,3925
1459735722,3926,3926
1459823068,3929,3929
1459910196,3916,3916
1459997303,3916,3916
1460084443,3922,3922
1460171560,3920,3920
1460258699,3920,3920
1460345839,3920,3920
1460432919,3932,3932
1460520090,3934,3934
1460607172,3934,3934
1460694259,3935,3935
1460781415,3934,3934
1460868595,3932,3932
1460955653,3930,3930
1461042654,3932,3932
1461129846,3937,3937
