DateTime,Entries,UniqueIPs
1459698268,2904,2904
1459700198,2901,2901
1459702123,2952,2952
1459704052,2976,2976
1459705995,2993,2993
1459707871,2990,2990
1459709807,3002,3002
1459711970,3018,3018
1459713885,3027,3027
1459715810,3036,3036
1459717726,3056,3056
1459719638,3066,3066
1459721800,3067,3067
1459723714,3060,3060
1459725636,3035,3035
1459727555,2971,2971
1459729466,886,886
1459731452,864,864
1459733303,1967,1967
1459735273,1964,1964
1459737162,2001,2001
1459739082,2004,2004
1459740922,2137,2137
1459742821,2206,2206
1459744857,2339,2339
1459747042,2355,2355
1459748959,2366,2366
1459750862,2384,2384
1459752788,2417,2417
1459754828,2418,2418
1459756847,2443,2443
1459758790,2434,2434
1459760702,2454,2454
1459762652,2460,2460
1459764542,2456,2456
1459768396,2456,2456
1459770276,2435,2435
1459772210,2455,2455
1459774134,2462,2462
1459776183,3200,3200
1459778196,3191,3191
1459780175,3194,3194
1459782550,3179,3179
1459784605,3152,3152
1459786596,3150,3150
1459788524,3166,3166
1459790441,3147,3147
1459792491,3160,3160
1459794523,3159,3159
1459796459,3154,3154
1459798381,3153,3153
1459800318,3152,3152
1459802207,3146,3146
1459804149,3145,3145
1459806040,3144,3144
1459807978,3129,3129
1459809869,3114,3114
1459811806,3097,3097
1459813723,3073,3073
1459815669,797,797
1459817563,774,774
1459819477,2265,2265
1459821397,2329,2329
1459823328,2341,2341
1459825282,2370,2370
1459827174,2361,2361
1459829108,2341,2341
1459831008,2355,2355
1459832959,2357,2357
1459834857,2185,2185
1459837015,2153,2153
1459838921,2027,2027
1459840840,2025,2025
1459842765,2045,2045
1459844668,2045,2045
1459847145,2048,2048
1459849045,2041,2041
1459851014,2056,2056
1459852892,2040,2040
1459854789,2044,2044
1459856707,2047,2047
1459858878,2048,2048
1459860779,2038,2038
1459862694,3104,3104
1459864646,3102,3102
1459866824,3094,3094
1459868660,3110,3110
1459870661,3092,3092
1459872817,3080,3080
1459874659,3114,3114
1459876577,3099,3099
1459878503,2946,2946
1459880461,2890,2890
1459882362,2808,2808
1459884266,2863,2863
1459886197,2913,2913
1459888171,2958,2958
1459890061,2971,2971
1459891964,2969,2969
1459893873,2957,2957
1459896038,2954,2954
1459898212,2946,2946
1459900127,2946,2946
1459902302,1062,1062
1459904229,1048,1048
1459906250,2243,2243
1459908273,2265,2265
1459910190,2293,2293
1459912126,2267,2267
1459914305,2149,2149
1459916206,2121,2121
1459918115,2102,2102
1459920044,2103,2103
1459921951,2101,2101
1459923865,2105,2105
1459925827,2116,2116
1459927758,2123,2123
1459929684,2136,2136
1459931581,2134,2134
1459933516,2119,2119
1459935427,2081,2081
1459937356,2052,2052
1459939256,2037,2037
1459941176,2024,2024
1459943082,2034,2034
1459945032,2051,2051
1459946953,2044,2044
1459948870,2932,2932
1459950786,2935,2935
1459952694,2951,2951
1459954625,2958,2958
1459956571,2945,2945
1459958545,2875,2875
1459960642,2860,2860
1459962582,2841,2841
1459964468,2817,2817
1459966378,2803,2803
1459968299,2785,2785
1459970492,2761,2761
1459972540,2820,2820
1459974532,2946,2946
1459976473,3245,3245
1459978380,3438,3438
1459980390,3567,3567
1459982228,3773,3773
1459984156,3900,3900
1459986179,3985,3985
1459987982,2135,2135
1459989868,2140,2140
1459991810,3135,3135
1459993718,3241,3241
1459995658,3306,3306
1459997562,3463,3463
1459999729,3483,3483
1460001658,3535,3535
1460003580,3711,3711
1460007530,3823,3823
1460009602,3973,3973
1460011766,4073,4073
1460013642,4120,4120
1460015560,4129,4129
1460017482,4162,4162
1460019393,4180,4180
1460021320,4234,4234
1460023234,4297,4297
1460025168,4350,4350
1460027082,4440,4440
1460030930,4612,4612
1460032838,4594,4594
1460034794,5194,5194
1460036669,5198,5198
1460038604,5198,5198
1460041275,5209,5209
1460043174,5234,5234
1460045096,5264,5264
1460047005,5308,5308
1460050842,5334,5334
1460052779,5348,5348
1460054670,5355,5355
1460056605,5375,5375
1460058520,5379,5379
1460060442,5391,5391
1460062352,5390,5390
1460064299,5390,5390
1460066200,5390,5390
1460068136,5394,5394
1460070093,5408,5408
1460071963,5409,5409
1460073878,1335,1335
1460077988,3926,3926
1460079865,3841,3841
1460081820,3804,3804
1460083719,3775,3775
1460085654,3722,3722
1460087566,3614,3614
1460089468,3527,3527
1460091405,3471,3471
1460093316,3388,3388
1460095264,3309,3309
1460097165,3152,3152
1460101267,3059,3059
1460103174,2950,2950
1460105084,2893,2893
1460107012,2821,2821
1460108939,2787,2787
1460110851,2747,2747
1460112786,2700,2700
1460114687,2625,2625
1460116613,2590,2590
1460118515,2546,2546
1460120532,2482,2482
1460122390,4712,4712
1460124343,4595,4595
1460126238,4494,4494
1460128194,4415,4415
1460130072,4309,4309
1460132241,4185,4185
1460134150,4120,4120
1460136061,4038,4038
1460137987,3973,3973
1460139894,3954,3954
1460141955,3859,3859
1460143985,3826,3826
1460145929,3796,3796
1460147830,3722,3722
1460149765,3691,3691
1460151679,3659,3659
1460153608,3629,3629
1460155501,3609,3609
1460157444,3551,3551
1460159350,3512,3512
1460161279,1101,1101
1460163264,1101,1101
1460165094,2303,2303
1460167025,2322,2322
1460168947,2361,2361
1460170873,2318,2318
1460172790,2306,2306
1460174695,2206,2206
1460176881,2206,2206
1460178846,2229,2229
1460180834,2274,2274
1460182855,2300,2300
1460184859,2324,2324
1460186686,2362,2362
1460188613,2422,2422
1460190535,2483,2483
1460192502,2511,2511
1460194399,2512,2512
1460196307,2514,2514
1460198890,2530,2530
1460200841,2555,2555
1460202755,2561,2561
1460204675,2597,2597
1460206601,2596,2596
1460208523,3439,3439
1460210779,3479,3479
1460212585,3463,3463
1460214511,3445,3445
1460216431,3390,3390
1460218361,3351,3351
1460220341,3385,3385
1460222215,3385,3385
1460224155,3423,3423
1460226061,3442,3442
1460228004,3426,3426
1460229881,3430,3430
1460231805,3435,3435
1460233724,3425,3425
1460235696,3434,3434
1460237583,3393,3393
1460241407,3401,3401
1460243343,3374,3374
1460245245,3362,3362
1460247199,1002,1002
1460249080,969,969
1460251048,2363,2363
1460252936,2399,2399
1460254877,2416,2416
1460256779,2418,2418
1460258680,2413,2413
1460260607,2384,2384
1460262525,2344,2344
1460264495,2375,2375
1460266394,2387,2387
1460268280,2419,2419
1460270211,2402,2402
1460272134,2431,2431
1460274296,2420,2420
1460276632,2416,2416
1460278597,2396,2396
1460280516,2406,2406
1460282461,2384,2384
1460284373,2338,2338
1460287562,2349,2349
1460289420,2385,2385
1460291355,2391,2391
1460293296,2359,2359
1460295211,3260,3260
1460297100,3255,3255
1460299038,3274,3274
1460300962,3264,3264
1460302877,3255,3255
1460304807,3252,3252
1460306713,3279,3279
1460308628,3279,3279
1460310557,3266,3266
1460312477,3251,3251
1460314395,3235,3235
1460316318,3224,3224
1460318248,3221,3221
1460320190,3220,3220
1460322120,3198,3198
1460324144,3188,3188
1460326144,3081,3081
1460328054,3070,3070
1460329991,3052,3052
1460331894,3051,3051
1460333952,913,913
1460336039,864,864
1460338249,2100,2100
1460340080,2113,2113
1460342017,2144,2144
1460343896,2136,2136
1460345837,2124,2124
1460348035,2010,2010
1460350073,2038,2038
1460352110,2049,2049
1460354127,2071,2071
1460356134,2076,2076
1460358082,2094,2094
1460360047,2154,2154
1460361978,2144,2144
1460363845,2153,2153
1460365797,2145,2145
1460367720,2159,2159
1460369596,2148,2148
1460371498,2129,2129
1460373506,2127,2127
1460375392,2108,2108
1460377323,2091,2091
1460379202,2066,2066
1460381340,2919,2919
1460383281,2916,2916
1460385213,2920,2920
1460387100,2923,2923
1460389178,2907,2907
1460391212,2870,2870
1460393094,2863,2863
1460395034,2862,2862
1460396967,2874,2874
1460398848,2876,2876
1460400768,2881,2881
1460402692,2900,2900
1460404644,2882,2882
1460406557,2870,2870
1460410587,2832,2832
1460412506,2832,2832
1460414427,2835,2835
1460416292,2814,2814
1460418296,2795,2795
1460427512,2020,2020
1460444701,2009,2009
1460455720,1950,1950
1460457642,1958,1958
1460459559,1956,1956
1460467783,2746,2746
1460471757,2929,2929
1460473734,2982,2982
1460477677,3029,3029
1460479734,3059,3059
1460481902,3104,3104
1460484768,3188,3188
1460488888,3168,3168
1460491710,3429,3429
1460502510,4334,4334
1460505375,4423,4423
1460507301,2618,2618
1460509258,2642,2642
1460513098,3858,3858
1460515013,3917,3917
1460522666,4160,4160
1460524587,4204,4204
1460526508,4230,4230
1460528440,4296,4296
1460533252,4496,4496
1460536397,4649,4649
1460538276,4854,4854
1460541162,4929,4929
1460544031,5014,5014
1460546221,5020,5020
1460548107,5065,5065
1460550309,5160,5160
1460557957,5831,5831
1460560863,5841,5841
1460575467,6023,6023
1460578364,6026,6026
1460580818,6029,6029
1460585567,6040,6040
1460608582,3868,3868
1460615588,3832,3832
1460617484,3779,3779
1460619431,3739,3739
1460625188,3840,3840
1460628097,3812,3812
1460630953,3681,3681
1460638635,3416,3416
1460642676,5131,5131
1460646120,5090,5090
1460652133,4968,4968
1460655149,4935,4935
1460657061,4863,4863
1460664984,4770,4770
1460667880,4709,4709
1460671784,4599,4599
1460677701,4398,4398
1460682761,2875,2875
1460684654,2882,2882
1460686578,2878,2878
1460688536,2871,2871
1460690680,2887,2887
1460693561,2946,2946
1460695452,3008,3008
1460698833,2912,2912
1460700772,2764,2764
1460702659,2885,2885
1460705567,3023,3023
1460713455,3178,3178
1460715415,3190,3190
1460717321,3149,3149
1460720177,3104,3104
1460722144,3092,3092
1460724041,3097,3097
1460725959,4259,4259
1460727863,4282,4282
1460731707,4415,4415
1460740359,4314,4314
1460742520,4249,4249
1460753572,4050,4050
1460757413,4006,4006
1460759335,3994,3994
1460761265,3964,3964
1460763183,3949,3949
1460769861,2935,2935
1460771791,2942,2942
1460773715,2952,2952
1460776836,2964,2964
1460778769,2942,2942
1460782587,3061,3061
1460786450,3033,3033
1460789777,3006,3006
1460791697,2958,2958
1460793628,2949,2949
1460795549,2931,2931
1460797472,2836,2836
1460799384,2812,2812
1460801819,2835,2835
1460803714,2849,2849
1460806620,2738,2738
1460808589,2710,2710
1460810469,2691,2691
1460814500,3860,3860
1460819555,3853,3853
1460823185,3824,3824
1460827234,3825,3825
1460829152,3771,3771
1460832984,3726,3726
1460834912,3712,3712
1460836842,3691,3691
1460838761,3704,3704
1460850508,3380,3380
1460857231,2196,2196
1460864906,2188,2188
1460871866,2131,2131
1460879548,1910,1910
1460887266,2024,2024
1460890182,2110,2110
1460895381,2118,2118
1460898518,2083,2083
1460900428,3140,3140
1460907161,3120,3120
1460911236,3130,3130
1460913158,3131,3131
1460915058,3101,3101
1460919851,2993,2993
1460921781,3050,3050
1460924681,3108,3108
1460927558,3108,3108
1460931407,3191,3191
1460935216,3223,3223
1460937137,3185,3185
1460949378,2344,2344
1460951303,2312,2312
1460954191,2310,2310
1460956106,2315,2315
1460960042,2343,2343
1461137294,2096,2096
1461171480,2992,2992
1461179064,2972,2972
1461180980,2964,2964
