DateTime,AddedIPs,RemovedIPs
1448975917,5,0
1449005902,1,0
1449020724,2,0
1449065374,2,0
1449086255,1,0
1449100841,1,0
1449115762,1,0
1449160593,3,0
1449175168,2,0
1449219622,3,0
1449294446,1,0
1449309248,1,0
1449338963,1,0
1449401790,2,0
1449431657,2,0
1449446429,1,0
1449491238,1,0
1449506190,1,0
1449536066,6,0
1449568462,6,0
1449583216,3,0
1449598408,1,0
1449614369,4,0
1449658840,1,0
1449673763,2,0
1449688755,9,0
1449703642,2,0
1449720064,2,0
1449734960,1,0
1449749674,4,0
1449779808,2,0
1449794731,1,0
1449824433,1,0
1449839359,3,0
1449922172,2,0
1449937191,1,0
1449952071,1,0
1449967612,1,0
1449982453,1,0
1450012159,1,0
1450042580,2,0
1450057516,2,0
1450087213,1,0
1450102166,2,0
1450132038,1,0
1450146985,1,0
1450192171,1,0
1450285235,1,0
1450300170,3,0
1450346416,1,0
1450469640,1,0
1450484324,1,0
1450499239,1,0
1450547203,2,0
1450562056,2,0
1450576820,1,0
1450591763,2,0
1450606711,1,0
1450621644,1,0
1450636589,1,0
1450651516,2,0
1450666460,1,0
1450681224,1,0
1450696326,1,0
1450756828,2,0
1450801653,1,0
1450832057,4,0
1450847971,3,0
1450862843,1,0
1450877798,1,0
1450892747,1,0
1450907687,2,0
1450922435,1,0
1450937370,3,0
1450952326,1,0
1450967261,3,0
1450982179,2,0
1451012053,2,0
1451026844,1,0
1451041766,1,0
1451071638,1,0
1451086618,1,0
1451117563,1,0
1451133986,1,0
1451155614,3,0
1451175028,3,0
1451247568,2,0
1451277412,1,0
1451292403,1,0
1451321649,1,0
1451357127,4,0
1451386832,1,0
1451431245,1,0
1451446071,1,0
1451460993,1,0
1451475926,1,0
1451490625,1,0
1451520016,2,0
1451549904,2,0
1451564834,2,0
1451639370,1,0
1451654310,2,0
1451669251,1,0
1451699187,3,0
1451728815,2,0
1451759871,1,0
1451804066,1,0
1451818814,1,0
1451833782,2,0
1451863259,1,0
1451878047,1,0
1451892982,1,0
1451907923,1,0
1451922857,4,0
1451937512,1,0
1451981940,1,0
1451996837,1,0
1452026734,2,0
1452041659,2,0
1452056424,1,0
1452086319,1,0
1452116184,2,0
1452160459,1,0
1452191843,1,0
1452206717,1,0
1452236430,1,0
1452278906,1,0
1452293678,1,0
1452308414,2,0
1452323558,1,0
1452353246,1,0
1452413364,1,0
1452443274,1,0
1452458193,2,0
1452547646,3,0
1452562585,1,0
1452592623,1,0
1452607218,4,0
1452637111,1,0
1452652041,1,0
1452666992,1,0
1452681921,1,0
1452711659,1,0
1452816022,1,0
1452830968,2,0
1452860861,1,0
1452949961,1,0
1452980186,4,0
1452995134,1,0
1453010066,1,0
1453024817,2,0
1453113369,1,0
1453128272,1,0
1453186815,1,0
1453201969,1,0
1453216569,2,0
1453245872,3,0
1453260491,2,0
1453275150,1,0
1453289769,1,0
1453304415,1,0
1453348332,2,0
1453377608,1,0
1453450807,2,0
1453465450,2,0
1453480097,5,0
1453494743,1,0
1453509373,2,0
1453524023,1,0
1453553297,1,0
1453567931,3,0
1453597216,1,0
1453611852,1,0
1453626498,2,0
1453641147,2,0
1453655768,1,0
1453670410,1,0
1453699699,1,0
1453728971,1,0
1453743639,1,0
1453758252,1,0
1453816840,2,0
1453860732,2,0
1453890008,1,0
1453919286,2,0
1453933940,2,0
1453948494,5,0
1453963215,1,0
1454109613,1,0
1454168189,2,0
1454182804,1,0
1454197453,1,0
1454256040,1,0
1454270649,2,0
1454300047,2,0
1454344093,1,0
1454358740,1,0
1454373370,2,0
1454388011,2,0
1454417321,2,0
1454447255,2,0
1454476808,2,0
1454520770,1,0
1454535370,1,0
1454550027,1,0
1454564650,2,0
1454608569,1,0
1454637852,2,0
1454667128,1,0
1454696431,1,0
1454711049,2,0
1454725686,2,0
1454740335,1,0
1454769725,2,0
1454784265,1,0
1454798893,2,0
1454828420,2,0
1454843053,9,0
1454857705,1,0
1454886980,4,0
1454901605,1,0
1454930889,1,0
1454945539,3,0
1454960167,2,0
1454974804,1,0
1454989451,1,0
1455033367,1,0
1455048020,1,0
1455077298,3,0
