DateTime,AddedIPs,RemovedIPs
1447159908,1647,1621
1447533737,1876,1900
1447894948,1992,1901
1448102552,1293,1270
1448734508,1593,1516
1449062047,1793,1792
1449147814,1086,1175
1449177702,1216,1129
1449261458,1093,1111
1449364991,1274,1331
1449589393,1773,1681
1449723174,1282,1407
1449843403,1261,1328
1450035473,1337,1250
1450105767,1100,1052
1450315057,1916,1896
1450486483,1734,1783
1451509222,1998,2070
1451924829,1432,1447
1452566623,2093,2064
1453220219,2065,1964
1453319981,1676,1391
1453564411,2147,2058
1453664564,1825,1736
1453993111,2434,2222
1454506887,1987,2303
1454702378,1935,1655
1455038757,2378,1943
1455207198,1850,1912
1455811844,2171,2451
1455833473,1369,1346
1456024893,1705,1754
1456179992,1675,1340
1456319230,1428,1852
1456452179,1894,1431
1456741489,1542,2133
1457059987,2187,1660
1457381040,1619,2171
1457688258,2299,1745
1457808118,1453,1619
1457975961,1434,1426
1457995946,1481,1731
1458312009,1841,1574
1458591675,1696,1799
1458697112,1391,1616
1458932520,1847,1492
1459012299,1388,1500
1459617383,2446,2274
1459771716,2238,1860
1460098909,1977,2359
1460398146,2202,1934
1460653425,1832,2101
