DateTime,Entries,UniqueIPs
1446857445,15380,15380
1447159908,15406,15406
1447533737,15382,15382
1447894948,15473,15473
1448102552,15496,15496
1448734508,15573,15573
1449062047,15574,15574
1449147814,15485,15485
1449177702,15572,15572
1449261458,15554,15554
1449364991,15497,15497
1449589393,15589,15589
1449723174,15464,15464
1449843403,15397,15397
1450035473,15484,15484
1450105767,15532,15532
1450315057,15552,15552
1450486483,15503,15503
1451509222,15431,15431
1451924829,15416,15416
1452566623,15445,15445
1453220219,15546,15546
1453319981,15831,15831
1453564411,15920,15920
1453664564,16009,16009
1453993111,16221,16221
1454506887,15905,15905
1454702378,16185,16185
1455038757,16620,16620
1455207198,16558,16558
1455811844,16278,16278
1455833473,16301,16301
1456024893,16252,16252
1456179992,16587,16587
1456319230,16163,16163
1456452179,16626,16626
1456741489,16035,16035
1457059987,16562,16562
1457381040,16010,16010
1457688258,16564,16564
1457808118,16398,16398
1457975961,16406,16406
1457995946,16156,16156
1458312009,16423,16423
1458591675,16320,16320
1458697112,16095,16095
1458932520,16450,16450
1459012299,16338,16338
1459617383,16510,16510
1459771716,16888,16888
1460098909,16506,16506
1460398146,16774,16774
1460653425,16505,16505
