DateTime,AddedIPs,RemovedIPs
1447124568,415,332
1447206896,698,652
1447362634,391,425
1447425829,398,386
1447511893,571,568
1447518944,320,318
1447687867,312,295
1447775063,300,331
1447880741,815,805
1448038804,427,334
1448126483,239,244
1448358264,492,425
1448719178,444,493
1448846001,544,572
1448899378,278,272
1449145871,410,363
1449178144,238,338
1449261563,296,257
1449331561,308,282
1449581308,620,617
1449723969,686,683
1449791429,309,354
1449876313,430,374
1449926843,593,618
1450147960,422,435
1450224990,320,321
1450311243,358,328
1450368607,650,623
1450536492,607,691
1450560129,360,328
1450724886,431,356
1450805626,289,319
1450886287,347,317
1451159598,491,457
1451339856,344,330
1451347540,518,609
1451515195,366,301
1451583762,294,305
1451710227,325,313
1451948544,344,357
1452108261,382,410
1452125266,336,341
1452283636,394,352
1452453983,335,347
1452480368,538,569
1452908088,756,771
1453158395,870,742
1453245256,360,480
1453320520,619,562
1453397627,483,382
1453436078,699,663
1453515470,520,400
1453575102,389,372
1453659163,431,555
1453741855,398,604
1453827365,614,435
1453855544,560,520
1453937946,491,575
1453995688,564,478
1454070215,497,469
1454134241,560,418
1454192501,509,502
1454265819,386,538
1454351216,444,381
1454430472,483,547
1454513210,352,419
1454572255,574,414
1454632471,450,399
1454714168,486,493
1454720535,372,363
1454856202,441,336
1454936317,462,491
1454975439,487,493
1455062627,548,376
1455147875,441,589
1455232217,434,383
1455317215,396,439
1455662721,729,756
1455728635,443,381
1455809832,470,455
1455843814,476,459
1455905195,589,453
1456163056,575,530
1456247557,433,461
1456334615,457,477
1456421462,504,610
1456506987,452,443
1456588086,326,349
1456743603,454,426
1456796994,396,394
1456878535,390,448
1456943222,382,423
1457105621,602,517
1457445773,464,483
1457474174,430,400
1457552766,363,340
1457632614,499,425
1457712117,515,603
1457795472,469,598
1457809255,337,401
1457972458,506,427
1458055218,689,698
1458138032,440,428
1458145475,389,432
1458230960,307,273
1458235145,426,416
1458321302,298,290
1458394630,373,384
1458652913,476,496
1458736876,547,451
1458763077,515,504
1458847807,413,415
1458922062,495,479
1459056125,874,698
1459196445,588,613
1459283392,649,467
1459363321,587,555
1459441523,545,637
1459525261,829,533
1459535684,479,654
1459671842,519,476
1459826008,833,871
1459851017,601,821
1459952687,757,731
1460110678,708,508
1460132013,426,498
1460205693,390,395
1460379236,554,479
1460398381,464,473
1460476852,359,343
1460563204,494,474
1460648064,500,448
1460735024,422,459
1460799387,434,418
1460910131,488,507
1460993175,363,311
1461079399,488,485
1461166467,899,983
