DateTime,Entries,UniqueIPs
1447040591,16657,16657
1447124568,16740,16740
1447206896,16786,16786
1447362634,16752,16752
1447425829,16764,16764
1447511893,16767,16767
1447518944,16769,16769
1447687867,16786,16786
1447775063,16755,16755
1447880741,16765,16765
1448038804,16858,16858
1448126483,16853,16853
1448358264,16920,16920
1448719178,16871,16871
1448846001,16843,16843
1448899378,16849,16849
1449145871,16896,16896
1449178144,16796,16796
1449261563,16835,16835
1449331561,16861,16861
1449581308,16864,16864
1449723969,16867,16867
1449791429,16822,16822
1449876313,16878,16878
1449926843,16853,16853
1450147960,16840,16840
1450224990,16839,16839
1450311243,16869,16869
1450368607,16896,16896
1450536492,16812,16812
1450560129,16844,16844
1450724886,16919,16919
1450805626,16889,16889
1450886287,16919,16919
1451159598,16953,16953
1451339856,16967,16967
1451347540,16876,16876
1451515195,16941,16941
1451583762,16930,16930
1451710227,16942,16942
1451948544,16929,16929
1452108261,16901,16901
1452125266,16896,16896
1452283636,16938,16938
1452453983,16926,16926
1452480368,16895,16895
1452908088,16880,16880
1453158395,17008,17008
1453245256,16888,16888
1453320520,16945,16945
1453397627,17046,17046
1453436078,17082,17082
1453515470,17202,17202
1453575102,17219,17219
1453659163,17095,17095
1453741855,16889,16889
1453827365,17068,17068
1453855544,17108,17108
1453937946,17024,17024
1453995688,17110,17110
1454070215,17138,17138
1454134241,17280,17280
1454192501,17287,17287
1454265819,17135,17135
1454351216,17198,17198
1454430472,17134,17134
1454513210,17067,17067
1454572255,17227,17227
1454632471,17278,17278
1454714168,17271,17271
1454720535,17280,17280
1454856202,17385,17385
1454936317,17356,17356
1454975439,17350,17350
1455062627,17522,17522
1455147875,17374,17374
1455232217,17425,17425
1455317215,17382,17382
1455662721,17355,17355
1455728635,17417,17417
1455809832,17432,17432
1455843814,17449,17449
1455905195,17585,17585
1456163056,17630,17630
1456247557,17602,17602
1456334615,17582,17582
1456421462,17476,17476
1456506987,17485,17485
1456588086,17462,17462
1456743603,17490,17490
1456796994,17492,17492
1456878535,17434,17434
1456943222,17393,17393
1457105621,17478,17478
1457445773,17459,17459
1457474174,17489,17489
1457552766,17512,17512
1457632614,17586,17586
1457712117,17498,17498
1457795472,17369,17369
1457809255,17305,17305
1457972458,17384,17384
1458055218,17375,17375
1458138032,17387,17387
1458145475,17344,17344
1458230960,17378,17378
1458235145,17388,17388
1458321302,17396,17396
1458394630,17385,17385
1458652913,17365,17365
1458736876,17461,17461
1458763077,17472,17472
1458847807,17470,17470
1458922062,17486,17486
1459056125,17662,17662
1459196445,17637,17637
1459283392,17819,17819
1459363321,17851,17851
1459441523,17759,17759
1459525261,18055,18055
1459535684,17880,17880
1459671842,17923,17923
1459826008,17885,17885
1459851017,17665,17665
1459952687,17691,17691
1460110678,17891,17891
1460132013,17819,17819
1460205693,17814,17814
1460379236,17889,17889
1460398381,17880,17880
1460476852,17896,17896
1460563204,17916,17916
1460648064,17968,17968
1460735024,17931,17931
1460799387,17947,17947
1460910131,17928,17928
1460993175,17980,17980
1461079399,17983,17983
1461166467,17899,17899
