DateTime,Entries,UniqueIPs
1447001221,7013,7013
1447082866,7025,7025
1447165664,7316,7316
1447249539,7308,7308
1447359231,7335,7335
1447443228,7349,7349
1447518923,7357,7357
1447603209,7478,7478
1447687901,7506,7506
1447773903,7484,7484
1447850667,7480,7480
1447886544,7462,7462
1448026253,7456,7456
1448084058,7466,7466
1448149184,7483,7483
1448297163,7530,7530
1448380469,7511,7511
1448459889,7530,7530
1448473066,7509,7509
1448554641,7563,7563
1448726288,7521,7521
1448738250,7512,7512
1448899399,7495,7495
1449062043,7504,7504
1449148422,7510,7510
1449164569,7506,7506
1449241251,7502,7502
1449277187,7477,7477
1449364577,7502,7502
1449520181,7518,7518
1449583349,7490,7490
1449728974,7485,7485
1449760873,7466,7466
1449845678,7491,7491
1450019241,7475,7475
1450189642,7488,7488
1450358874,7507,7507
1450437618,7475,7475
1450486486,7485,7485
1450717614,7549,7549
1450786069,7544,7544
1451159602,7607,7607
1451323488,7625,7625
1451492891,7612,7612
1451509533,7623,7623
1451918758,7672,7672
1452014871,7706,7706
1452188721,7732,7732
1452276074,7728,7728
1452295801,7735,7735
1452367665,7758,7758
1452712150,7798,7798
1452971022,7795,7795
1453205753,7803,7803
1453355631,7822,7822
1453401265,7810,7810
1453575096,7835,7835
1453730378,7867,7867
1453858666,7909,7909
1453935869,7968,7968
1454087507,8022,8022
1454359139,8048,8048
1454417305,8096,8096
1454459742,8089,8089
1454512417,8128,8128
1454600097,8248,8248
1454763497,8276,8276
1454958848,8280,8280
1455030613,8272,8272
1455196521,8196,8196
1455222513,8170,8170
1455292425,8172,8172
1455381968,8169,8169
1455467826,8173,8173
1455554311,8201,8201
1455602448,8185,8185
1455642266,8187,8187
1455844654,8194,8194
1456030424,8208,8208
1456155895,8231,8231
1456264694,8203,8203
1456420164,8188,8188
1456475541,8167,8167
1456693896,8170,8170
1456760847,8175,8175
1456841706,8173,8173
1457077550,8136,8136
1457197039,8101,8101
1457294399,8096,8096
1457453139,8125,8125
1457471671,8118,8118
1457718310,8077,8077
1457975288,8096,8096
1458065160,8106,8106
1458307396,8085,8085
1458611861,8012,8012
1458661388,8018,8018
1459004026,8032,8032
1459056118,8027,8027
1459108789,8022,8022
1459173993,8034,8034
1459345599,8035,8035
1459480517,8030,8030
1459520507,8005,8005
1459696032,8013,8013
1459952697,7998,7998
1460013478,7998,7998
1460098898,8035,8035
1460272022,8006,8006
1460294124,8001,8001
1460633900,8037,8037
1460713484,8045,8045
1460799379,8080,8080
1460848694,8077,8077
1460893137,8103,8103
1461059071,8095,8095
1461153514,8140,8140
