DateTime,Entries,UniqueIPs
1446553102,984,984
1447082874,831,831
1447558385,801,801
1447687849,847,847
1447778675,845,845
1447880759,845,845
1448033590,885,885
1448354232,880,880
1448554656,883,883
1448726694,887,887
1449084543,900,900
1449233392,896,896
1449265706,887,887
1449583079,950,950
1450321077,1080,1080
1450785218,965,965
1451159593,980,980
1451302029,976,976
1451508964,998,998
1451916652,992,992
1452013373,1142,1142
1452187219,1185,1185
1452279304,1209,1209
1453399633,1210,1210
1453568820,1287,1287
1453729784,1285,1285
1453857565,1321,1321
1453932962,1430,1430
1454087682,1550,1550
1454341331,1540,1540
1454416678,1485,1485
1454690464,1527,1527
1454946072,1523,1523
1455196524,1534,1534
1455208929,1537,1537
1457973493,1511,1511
1458836910,1518,1518
1459005212,1518,1518
1459175640,1522,1522
1460117297,1515,1515
1460633748,1538,1538
1460713362,1545,1545
1461000366,1536,1536
1461073442,1537,1537
