DateTime,AddedIPs,RemovedIPs
1440357301,39,54
1440444847,44,50
1440531902,40,57
1440618923,40,47
1440705605,65,42
1440792622,173,49
1440879606,158,66
1440966623,81,39
1441053605,45,43
1441140689,61,33
1441227602,53,60
1441314610,56,90
1441401635,41,248
1441489419,38,74
1441576438,58,58
1441663201,38,53
1441750268,42,49
1441837263,54,49
1441924251,66,58
1442011244,62,56
1442098261,74,48
1442185202,37,33
1442272445,44,40
1442359914,72,46
1442447101,70,70
1442533857,72,55
1442620803,57,74
1442707825,54,42
1442881811,100,93
1442968838,41,55
1443055825,55,77
1443142802,156,62
1443230018,142,59
1443317058,61,58
1443404701,59,49
1443492001,49,47
1443579021,54,41
1443666015,52,61
1443753017,48,225
1443840022,48,69
1443927020,46,67
1444014002,59,44
1444101288,51,54
1444188091,50,55
1444275660,46,52
1444362738,51,47
1444449609,53,60
1444536644,60,56
1444623610,46,45
1444710641,49,52
1444797603,66,45
1444971603,126,98
1445058910,109,110
1445146206,59,36
1445320801,91,130
1445407203,131,64
1445494214,157,63
1445581206,75,58
1445668204,62,55
1445755271,59,47
1445842204,49,52
1445929205,52,54
1446016215,70,215
1446103218,84,108
1446190204,54,56
1446277237,55,59
1446451202,82,97
1446538224,59,70
1446625245,50,64
1446712203,48,51
1446799242,44,59
1446886235,41,41
1447060254,76,120
1447147202,58,45
1447321271,143,91
1447408254,61,48
1447495202,46,31
1447669457,118,95
1447756203,137,63
1447930687,256,138
1448104205,144,108
1448278208,143,117
1448365221,71,235
1448452218,54,85
1448539203,62,80
1448713201,187,134
1448800202,73,68
1448887522,57,77
1448974567,73,55
1449061202,66,92
1449235213,131,153
1449322208,56,95
1449409216,60,59
1449496216,55,63
1449670225,124,95
1449757801,75,68
1449845100,60,87
1449931802,49,58
1450105813,135,105
1450192816,151,61
1450279805,185,129
1450366829,80,70
1450453813,79,63
1450540803,56,70
1450628082,75,59
1450714807,68,63
1450801807,87,233
1450889101,94,63
1450975814,93,67
1451062804,72,58
1451149810,95,71
1451236804,85,80
1451323806,130,73
1451410802,129,74
1451497802,114,90
1451584802,215,59
1451672102,186,111
1451758826,102,77
1451845809,78,136
1451932830,80,127
1452019952,85,119
1452106802,110,109
1452193813,90,304
1452280813,82,99
1452367816,78,69
1452454821,65,69
1452541810,66,76
1452628801,174,120
1452715814,216,98
1452802846,98,104
1452889806,83,77
1452976848,65,70
1453150802,153,136
1453237825,84,237
1453324857,84,88
1453411807,83,93
1453498836,80,75
1453585834,101,71
1453672801,118,74
1453759203,87,87
1453933269,162,181
1454020207,88,74
1454107239,83,91
1454281205,153,205
1454368213,78,84
1454455221,74,127
1454542205,130,103
1454629222,77,66
1454716212,69,85
1454803202,67,74
1454890228,50,82
1454977289,74,68
1455064209,257,144
1455151385,377,86
1455238264,82,79
1455325202,105,70
1455499216,205,144
1455673229,168,570
1455847202,213,187
1455934215,78,121
1456021244,94,83
1456108208,70,67
1456195503,104,69
1456282775,70,103
1456543203,302,283
1456630207,92,81
1456804211,167,179
1456891201,105,100
1456978504,141,122
1457152202,84,86
1457239237,155,178
1457587212,591,459
1457935203,558,468
1458022215,129,181
1458109211,128,95
1458196209,139,97
1458283501,75,82
1458370219,85,76
1458457203,93,297
1458544369,73,114
1458631284,69,108
1458718203,99,174
1458805501,115,111
1458892789,68,73
1458979202,65,96
1459066370,64,80
1459153370,73,58
1459240203,62,64
1459327417,86,137
1459501202,211,141
1459588213,80,63
1459675382,137,77
1459849401,344,130
1459936794,90,147
1460023202,73,84
1460110502,83,76
1460284205,246,220
1460458271,334,348
1460545203,98,77
1460632502,105,71
1460806206,197,153
1460893501,89,266
1460980316,85,142
1461067204,94,117
1461154383,113,104
