DateTime,AddedIPs,RemovedIPs
1440355268,0,85
1440442202,0,2
1440703202,0,1
1440790202,0,1
1441138257,0,1
1441312202,0,2
1441399202,0,1
1441486213,0,3
1441573205,0,1
1441660203,0,1
1441747202,0,1
1441834205,0,2
1441921202,68,2
1442008202,53,1
1442095215,64,26
1442182202,38,0
1442269202,32,0
1442356258,23,0
1442443202,20,2
1442530202,43,4
1442617204,48,3
1442704202,52,1
1442878203,45,0
1442965201,4,0
1443052202,6,0
1443139204,2,0
1443226202,8,0
1443313265,5,0
1443400202,3,1
1443487202,1,0
1443574202,4,0
1443661202,3,0
1443748202,3,0
1443835206,4,0
1443922475,2,0
1444009202,5,3
1444096204,1,0
1444183207,2,0
1444531202,0,12
1444618202,0,29
1444705206,0,43
1444792202,0,47
1444966202,0,74
1445053202,0,17
1445140202,0,31
1445227204,0,45
1445401202,0,123
1445488202,0,4
1445575202,32,3
1445662202,1,5
1445749205,0,4
1445836202,0,7
1445923202,3,1
1446010202,0,2
1446097202,0,5
1446184202,0,7
1446271205,0,4
1446445202,0,14
1446595802,0,7
1446682802,0,8
1446769802,0,37
1447117803,18,8
1447204802,22,1
1447378802,62,1
1447465802,43,0
1447552802,36,0
1447726802,53,0
1447813808,26,0
1447987803,80,0
1448161803,31,4
1448335802,111,18
1448422803,44,0
1448509803,41,0
1448596806,28,0
1448770802,26,2
1448857803,9,0
1448944803,22,0
1449031803,31,0
1449118806,25,0
1449205805,41,0
1449292804,58,0
1449379804,37,0
1449466803,26,0
1449640807,69,2
1449727803,21,1
1449814802,22,15
1449901809,11,21
1450075803,20,57
1450162804,16,22
1450249821,42,25
1450336802,16,19
1450423803,16,34
1450510803,24,38
1450597803,30,4
1450684808,19,15
1450771803,24,45
1450858802,29,31
1450945803,20,34
1451032804,20,42
1451119803,33,30
1451206804,6,15
1451293804,12,8
1451380803,7,9
1451467803,20,16
1451554803,34,19
1451641803,39,32
1451728807,26,43
1451815802,8,28
1451902802,1,29
1451989803,9,35
1452076802,5,35
1452163803,5,41
1452250805,3,31
1452337803,3,25
1452424803,3,27
1452511802,3,13
1452598802,1,17
1452685802,9,13
1452772804,0,14
1452859802,6,20
1452946803,3,22
1453120802,12,56
1453207840,3,23
1453294802,0,24
1453381802,4,23
1453468803,7,43
1453555807,2,20
1453642802,9,43
1453729802,2,24
1453903802,1,19
1453990802,3,15
1454077802,1,15
1454251802,6,83
1454338807,3,49
1454425802,0,3
1454512801,0,4
1454599803,0,3
1454686803,0,4
1454773802,0,4
1454860806,0,5
1454947802,0,5
1455034803,0,6
1455121802,0,4
1455208802,0,4
1455295803,0,5
1455469803,0,10
1455643802,0,8
1455817802,0,5
1455904803,0,6
1455991802,0,11
1456078802,0,9
1456165802,0,3
1456252802,0,3
1456513803,0,17
1456600802,0,8
1456781403,0,9
1456955402,0,39
1457129402,0,26
1457564405,104,1
1457651403,21,0
1457999402,51,0
1458086404,12,0
1458173402,9,0
1458260402,2,0
1458347402,21,0
1458434402,15,1
1458521406,17,0
1458608402,9,0
1458695402,7,0
1458782402,8,0
1458869402,5,2
1458956402,7,0
1459043402,15,0
1459130406,14,0
1459217402,18,0
1459304402,12,0
1459391402,4,0
1459565416,11,0
1459652403,23,0
1459739402,20,0
1459913403,94,18
1460000402,7,14
1460087403,2,5
1460174405,2,20
1460348402,3,28
1460522402,7,26
1460609402,1,6
1460696411,3,14
1460783402,3,22
1460870401,0,8
1460957405,1,16
1461044405,0,14
