DateTime,Entries,UniqueIPs
1440268203,671,21173248
1440442222,673,21304320
1440529203,674,21305344
1440616225,674,21305344
1440790202,678,21567488
1440964327,679,21633024
1441051203,678,21632768
1441225218,679,21633792
1441399214,688,22289152
1441486206,694,22682368
1441573205,696,22752000
1441660206,694,22751232
1441747206,695,22816768
1441834203,694,22816256
1441921265,696,22882816
1442356205,697,22948352
1442530209,700,22950144
1442530209,700,22950144
1442617204,701,23015680
1442704243,704,23053568
1442878202,710,23252736
1442965217,708,23252224
1443052281,712,23392512
1443139202,714,23398144
1443226231,715,23403264
1443313259,717,23534336
1443487216,716,23530240
1443748284,713,23496960
1443835258,715,23628032
1443922261,716,23628288
1444009541,714,23689728
1444096313,713,23624192
1444270204,713,23625216
1444357206,714,23694592
1444444204,716,23696640
1444531219,715,23631104
1444792322,714,23630848
1444966203,712,23957248
1445053213,711,23891712
1445140528,710,23826176
1445575260,709,23760640
1445923483,711,23762688
1446010204,712,40539904
1446097328,685,22608384
1446184550,685,22608384
1446271202,684,22604288
1446445496,685,22604544
1446532202,683,22583552
1446706387,682,22518016
1446880203,683,22522112
1447054202,682,22521856
1447315202,681,22521344
1447489242,678,22515968
1447924253,677,22515456
1448098202,676,22515200
1448272215,682,22536704
1448533240,680,22535424
1448707245,682,22535936
1448794291,683,22536192
1449142204,684,22544384
1449229214,681,22539008
1449664203,682,22539264
1449838346,683,22572032
1452056381,682,22567936
1452142802,686,22573056
1452229819,695,22638592
1452316824,691,22577152
1452664803,687,22552576
1452838847,693,22573056
1452925803,695,22573824
1453100374,695,22573824
1453186802,695,22573824
1453273817,696,22574848
1453360811,695,23617792
1453447801,695,23617792
1453534833,695,23617792
1453621815,697,23619072
1453708801,697,23619072
1453882836,697,23616000
1453969802,721,23625216
1454056837,721,23395840
1454230803,724,23405056
1454317832,726,23407104
1454404811,734,23398144
1454578826,735,23399168
1454752803,731,23394048
1455013802,732,23426816
1455100914,731,23426560
1455448806,726,23421440
1455622202,726,23423232
1455796204,735,23594496
1455883206,734,23528960
1455970211,735,23529984
1456231502,735,23529984
1456492205,734,23464448
1456579261,738,23728640
1456753206,744,24057344
1456840201,737,24079104
1456927203,739,24185600
1457101329,740,24186624
1457536211,747,24193792
1457971203,751,24236288
1458058202,746,24244992
1458145220,746,23851520
1458232203,745,23785984
1458319500,751,23807488
1458406209,752,23807744
1458667359,754,23816960
1458928297,753,23554816
1459015202,758,23556608
1459102501,752,23438848
1459363502,753,23439872
1459537203,755,23341568
1459972501,756,23338752
1460146203,758,23337728
1460320201,760,23489280
1460494501,760,23429888
1460581203,759,23298816
1460842202,759,23283456
1461016458,760,23284480
