DateTime,Entries,UniqueIPs
1434197235,18447,736003792
1434283635,18447,736003792
1434283635,18447,736003792
1434456432,18441,735993552
1434542832,18452,735998416
1434629234,18450,735953872
1434629234,18450,735953872
1434629234,18450,735953872
1434715632,18446,735946448
1434802034,18455,735959760
1435061229,18451,735958480
1435147643,18445,735954384
1435234037,18448,735952848
1435406833,18449,735968976
1435666100,18451,735977872
1435752441,18459,735985552
1435838844,18462,735992720
1435925231,18467,735962000
1436011633,18477,735991952
1436270833,18491,735995536
1436357235,18498,736005776
1436443632,18509,735948432
1436530034,18527,735938704
1436616437,18531,736016016
1436875649,18536,736017008
1436962042,18548,736029296
1437048434,18556,736032880
1437134840,18572,736039024
1437221233,18585,736050288
1437480442,18588,736050800
1437566840,18594,736048496
1437653234,18598,736058224
1437739633,18609,736056944
1437826038,18612,736071280
1438085235,18634,736070000
1438171637,18655,736072048
1438258044,18660,736078448
1438344436,18663,735828592
1438430834,18667,735836784
1438690037,18672,735854448
1438776441,18696,735860080
1438862836,18699,735874416
1438949235,18703,735882608
1439035640,18707,735888752
1439122061,18677,731104112
1439122061,18677,731104112
1439122061,18677,731104112
1439122061,18677,731104112
1439208442,18677,731104112
1439294839,18684,731106160
1439381237,18698,731110512
1439467637,18716,731092336
1439554041,18719,731103600
1439640436,18726,731108432
1439640436,18726,731108432
1439899637,18734,730957392
1439986039,18737,730950224
1440158843,18741,730901328
1440158843,18741,730901328
1440245241,18744,730906192
1440504438,18753,730894672
1440590838,18761,730910800
1440590838,18761,730910800
1440677238,18786,730901328
1440763639,18790,730909776
1440850035,18795,730914640
1441109235,18801,730905936
1441195631,18802,730912592
1441282034,18806,730917712
1441368438,18809,730926928
1441454835,18813,730937936
1441714034,18818,730949200
1441800441,18822,730944592
1441886837,18862,730943568
1441973236,18868,730958928
1442059634,18877,730964048
1442318841,18880,730941776
1442405238,18889,730951888
1442491638,18899,730955472
1443096438,18927,730876880
1443182843,18939,730877904
1443269240,18943,730818768
1443528434,18953,730826448
1443701235,18967,730836688
1443787639,18989,730838960
1443874040,18993,730851760
1444133238,18996,730863792
1444219636,19000,730878896
1444306034,19004,730887344
1444392440,19013,730897840
1444478841,19014,730907824
1444738037,19018,730920880
1444824441,19025,730932144
1444910840,19029,730941328
1444997241,19034,730951312
1445083643,19046,730956688
1445342838,19051,730964624
1445429241,19057,730976912
1445515642,19067,730990736
1445602049,19069,731008144
1445688443,19074,731018384
1445947632,19082,731025296
1446034032,19089,731041680
1446120433,19091,731054992
1446206833,19094,731071376
1446293231,19096,731079824
1446552431,19102,731085968
1446638836,19106,731091088
1446725237,19114,731110800
1446811634,19122,731117456
1446898033,19126,731125648
1447157234,19130,731141008
1447243636,19133,731150224
1447330034,19137,731164560
1447416435,19141,731172752
1447503066,19147,731195024
1447848451,19167,731224720
1447934834,19178,731230096
1448021233,19182,731188624
1448107632,19186,731202960
1448366834,19192,731213456
1448453236,19199,731223440
1448539639,19207,731239056
1448626036,19216,731253392
1448712434,19221,731258512
1448971638,19240,731269264
1449058037,19244,731344016
1449144435,19260,731354768
1449230836,19267,731360656
1449317233,19271,731368848
1449576434,19275,731381392
1449662831,19280,731395728
1449749230,19288,731374480
1449835633,19287,731382672
1449922031,19296,731390096
1450181232,19301,731399056
1450267629,19304,731402896
1450354031,19318,731344528
1450440431,19330,731301008
1450526828,19338,731320720
1450786029,19335,731330192
1450872443,19343,731341456
1450958828,19352,731346576
1451045230,19354,731351696
1451390827,19367,731281040
1451477227,19369,731350672
1451563632,19369,731356816
1451650029,19371,731289232
1451995628,19369,731334288
1452082027,19376,731379088
1452168428,19382,731384208
1452254830,19382,731390608
1452341228,19386,731396240
1452600431,19384,731396752
1452686834,19383,731404688
1452773231,19380,731414928
1452859629,19387,731420048
1452946030,19396,731397008
1453118828,19129,737656984
1453205231,19137,737643672
1453291628,19141,737650840
1453378031,19149,737662104
1453464429,19152,737670296
1453550832,19157,737680536
1453637228,19157,737680536
1453723630,19157,737680536
1453810031,19160,737681816
1453896430,19168,737695640
1453982829,19176,737702552
1454069232,19179,737709464
1454155631,19183,737718680
1454414837,19192,737723800
1454501231,19200,737738136
1454587633,19203,737747096
1454674027,19210,737760408
1454846830,19212,737741720
1455019629,19219,737764248
1455106028,19223,737775000
1455192428,19226,737785496
1455278830,19231,737798808
1455365229,19235,737804696
1455624426,19238,737815960
1455710828,19244,737820824
1455797229,19250,737828504
1455883630,19255,737844888
1455970028,19258,737855128
1456229231,19267,737878168
1456315628,19270,737887384
1456402028,19278,737893016
1456488429,19284,737903256
1456574828,19292,737910936
1456834083,19305,737921176
1456920439,19313,737927832
1457006830,19320,737942168
1457093231,19330,737930904
1457179633,19338,737947288
1457438832,19340,737958040
1457525231,19345,737965720
1457611629,19352,737981080
1457698029,19355,737996440
1457784429,19360,737979288
1458043630,19365,737994648
1458130029,19369,738002840
1458216431,19374,738076568
1458302829,19381,738120344
1458389234,19387,738131608
1458648433,19387,738134680
1458734832,19392,738143896
1458821236,19389,738138776
1458907632,19391,738145944
1459339631,19406,738145944
1459426055,19414,738160280
1459512429,19416,738173592
1459598829,19423,738185880
1459858029,19426,738193048
1459944428,19434,738225816
1460030829,19440,738240152
1460117231,19448,738245528
1460203629,19457,738250648
1460462834,19461,738266008
1460549236,19467,738278296
1460635632,19472,738288280
1460722080,19481,738302104
1460808431,19495,738313368
1461067631,19501,738328984
