DateTime,Entries,UniqueIPs
1434197235,372,1080576
1434283635,372,1080576
1434283635,372,1080576
1434456432,374,1082624
1434629234,374,1082624
1434629234,374,1082624
1436270833,375,1083648
1436357235,377,1084672
1436875649,379,1086720
1437221233,380,1087232
1437480442,382,1089280
1437826038,381,1087232
1438085235,382,1088256
1438430834,383,1089280
1439035640,384,1090304
1439122061,384,1090304
1439122061,384,1090304
1439122061,384,1090304
1439208442,384,1090304
1439294839,385,1091328
1439381237,384,1090304
1439640436,385,1091328
1439640436,385,1091328
1439899637,386,1092352
1440158843,386,1092352
1440245241,387,1093376
1440504438,389,1095424
1440590838,389,1095424
1441282034,387,1093888
1441714034,388,1094400
1441886837,389,1096448
1442059634,390,1096960
1442318841,392,1098496
1443701235,395,1101568
1443874040,397,1103104
1444306034,396,1047808
1444392440,397,1048832
1444478841,398,1049856
1444738037,400,1051904
1444824441,402,1053440
1445342838,408,1113856
1445429241,409,1114880
1445515642,411,1116928
1445602049,413,1118976
1445947632,415,1121024
1446034032,417,1122560
1446206833,418,1122816
1446552431,420,1124864
1446638836,419,1123840
1446898033,420,1124864
1447157234,420,1121280
1447243636,420,1121280
1447330034,421,1122304
1447503066,423,1123840
1447848451,425,1125376
1447934834,426,1125632
1448021233,430,1127680
1448366834,432,1129728
1448453236,434,1131776
1448626036,435,1132800
1448971638,436,1133824
1449144435,438,1135872
1449576434,439,1136896
1449662831,442,1143040
1449749230,443,1144064
1449835633,445,1146112
1449922031,450,1151232
1450181232,456,1159424
1450354031,458,1161472
1450440431,460,1163520
1450526828,462,1165568
1450958828,463,1166592
1451477227,466,1169152
1451650029,467,1170176
1452082027,469,1172224
1452168428,467,1169152
1452254830,465,1167104
1452341228,469,1171200
1452686834,470,1172224
1452946030,472,1174272
1453118828,472,1174272
1453205231,473,1174784
1453291628,473,1174784
1453378031,475,1176064
1453464429,475,1176064
1453550832,475,1176064
1453637228,475,1176064
1453723630,475,1176064
1453810031,478,1179136
1454069232,479,1179648
1454501231,478,1178624
1454674027,480,1180672
1455019629,483,1183232
1455278830,484,1183488
1455365229,486,1185536
1455710828,487,1186560
1456229231,488,1187584
1456315628,490,1189632
1456488429,491,1190656
1456574828,492,1192704
1456834083,494,1194752
1457611629,496,1196800
1457784429,498,1197312
1458216431,499,1198336
1458389234,501,1199872
1458648433,503,1201920
1458821236,504,1202944
1459339631,506,1204992
1459512429,507,1206016
1459598829,508,1206528
1460030829,513,1211648
1460462834,517,1215744
1460549236,518,1216768
1460635632,520,1218816
1460722080,522,1220864
1460808431,524,1222912
