DateTime,Entries,UniqueIPs
1434197235,22,181504
1434283635,22,181504
1434283635,22,181504
1434629234,22,181504
1434629234,22,181504
1439122061,22,181504
1439122061,22,181504
1439122061,22,181504
1439208442,22,181504
1439640436,22,181504
1440158843,22,181504
1440590838,22,181504
1441195631,23,182528
1447330034,24,444672
1447503066,26,641280
1453118828,26,641280
1453205231,26,641280
1453291628,26,641280
1453378031,26,641280
1453464429,26,641280
1453550832,26,641280
1453637228,26,641280
1453723630,26,641280
1454069232,27,641792
