DateTime,Entries,UniqueIPs
1434197235,293,6190600
1434283635,293,6190600
1434283635,293,6190600
1434456432,292,6190344
1434629234,291,6189832
1434629234,291,6189832
1434629234,291,6189832
1434715632,292,6190856
1435147643,293,6194952
1435925231,295,6195464
1436530034,296,6211848
1437048434,294,6210312
1437566840,293,6209800
1437826038,294,6210824
1438085235,295,6219016
1438171637,296,6220040
1439122061,296,6220040
1439122061,296,6220040
1439122061,296,6220040
1439208442,296,6220040
1439640436,296,6220040
1440158843,296,6220040
1440590838,296,6220040
1441714034,295,6217992
1441886837,294,6217736
1444133238,293,6209544
1446206833,294,6211592
1447503066,294,6211336
1448021233,293,6210824
1450440431,297,6260488
1452600431,296,6259976
1453118828,296,6259976
1453205231,296,6259976
1453291628,296,6259976
1453378031,296,6259976
1453464429,296,6259976
1453550832,296,6259976
1453637228,296,6259976
1453723630,296,6259976
1453810031,298,6259208
1453896430,299,6260232
1454846830,299,6259208
1455278830,298,6258952
1455970028,299,6259976
1457006830,301,6260488
