DateTime,Entries,UniqueIPs
1434197235,2985,20562280
1434283635,2985,20562280
1434283635,2985,20562280
1434629234,2986,20563304
1434629234,2986,20563304
1434629234,2986,20563304
1434802034,2987,20564328
1435406833,2988,20565352
1435752441,2989,20566376
1436011633,2991,20568424
1436443632,2993,20570472
1436530034,2994,20572520
1437048434,2993,20572008
1437221233,2994,20573032
1437480442,2995,20574056
1437566840,2999,20575080
1437653234,3000,20576104
1438085235,3001,20577128
1438344436,3002,20578152
1438776441,3003,20579176
1438949235,3004,20580200
1439122061,3004,20580200
1439122061,3004,20580200
1439122061,3004,20580200
1439208442,3004,20580200
1439294839,3005,20581224
1439467637,3006,20582248
1439640436,3006,20582248
1439899637,3005,20580200
1440158843,3005,20580200
1440504438,3006,20581224
1440590838,3006,20581224
1440850035,3007,20582248
1441195631,3008,20583272
1441282034,3009,20584296
1441368438,3010,20586344
1441886837,3011,20587368
1442059634,3011,20584296
1442405238,3012,20585320
1443182843,3013,20586344
1443528434,3014,20587368
1443701235,3021,20589928
1443787639,3021,20590920
1443874040,3024,20593224
1444306034,3025,20594248
1444738037,3026,20596296
1445429241,3027,20597320
1445515642,3032,20603464
1445602049,3033,20604488
1445947632,3034,20605512
1446034032,3036,20607560
1446552431,3037,20608584
1446638836,3038,20609608
1446725237,3039,20610632
1446811634,3040,20611656
1446898033,3041,20611912
1447157234,3043,20613960
1447243636,3044,20614984
1447848451,3045,20616008
1447934834,3046,20617032
1448021233,3047,20618056
1448453236,3048,20619080
1448626036,3049,20620104
1448971638,3050,20621128
1449058037,3051,20622152
1449144435,3052,20623176
1449576434,3053,20624200
1449662831,3054,20625224
1449749230,3055,20626248
1449835633,3056,20627272
1450181232,3057,20628296
1450440431,3058,20629320
1450526828,3059,20630344
1450786029,3060,20631368
1451390827,3061,20631880
1451995628,3062,20632904
1452168428,3063,20633928
1452946030,3062,20631368
1453118828,3062,20631368
1453205231,3061,20630344
1453291628,3062,20631368
1453378031,3063,20632392
1453464429,3064,20633416
1453550832,3064,20633416
1453637228,3064,20633416
1453723630,3064,20633416
1453810031,3065,20634440
1453896430,3066,20635464
1453982829,3068,20635976
1454069232,3069,20637000
1454155631,3070,20638024
1454414837,3071,20639048
1454501231,3072,20640072
1454674027,3073,20641096
1454846830,3074,20642120
1455019629,3075,20643144
1455624426,3076,20644168
1455710828,3078,20646216
1455797229,3079,20647240
1455883630,3080,20648264
1456315628,3081,20649288
1456402028,3083,20651336
1456488429,3084,20652360
1456920439,3085,20653384
1457093231,3084,20652360
1457611629,3085,20653384
1457698029,3086,20654408
1457784429,3087,20655432
1458043630,3088,20656456
1458216431,3089,20657480
1458907632,3090,20658504
1459426055,3091,20659528
1459944428,3093,20693320
1460030829,3094,20694344
1460117231,3095,20695368
1460462834,3096,20696392
1460549236,3097,20697416
1460635632,3099,20699464
1461067631,3100,20700488
