DateTime,Entries,UniqueIPs
1434197235,310,6336800
1434283635,310,6336800
1434283635,310,6336800
1434542832,322,6331936
1434629234,322,6331936
1434629234,322,6331936
1436530034,323,6332960
1437134840,322,6330912
1437653234,337,6326560
1438776441,336,6324512
1439122061,336,6324512
1439122061,336,6324512
1439122061,336,6324512
1439208442,336,6324512
1439640436,337,6325536
1439640436,337,6325536
1439899637,338,6326560
1440158843,338,6326560
1440590838,338,6326560
1441886837,329,6319648
1443096438,327,6318112
1443182843,325,6314016
1446552431,324,6311968
1446638836,325,6312992
1446725237,326,6314016
1447416435,325,6311968
1447503066,326,6312992
1448107632,327,6314016
1449144435,328,6314272
1450526828,328,6312224
1450958828,323,6295840
1451563632,324,6296864
1452341228,323,6294816
1453118828,323,6294816
1453205231,323,6294816
1453291628,323,6294816
1453378031,323,6294816
1453464429,323,6294816
1453550832,323,6294816
1453637228,323,6294816
1453723630,323,6294816
1453982829,324,6295840
1455192428,324,6293792
1460117231,325,6294816
