DateTime,Entries,UniqueIPs
1434197235,2634,11723360
1434283635,2634,11723360
1434283635,2634,11723360
1434629234,2634,11723360
1434629234,2634,11723360
1434715632,2634,11719264
1434802034,2635,11720288
1435234037,2634,11712096
1435406833,2633,11679328
1435925231,2632,11678816
1436270833,2633,11679840
1436962042,2634,11680864
1437221233,2633,11680608
1437566840,2632,11680352
1437739633,2631,11680096
1437826038,2632,11681120
1438085235,2631,11680864
1438258044,2631,11681632
1438344436,2632,11682656
1438690037,2633,11683680
1439035640,2634,11684704
1439122061,2634,11684704
1439122061,2634,11684704
1439122061,2634,11684704
1439208442,2634,11684704
1439467637,2633,11684192
1439640436,2633,11684192
1439986039,2632,11667808
1440158843,2632,11667808
1440245241,2631,11666784
1440504438,2630,11666528
1440590838,2631,11667552
1440590838,2631,11667552
1440763639,2632,11668576
1443096438,2633,11669600
1443528434,2631,11668320
1443701235,2632,11669344
1443787639,2632,11669600
1443874040,2633,11670624
1444219636,2632,11670368
1444392440,2631,11670880
1444478841,2632,11671136
1444824441,2633,11672160
1444910840,2634,11674208
1445515642,2634,11657824
1446120433,2635,11666016
1446206833,2636,11667040
1446725237,2637,11668064
1447243636,2637,11668320
1447330034,2638,11672416
1447503066,2639,11673440
1447848451,2640,11674464
1448021233,2641,11674976
1448366834,2642,11676000
1448453236,2643,11677024
1448539639,2644,11678048
1448712434,2645,11679072
1449144435,2646,11680096
1449576434,2647,11681120
1449662831,2648,11682144
1449922031,2647,11680096
1450440431,2645,11677024
1450526828,2647,11678560
1450872443,2648,11678304
1451390827,2648,11670112
1451650029,2647,11669856
1451995628,2647,11665760
1452168428,2646,11663712
1452686834,2644,11661408
1452946030,2645,11663456
1453118828,2645,11663456
1453205231,2645,11663456
1453291628,2644,11662432
1453378031,2643,11661408
1453464429,2643,11661408
1453550832,2643,11661408
1453637228,2643,11661408
1453723630,2643,11661408
1454587633,2644,11662432
1455019629,2645,11663456
1455192428,2646,11664480
1455365229,2650,11664224
1455710828,2651,11664736
1455797229,2652,11665760
1456229231,2653,11666784
1457525231,2653,11666272
1457611629,2654,11667296
1457784429,2653,11666272
1458043630,2655,11668320
1458130029,2656,11669344
1458302829,2657,11669856
1458821236,2657,11668832
1459426055,2656,11668576
1459512429,2657,11669600
1459598829,2658,11670624
1459858029,2659,11671648
1459944428,2660,11671648
1460203629,2661,11672672
1460722080,2662,11673696
