DateTime,AddedIPs,RemovedIPs
1450072471,3,28
1450087235,35,0
1450102179,4,35
1450117146,12,0
1450147002,15,5
1450192198,34,36
1450209544,10,13
1450224226,11,5
1450255547,30,28
1450285244,24,29
1450324454,9,7
1450361947,31,40
1450380251,20,19
1450409827,8,8
1450439655,28,66
1450469672,19,3
1450484388,4,0
1450499254,0,28
1450514331,28,27
1450529309,22,0
1450562060,25,15
1450576844,34,0
1450591777,6,6
1450606732,1,16
1450621663,13,14
1450636604,5,8
1450674038,30,4
1450703911,17,30
1450718884,15,23
1450755604,9,43
1450785648,28,0
1450800612,16,10
1450817263,12,18
1450848015,28,29
1450862846,0,23
1450885576,26,0
1450900473,7,15
1450930238,4,30
1450945110,1,0
1450960054,26,0
1450989944,24,29
1451004855,7,0
1451019640,11,25
1451049561,28,0
1451082100,18,24
1451096844,1,0
1451129183,33,46
1451146729,19,25
1451194731,20,37
1451209530,30,1
1451231275,19,18
1451255253,12,30
1451270201,1,0
1451292450,0,18
1451307045,15,0
1451321695,2,22
1451342353,6,9
1451372071,2,0
1451386853,33,20
1451409556,25,31
1451424469,24,23
1451439396,8,0
1451476854,6,7
1451491775,27,8
1451529177,2,14
1451551525,33,7
1451566458,26,27
1451596720,22,7
1451619427,6,12
1451634327,1,0
1451672323,30,41
1451702229,10,27
1451717142,2,0
1451732182,29,0
1451746825,20,23
1451761794,8,23
1451784444,1,0
1451807145,1,23
1451829255,30,20
1451859023,15,23
1451873918,7,1
1451897168,1,1
1451912079,27,24
1451926847,20,7
1451950068,4,4
1451994942,27,49
1452024583,18,25
1452077671,32,34
1452100173,22,14
1452137266,13,30
1452159949,35,26
1452174874,25,24
1452199163,22,0
1452213924,1,10
1452229264,2,1
1452244189,3,17
1452278960,30,29
1452293684,8,0
1452308422,7,0
1452323586,0,14
1452338334,34,25
1452353261,22,11
1452368216,10,5
1452383788,12,0
1452398454,6,4
1452421116,30,15
1452436064,18,21
1452459685,21,0
1452474567,1,10
1452490073,4,3
1452505047,35,18
1452519768,28,22
1452534360,27,19
1452549415,11,0
1452578997,3,3
1452593921,33,0
1452608888,33,26
1452623831,18,0
1452638768,9,23
1452653666,2,0
1452691143,33,27
1452706058,19,17
1452735924,10,0
1452750880,5,26
1452765620,0,30
1452780648,32,27
1452795510,21,0
1452825402,7,24
1452840344,6,4
1452854914,34,10
1452872921,8,0
1452887651,21,8
1452917400,9,17
1452936888,34,25
1452951954,14,24
1452966853,2,11
1452981680,16,14
1452996810,1,7
1453011540,2,29
1453026472,29,19
1453043500,19,21
1453072816,7,1
1453087453,5,7
1453102093,2,29
1453116749,32,28
1453131377,6,30
1453160658,20,13
1453190082,35,26
1453204635,25,31
1453219223,22,22
1453233841,8,9
1453248491,5,2
1453277782,33,27
1453307771,14,25
1453322660,5,0
1453337306,4,9
1453366580,25,9
1453381212,27,27
1453395860,29,21
1453410516,5,24
1453425401,10,0
1453440008,8,2
1453469301,32,26
1453483963,15,27
1453498581,8,15
1453513221,15,0
1453527857,4,26
1453542489,33,15
1453557129,18,2
1453571767,20,29
1453586417,8,0
1453601312,0,1
1453615968,1,2
1453645228,26,47
1453659858,6,0
1453674492,0,8
1453689385,1,5
1453704014,0,1
1453733293,28,33
1453748049,5,31
1453762572,4,0
1453791869,3,30
1453821138,32,50
1453850374,11,17
1453865058,0,29
1453879697,3,0
1453908970,28,16
1453923631,5,7
1453938256,4,9
1453952896,3,23
1453982174,34,23
1453996862,25,31
1454011451,14,5
1454026164,2,9
1454040735,0,10
1454055379,3,29
1454070024,33,0
1454084658,21,16
1454099321,0,10
1454113941,8,14
1454143222,32,32
1454173221,28,38
1454187864,9,9
1454202501,3,0
1454217653,5,3
1454232263,31,29
1454261552,25,7
1454276187,18,1
1454305457,7,3
1454320092,32,23
1454334743,23,0
1454349388,21,8
1454364045,8,6
1454378658,0,5
1454407940,32,27
1454422830,28,0
1454437459,26,14
1454466750,5,0
1454496020,28,26
1454510645,26,0
1454525314,11,4
1454539941,5,1
1454554572,8,0
1454569214,1,18
1454583913,30,0
1454598493,23,30
1454613156,7,15
1454627790,1,5
1454657059,0,2
1454671690,26,26
1454686347,0,22
1454700975,30,0
1454715610,0,11
1454730270,2,21
1454744895,1,0
1454774175,24,31
1454788840,13,27
1454803463,27,3
1454818094,0,6
1454847380,31,48
1454876650,23,20
1454891288,3,10
1454905944,7,0
1454935248,24,47
1454949849,12,27
1454964509,7,16
1454979148,15,0
1454993789,0,1
1455037712,25,78
1455066975,3,8
1455096284,28,27
1455110907,15,25
1455125579,16,11
1455154810,9,15
1455169463,2,1
1455184095,30,24
1455198738,29,26
1455228033,4,10
1455257302,5,2
1455271951,24,29
1455286579,28,0
1455315851,15,20
1455330548,1,4
1455345135,0,3
1455359771,32,25
1455374411,21,0
1455389056,4,12
1455418332,8,28
1455432976,1,31
1455447632,1,0
1455462277,31,28
1455476895,17,0
1455506425,12,7
1455535693,22,27
1455550358,27,15
1455564970,10,7
1455579626,6,14
1455608917,4,24
1455623542,33,0
1455638172,21,0
1455652819,16,8
1455682328,18,24
1455697247,2,0
1455726489,31,32
1455741154,20,8
1455755784,8,0
1455770437,3,2
1455785050,2,22
1455799694,23,30
1455814338,11,8
1455843707,11,7
1455872913,13,24
1455902196,25,42
1455932230,10,1
1455961457,10,29
1455976103,35,28
1455990752,0,6
1456005397,0,3
1456034668,0,1
1456063954,27,26
1456078597,13,18
1456093218,12,11
1456122488,6,13
1456137186,27,0
1456166419,30,39
1456195770,2,11
1456224978,30,32
1456239625,21,30
1456268929,11,29
1456283545,7,0
1456312819,31,30
1456342145,20,20
1456371393,7,12
1456386011,2,1
1456400680,28,24
1456415292,9,22
1456429933,17,11
1456444587,8,0
1456473854,0,12
1456503376,29,29
1456518039,4,14
1456532669,12,0
1456547318,1,7
1456576574,29,27
1456591208,19,0
1456605853,3,0
1456635138,17,0
1456649774,33,31
1456679059,27,17
1456693709,7,13
1456708335,3,6
1456737922,32,25
1456752503,0,29
1456782049,25,4
1456796669,4,0
1456811288,2,30
1456825947,32,0
1456840583,23,22
1456855216,19,12
1456869866,8,0
1456899605,8,30
1456928907,24,31
1456943669,13,0
1456973068,11,5
1456987695,6,1
1457002332,31,22
1457031623,16,23
1457060906,1,10
1457090457,34,26
1457105073,19,0
1457119689,18,5
1457148973,11,19
1457178246,32,18
1457192914,25,18
1457207551,9,5
1457222195,15,27
1457236812,1,0
1457266095,27,44
1457280752,26,0
1457310027,14,10
1457339298,11,28
1457368597,24,23
1457398373,13,3
1457412967,1,2
1457442263,26,56
1457456946,19,20
1457486197,16,16
1457515458,6,27
1457530102,28,0
1457544746,7,9
1457559399,15,12
1457588657,22,6
1457603452,2,32
1457618180,25,33
1457647479,31,2
1457662122,1,0
1457691405,32,31
1457706023,30,19
1457721755,12,22
1457751133,23,10
1457780418,32,28
1457795076,27,31
1457809699,15,9
1457824363,9,13
1457853625,6,28
1457868299,30,0
1457883916,29,23
1457898524,13,17
1457927789,2,11
1457942443,30,0
1457957139,15,23
1457971720,11,0
1457986343,18,12
1458001237,1,0
1458015852,0,1
1458045142,28,27
1458060543,23,22
1458075141,3,16
