DateTime,AddedIPs,RemovedIPs
1446419489,1,1
1446506985,1,1
1447118315,1,1
1447205816,1,1
1447293258,1,1
1447468042,1,1
1447642819,1,1
1447904745,2,2
1448166465,1,1
1448253949,1,1
1448340984,1,1
1448515652,1,1
1448603135,1,1
1448690615,1,1
1448952855,1,1
1449040172,1,1
1449127677,1,1
1449214707,1,1
1449389385,2,2
1449564361,2,2
1449651642,2,2
1449739175,1,1
1450351114,2,2
1450438593,1,1
1450529308,1,1
1450790914,1,1
1450878405,1,1
1450965646,1,1
1451053117,1,1
1451234205,0,4
1451321692,1,1
1451408994,1,1
1451496474,0,2
1451627673,0,3
1451714988,1,3
1451889987,0,7
1451977222,0,3
1452064255,0,5
1452151656,0,3
1452239124,1,1
1452326453,1,1
1452413910,2,2
1452588465,2,2
1453025401,2,2
1453199536,1,1
1453286654,0,3
1453983620,1,2
1454070758,0,1
1454158622,1,1
1455116902,0,1
1455291166,1,1
1455378254,1,1
1455639643,1,1
1455726737,1,0
1455813862,1,1
1455900978,1,1
1456075258,1,1
1456162609,1,1
1456423925,1,1
1456598173,1,1
1456772428,2,1
1457033820,0,1
1457121074,1,0
1457295381,2,2
1457556767,1,1
1457992342,1,1
1458253693,1,1
1458427949,1,1
1458515086,1,1
1458602441,1,1
1458689550,1,1
1458776666,1,1
1458950906,1,1
1459038036,1,1
1459953859,1,1
1460041286,0,1
1460870503,35,0
1461044650,1,1
