DateTime,Entries,UniqueIPs
1438713022,1994,1994
1438799423,2007,2007
1438947023,1879,1879
1439033423,1852,1852
1439119823,1840,1840
1439119823,1840,1840
1439119823,1840,1840
1439119823,1840,1840
1439206222,1834,1834
1439206222,1834,1834
1439292621,1868,1868
1439379023,1867,1867
1439465433,1866,1866
1439551836,1896,1896
1439638229,1930,1930
1439638229,1930,1930
1439724636,1920,1920
1439811023,1981,1981
1439897425,2003,2003
1439983875,5445,5445
1440070228,5472,5472
1440158429,5509,5509
1440158429,5509,5509
1440244823,5601,5601
1440331223,5602,5602
1440417694,5624,5624
1440504022,7331,7331
1440590454,10654,10654
1440590454,10654,10654
1440676830,13877,13877
1440763228,17311,17311
1440849629,17119,17119
1440936099,20229,20229
1441022424,23215,23215
1441108824,23202,23202
1441195253,25365,25365
1441281639,29247,29247
1441368024,29948,29948
1441454424,27547,27547
1441540825,25102,25102
1441627226,22120,22120
1441713630,20387,20387
1441800027,17266,17266
1441886423,13748,13748
1441972824,13772,13772
1442059224,10719,10719
1442145624,5525,5525
1442232029,3180,3180
1442318424,3197,3197
1442404829,3133,3133
1442491230,3098,3098
1442577624,2293,2293
1442664024,2268,2268
1442750433,2239,2239
1442836825,2214,2214
1442923226,2237,2237
1443009624,2338,2338
1443096024,2297,2297
1443182425,2280,2280
1443268824,2343,2343
1443355224,2382,2382
1443441626,2369,2369
1443528027,2327,2327
1443614427,2376,2376
1443700826,2337,2337
1443787225,2300,2300
1443873624,2360,2360
1443960028,2327,2327
1444046424,2304,2304
1444132826,2261,2261
1444219227,2273,2273
1444305625,2264,2264
1444392024,2299,2299
1444478426,2473,2473
1444564825,2502,2502
1444651227,2505,2505
1444737626,2465,2465
1444824028,2530,2530
1444910425,2573,2573
1444996830,2635,2635
1445083240,2672,2672
1445169624,2674,2674
1445256031,2635,2635
1445342425,2429,2429
1445428823,2672,2672
1445536824,2764,2764
1445623226,2668,2668
1445709624,2768,2768
1445796035,2742,2742
1445882442,2777,2777
1445968836,2823,2823
1446057024,2840,2840
1446143424,2861,2861
1446229839,2810,2810
1446316225,2502,2502
1446402628,2373,2373
1446489023,2411,2411
1446575425,2263,2263
1446708627,2235,2235
1446795025,2252,2252
1446881430,2212,2212
1446967828,2166,2166
1447054224,2171,2171
1447140630,2184,2184
1447227024,2230,2230
1447313424,2218,2218
1447399827,2233,2233
1447486225,2233,2233
1447572624,2193,2193
1447659025,2104,2104
1447745424,2079,2079
1447831824,2074,2074
1447918224,2049,2049
1448004623,2034,2034
1448089782,1833,1833
1448175624,1700,1700
1448262023,1564,1564
1448348587,1522,1522
1448434822,1414,1414
1448521222,1365,1365
1448607622,1275,1275
1448694022,1219,1219
1448780422,1178,1178
1448866822,1196,1196
1448953226,1329,1329
1449039623,1473,1473
1449126024,1559,1559
1449212422,1607,1607
1449298831,1628,1628
1449385221,1635,1635
