DateTime,Entries,UniqueIPs
1451861522,3755,3755
1451875921,3737,3737
1451890322,3726,3726
1451904721,3714,3714
1451919121,3712,3712
1451933524,3703,3703
1451948821,3693,3693
1451963222,3698,3698
1451977622,3694,3694
1451993221,3688,3688
1452007921,3678,3678
1452022322,3674,3674
1452036721,3670,3670
1452540722,3652,3652
1452555121,3643,3643
1452569522,3646,3646
1452583921,3644,3644
1452598321,3642,3642
1452612721,3638,3638
1452627122,3628,3628
1452641522,3624,3624
1452655921,3622,3622
1452670322,3617,3617
1452684722,3611,3611
1452699121,3597,3597
1452713522,3602,3602
1452727921,3615,3615
1452742322,3619,3619
1452756722,3620,3620
1452771122,3617,3617
1452785521,3614,3614
1452799921,3615,3615
1452814322,3613,3613
1452828721,3613,3613
1452843121,3612,3612
1452857522,3608,3608
1452872522,3606,3606
1452886922,3613,3613
1452901321,3603,3603
1452915722,3604,3604
1452936421,3600,3600
1452951122,3600,3600
1452966121,3600,3600
1452980522,3595,3595
1452994921,3595,3595
1453009322,3601,3601
1453023721,3600,3600
1453038121,3603,3603
1453052522,3608,3608
1453066922,3618,3618
1453081321,3620,3620
1453095721,3621,3621
1453110122,3612,3612
1453124521,3609,3609
1453138921,3612,3612
1453153322,3608,3608
1453167721,3614,3614
1453211822,3593,3593
1453226222,3634,3634
1453240622,3643,3643
1453255022,3644,3644
1453269422,3646,3646
1453284422,3644,3644
1453299122,3638,3638
1453313521,3637,3637
1453328222,3639,3639
1453342622,3641,3641
1453357021,3642,3642
1453371421,3636,3636
1453385821,3634,3634
1453400221,3627,3627
1453414621,3628,3628
1453429022,3622,3622
1453443421,3615,3615
1453458121,3616,3616
1453472522,3616,3616
1453486922,3618,3618
1453501322,3616,3616
1453516022,3615,3615
1453530721,3619,3619
1453545121,3619,3619
1453559521,3612,3612
1453574222,3612,3612
1453588622,3605,3605
1453603022,3600,3600
1453617421,3601,3601
1453631822,3607,3607
1453646221,3605,3605
1453660622,3612,3612
1453675022,3610,3610
1453689421,3616,3616
1453703821,3613,3613
1453718221,3604,3604
1453732622,3599,3599
1453747621,3593,3593
1453762321,3589,3589
1453776722,3589,3589
1453791121,3581,3581
1453805521,3577,3577
1453819921,3574,3574
1453834321,3574,3574
1453848722,3570,3570
1453885623,3552,3552
1453900322,3566,3566
