DateTime,AddedIPs,RemovedIPs
1451832722,6,13
1451847122,3,10
1451861522,10,15
1451875921,5,11
1451890322,6,14
1451904721,3,21
1451919122,12,15
1451933525,7,6
1451948821,6,13
1451963222,9,11
1451977623,7,14
1451993221,7,13
1452007921,6,15
1452022322,4,12
1452036722,8,15
1452540722,279,331
1452555121,6,7
1452569522,12,9
1452583921,10,8
1452598321,7,10
1452612721,7,9
1452627122,4,6
1452641522,13,14
1452655922,10,7
1452670322,5,4
1452684722,5,14
1452699121,2,6
1452713522,12,11
1452727921,17,4
1452742322,12,14
1452756722,5,6
1452771122,9,8
1452785521,6,13
1452799921,5,13
1452814322,9,7
1452828721,5,5
1452843121,8,9
1452857522,6,8
1452872522,9,19
1452886922,13,13
1452901321,2,12
1452915722,7,11
1452936421,9,10
1452951122,7,5
1452966121,6,10
1452980522,5,14
1452994921,4,12
1453009322,9,8
1453023722,10,6
1453038122,13,11
1453052522,13,10
1453066922,14,9
1453081321,10,10
1453095721,11,23
1453110122,4,9
1453124521,8,13
1453138922,5,10
1453153322,5,12
1453167721,11,13
1453211822,2,46
1453226222,47,10
1453240622,13,8
1453255022,9,9
1453269422,10,7
1453284422,7,10
1453299122,2,7
1453313521,9,7
1453328222,7,7
1453342622,9,7
1453357021,9,9
1453371422,2,7
1453385821,6,12
1453400221,3,10
1453414621,9,9
1453429022,9,4
1453443421,4,10
1453458121,6,8
1453472522,4,9
1453486922,13,13
1453501322,7,5
1453516022,8,17
1453530721,7,12
1453545121,8,10
1453559521,8,17
1453574222,7,12
1453588622,2,15
1453603022,7,9
1453617421,9,9
1453631822,10,10
1453646221,6,13
1453660622,16,14
1453675022,9,11
1453689421,8,7
1453703821,4,11
1453718221,3,7
1453732622,5,21
1453747621,4,7
1453762322,7,9
1453776722,11,10
1453791121,6,12
1453805522,7,7
1453819922,6,7
1453834321,11,7
1453848722,7,13
1453885623,5,19
1453900322,22,12
1453915922,7,17
1453930322,8,11
1453945022,9,15
1453959422,3,12
1453973821,6,13
1453988222,7,19
1454002621,5,8
1454017022,11,17
1454031422,8,8
1454045822,6,19
1454060222,2,13
1454074621,6,5
1454089022,5,8
1454103421,6,7
1454117821,8,7
1454132221,5,13
1454146621,5,13
1454161022,4,9
1454175421,7,8
1454189821,5,9
1454204221,10,9
1454218622,11,13
1454233021,8,6
1454247421,8,7
1454261821,6,7
1454276221,8,13
1454290621,7,4
1454305021,3,15
1454319721,5,13
1454334121,1,12
1454348522,7,39
1454362922,12,9
1454377321,7,9
1454391722,11,21
1454406121,8,7
1454420521,6,13
1454434922,15,5
1454449321,8,11
1454463721,11,19
1454478121,17,16
1454492522,11,19
1454507222,11,10
1454521921,10,17
1454536322,11,16
1454550722,8,8
1454587622,7,25
1454602321,24,17
1454616722,17,8
1454631121,9,11
1454645522,9,9
1454660522,5,10
1454674922,10,14
1454689627,8,19
1454704321,13,8
1454718722,8,12
1454733122,7,3
1454747522,7,8
1454761921,5,8
1454776621,8,10
1454791021,8,4
1454805422,7,8
1454819821,11,5
1454834222,8,7
1454848621,6,10
1454863022,8,12
1454877421,3,8
1454891822,4,7
1454906221,11,9
1454920622,8,8
1454935021,5,4
1454949421,8,7
1454963821,7,10
1454978222,9,9
1454992622,5,11
1455007021,7,13
1455021422,7,14
1455035821,10,13
1455050221,6,6
1455064621,7,7
1455079022,8,8
1455093422,8,11
1455107822,6,2
1455122222,8,6
1455136622,5,8
1455151021,8,12
1455165422,23,11
1455179822,22,12
1455194222,10,5
1455208621,6,13
1455223022,14,16
1455237421,9,16
1455544922,152,186
1455559322,50,4
1455573722,34,9
1455588422,29,4
1455603121,8,3
1455617522,6,13
1455631921,10,9
1455646621,8,8
1455661022,8,7
1455675421,5,10
1455690122,3,9
1455704522,29,14
1455718922,23,9
1455733321,10,2
1455747722,13,9
1455762122,6,6
1455776522,2,10
1455790922,7,10
1455805321,2,3
1455819722,10,5
1455834122,7,3
1455848521,5,12
1455862922,6,5
1455877321,2,9
1455891722,5,8
1455906421,6,8
1455921121,3,5
1455935522,9,8
1455949921,4,6
1455964322,7,8
1455978721,7,8
1455993722,9,11
1456008122,12,7
1456022522,13,15
1456036922,9,11
1456051321,3,5
1456065721,11,6
1456087621,14,15
1456102322,5,9
1456116722,8,7
1456131122,6,4
1456145521,6,16
1456159921,8,9
1456174322,9,9
1456188722,4,6
1456203122,8,11
1456217522,6,5
1456231921,4,10
1456246321,6,5
1456260722,6,17
